"","institutionCode","catalogNumber","recordedBy"
"1","Instituto Nacional de Pesquisas da Amazônia (INPA)","226773",NA
"2","Instituto Nacional de Pesquisas da Amazônia (INPA)","221069","Hopkins, MJG"
"3","Instituto Nacional de Pesquisas da Amazônia (INPA)","222535","Pereira, E da C."
"4","Instituto Nacional de Pesquisas da Amazônia (INPA)","233017","Castilho, CV"
"5","Instituto Nacional de Pesquisas da Amazônia (INPA)","222569","Castilho, CV"
"6","Instituto Nacional de Pesquisas da Amazônia (INPA)","191483","Martins, LHP"
"7","Instituto Nacional de Pesquisas da Amazônia (INPA)","183127","Sothers, CA"
"8","Instituto Nacional de Pesquisas da Amazônia (INPA)","183121","Sothers, CA"
"9","Instituto Nacional de Pesquisas da Amazônia (INPA)","183095","Miralha, JMS"
"10","Instituto Nacional de Pesquisas da Amazônia (INPA)","179076","Sothers, CA"
"11","Instituto Nacional de Pesquisas da Amazônia (INPA)","179048","Ribeiro, JELS"
"12","Instituto Nacional de Pesquisas da Amazônia (INPA)","130814","Silva, MG da"
