"","modified","institutionCode","collectionCode","catalogNumber","scientificName","identificationQualifier","family","genus","specificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLongitude","decimalLatitude","occurrenceRemarks","occurrenceID","bibliographicCitation","acceptedNameUsage"
"1",NA,"NY","NY","1134736","Guatteria duckeana R.E.Fr.",NA,"Annonaceae","Guatteria","duckeana","R.E.Fr.","M. F. da Silva; L. F. Coêlho","1980-07-01T00:00:00.000+0000",NA,"17934",NA,"G. T. Prance",1973,9,14,"Brazil","Amazonas",NA,"Rio Cuieras",-60.394227,-2.7026,NA,"1444ad26-eded-4fa5-a792-389872b84a99",NA,"Guatteria duckeana R.E.Fr."
"2",NA,"Faculdade São Lucas (FSL)","HFSL","5759","Guatteria duckeana R.E.Fr.",NA,"Annonaceae","Guatteria","duckeana","R.E.Fr.","Rodrigues, W.A.","1969-01-01T00:00:00.000+0000",NA,"8629",NA,"Rodrigues, W.A.",1969,11,12,"Brazil","Amazonas","Manaus","Ponta Negra",0,0,"Manaus, Ponta Negra. Árvore de 5m, frequente na capoeira de terra firme silicosa. Flores esverdeadas. ; DE","BRA:FSL:HFSL:0000005759",NA,"Guatteria duckeana R.E.Fr."
"3",NA,"IPA","IPA","28645","Guatteria duckeana R.E.Fr.",NA,"Annonaceae","Guatteria","duckeana","R.E.Fr.","Rodrigues, W.","1969-01-01T00:00:00.000+0000",NA,"8629",NA,"Rodrigues, W.",1969,11,12,"Brazil","Amazonas","Manapiare","Ponte da Bolívia",0,0,NA,"BRA:IPA:IPA:0000028645",NA,"Guatteria duckeana R.E.Fr."
"4","2014-09-26T00:00:00.000+0000","Instituto Nacional de Pesquisas da Amazônia (INPA)","Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)","27741","Guatteria duckeana R.E.Fr.",NA,"Annonaceae","Guatteria","duckeana","R.E.Fr.","Rodrigues, W.A.","1969-01-01T00:00:00.000+0000",NA,"8629",NA,"Mike Hopkins",1969,11,12,"Brazil","Amazonas",NA,"Ponta Negra., Ponta Negra",NA,NA,NA,"urn:catalog:inpa:herbarium:163392",NA,"Guatteria duckeana R.E.Fr."
"5",NA,"NY","NY","1134734","Guatteria duckeana R.E.Fr.",NA,"Annonaceae","Guatteria","duckeana","R.E.Fr.","L. Aristeguieta","1967-01-01T00:00:00.000+0000",NA,"3183",NA,"G. T. Prance",1966,11,17,"Brazil","Amazonas",NA,"Parque 10. Open forest, beside stream.",-60.006369,-3.078643,NA,"920400d5-c68a-4212-8639-fcd6e9cc118c",NA,"Guatteria duckeana R.E.Fr."
"6","2014-09-26T00:00:00.000+0000","Instituto Nacional de Pesquisas da Amazônia (INPA)","Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)","18734","Guatteria duckeana R.E.Fr.",NA,"Annonaceae","Guatteria","duckeana","R.E.Fr.","Aristeguieta, L.","1967-01-01T00:00:00.000+0000",NA,"3183",NA,"Mike Hopkins",1966,11,17,"Brazil","Amazonas",NA,"Parque 10, Parque 10. Open forest, beside stream.",NA,NA,NA,"urn:catalog:inpa:herbarium:129245",NA,"Guatteria duckeana R.E.Fr."
"7","2014-09-26T00:00:00.000+0000","Instituto Nacional de Pesquisas da Amazônia (INPA)","Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)","10132","Guatteria duckeana R.E.Fr.",NA,"Annonaceae","Guatteria","duckeana","R.E.Fr.","Silva, M.F. da","1961-07-01T00:00:00.000+0000",NA,"2782",NA,"Mike Hopkins",1961,6,12,"Brazil","Amazonas",NA,"""Cachoeira Alta do Tarumã. Terra firme; solo arenos, Cachoeira Alta do Tarumã. Terra firme; solo arenoso, capoeira.""",NA,NA,NA,"urn:catalog:inpa:herbarium:159211",NA,"Guatteria duckeana R.E.Fr."
"8","2014-11-03T13:24:44.000+0000","JBRJ","RB","RB00534105","Guatteria duckeana R.E.Fr.",NA,"Annonaceae","Guatteria","duckeana","R.E.Fr.","P.J.M. Maas","1987-01-01T00:00:00.000+0000","ISOTYPE",NA,NA,"Ducke, A.",1935,11,NA,"Brazil","Amazonas","Manaus","ponte do Mindri, beira do riacho.",NA,NA,"Arvore pequena, flores verdes até ferruginea","urn:catalog:JBRJ:RB:534105",NA,"Guatteria duckeana R.E.Fr."
"9",NA,NA,"Botany","U.1661812","Guatteria duckeana R.E.Fr.",NA,"Annonaceae","Guatteria","duckeana","R.E.Fr.","Maas PJM; Westra LYT",NA,NA,NA,NA,"Krukoff BA",NA,NA,NA,"Brazil","Amazonas",NA,NA,NA,NA,NA,"http://data.biodiversitydata.nl/naturalis/specimen/U.1661812",NA,"Guatteria duckeana R.E.Fr."
"10",NA,"US","Botany","USw38264","Guatteria duckeana R.E.Fr.",NA,"Annonaceae","Guatteria","duckeana","R.E.Fr.",NA,NA,NA,"7923",NA,"B. A. Krukoff",NA,NA,NA,"Brazil","Minas Gerais",NA,NA,NA,NA,NA,"http://n2t.net/ark:/65665/3b0103d30-448c-4a5c-a097-a6b97720c237",NA,"Guatteria duckeana R.E.Fr."
"11",NA,"NY","NY","1134735","Guatteria duckeana R.E.Fr.",NA,"Annonaceae","Guatteria","duckeana","R.E.Fr.",NA,NA,NA,"7923",NA,"B. A. Krukoff",NA,NA,NA,"Brazil","Amazonas",NA,NA,0,0,NA,"6f1bbbe2-637a-4e76-892b-6864b57f8276",NA,"Guatteria duckeana R.E.Fr."
