"","modified","institutionCode","collectionCode","catalogNumber","scientificName","identificationQualifier","family","genus","specificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLongitude","decimalLatitude","occurrenceRemarks","occurrenceID","bibliographicCitation","acceptedNameUsage"
"1",NA,"F","Botany","V0231648F","Guatteria duckeana R.E.Fr.",NA,"Annonaceae","Guatteria","duckeana","R.E.Fr.",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Brazil",NA,NA,NA,-52.8731,-10.8339,NA,"0b0d04c2-2656-4470-8160-f2562c999209",NA,"Guatteria duckeana R.E.Fr."
"2",NA,"F","Botany","V0315720F","Guatteria duckeana R.E.Fr.",NA,"Annonaceae","Guatteria","duckeana","R.E.Fr.",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Brazil",NA,NA,NA,-52.8731,-10.8339,NA,"fd399b65-0944-4402-b935-a2a0562a5efa",NA,"Guatteria duckeana R.E.Fr."
"3",NA,"F","Botany","V0315719F","Guatteria duckeana R.E.Fr.",NA,"Annonaceae","Guatteria","duckeana","R.E.Fr.",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Brazil",NA,NA,NA,-52.8731,-10.8339,NA,"aa9d7aa3-37f4-42b4-af38-6498537ca02d",NA,"Guatteria duckeana R.E.Fr."
"4",NA,"UDFJC","UDBC","UDBC017683","Guatteria duckeana R.E.Fr.",NA,"Annonaceae","Guatteria","duckeana","R.E.Fr.","Sastoque, E.",NA,NA,"218",NA,"Jaimes, M. S. |  Galeano, G. |  Betancur, J. |  Raz, L. |  Rivera, O. |  Gonzales, M. F. |  Castro, C. |  Estudiantes Taxonomia Vegetal 2014-I",2014,5,16,"Colombia","Guaviare",NA,"Serranía de la Lindosa. Sector Túneles, camino hacia el Jacuzzi",-72.68675,2.497472,NA,"UDBC:UDBC:UDBC017683",NA,"Guatteria duckeana R.E.Fr."
"5",NA,"Instituto Amazónico de Investigaciones Científicas SINCHI","COAH","81210","Guatteria duckeana R.E.Fr.",NA,"Annonaceae","Guatteria","duckeana","R.E.Fr.","Marín-C., N.L. & D. Cárdenas","2013-08-01T00:00:00.000+0000",NA,"282",NA,"Maniguaje, N.L.",2013,8,4,"Colombia","Guaviare",NA,"serranía La Lindosa, vda. Las Brisas, predio de Francisco Cuellar.",-72.781861,2.539194,"Ejemplar botánico","SINCHI:COAH:81210",NA,"Guatteria duckeana R.E.Fr."
"6",NA,"Instituto Amazónico de Investigaciones Científicas SINCHI","COAH","81212","Guatteria duckeana R.E.Fr.",NA,"Annonaceae","Guatteria","duckeana","R.E.Fr.","Marín-C., N.L. & D. Cárdenas","2013-08-01T00:00:00.000+0000",NA,"289",NA,"Maniguaje, N.L.",2013,8,4,"Colombia","Guaviare",NA,"serranía La Lindosa, vda. Las Brisas, predio de Francisco Cuellar.",-72.781861,2.539194,"Ejemplar botánico","SINCHI:COAH:81212",NA,"Guatteria duckeana R.E.Fr."
"7",NA,"Universidad de Antioquia (UdeA)","HUA","176118","Guatteria duckeana R.E.Fr.","cf. duckeana","Annonaceae","Guatteria","duckeana","R.E.Fr.","Trujillo P.","2009-01-01T00:00:00.000+0000",NA,"4287",NA,"Trujillo P. | Villegas H. | Villegas E.",2009,9,NA,"Colombia","Antioquia",NA,"""Vereda El Anime, sector La Cruz, margen izquierda aguas abajo río Espíritu Santo""",-75.502556,7.04625,NA,"UdeA:HUA:176118",NA,"Guatteria duckeana R.E.Fr."
"8",NA,"Universidad de Antioquia (UdeA)","HUA","176181","Guatteria duckeana R.E.Fr.","cf. duckeana","Annonaceae","Guatteria","duckeana","R.E.Fr.","Trujillo P.","2009-01-01T00:00:00.000+0000",NA,"4287",NA,"Trujillo P. | Villegas H. | Villegas E.",2009,9,NA,"Colombia","Antioquia",NA,"""Vereda El Anime, sector La Cruz, margen izquierda aguas abajo río Espíritu Santo""",-75.502556,7.04625,NA,"UdeA:HUA:176181",NA,"Guatteria duckeana R.E.Fr."
"9",NA,"Instituto Amazónico de Investigaciones Científicas SINCHI","COAH","66705","Guatteria duckeana R.E.Fr.",NA,"Annonaceae","Guatteria","duckeana","R.E.Fr.","Ramírez, J.G.","2008-06-01T00:00:00.000+0000",NA,"4812",NA,"Montero, I.",2008,5,28,"Colombia","Guaviare",NA,"vda. Santa Lucía, bosque fuertemente intervenido",-72.495,2.579167,"Ejemplar botánico","SINCHI:COAH:66705",NA,"Guatteria duckeana R.E.Fr."
"10",NA,"Instituto Amazónico de Investigaciones Científicas SINCHI","COAH","66751","Guatteria duckeana R.E.Fr.",NA,"Annonaceae","Guatteria","duckeana","R.E.Fr.","Ramírez, J.G.","2008-05-19T00:00:00.000+0000",NA,"659",NA,"Valencia, G.",2008,5,19,"Colombia","Guaviare",NA,"vda. Florida II Baja.",-72.383611,2.529722,"Ejemplar botánico","SINCHI:COAH:66751",NA,"Guatteria duckeana R.E.Fr."
"11",NA,"Instituto Amazónico de Investigaciones Científicas SINCHI","COAH","66718","Guatteria duckeana R.E.Fr.",NA,"Annonaceae","Guatteria","duckeana","R.E.Fr.","Ramírez, J.G.","2008-06-01T00:00:00.000+0000",NA,"150",NA,"Valencia, G.",2008,5,17,"Colombia","Guaviare",NA,"vda. Chaparral Medio.",-72.486944,2.218056,"Ejemplar botánico","SINCHI:COAH:66718",NA,"Guatteria duckeana R.E.Fr."
"12",NA,"Instituto Amazónico de Investigaciones Científicas SINCHI","COAH","66719","Guatteria duckeana R.E.Fr.",NA,"Annonaceae","Guatteria","duckeana","R.E.Fr.","Ramírez, J.G.","2008-06-01T00:00:00.000+0000",NA,"150",NA,"Valencia, G.",2008,5,17,"Colombia","Guaviare",NA,"vda. Chaparral Medio.",-72.486944,2.218056,"Ejemplar botánico","SINCHI:COAH:66719",NA,"Guatteria duckeana R.E.Fr."
"13",NA,"Instituto Amazónico de Investigaciones Científicas SINCHI","COAH","66745","Guatteria duckeana R.E.Fr.",NA,"Annonaceae","Guatteria","duckeana","R.E.Fr.","Ramírez, J.G.","2008-06-01T00:00:00.000+0000",NA,"550",NA,"Valencia, G.",2008,5,18,"Colombia","Guaviare",NA,"vda. San Francisco",-72.495,2.553056,"Ejemplar botánico","SINCHI:COAH:66745",NA,"Guatteria duckeana R.E.Fr."
"14",NA,"Instituto Amazónico de Investigaciones Científicas SINCHI","COAH","66800","Guatteria duckeana R.E.Fr.",NA,"Annonaceae","Guatteria","duckeana","R.E.Fr.","Ramírez, J.G.","2008-06-01T00:00:00.000+0000",NA,"11714",NA,"Ramírez, J.G.",2008,5,27,"Colombia","Guaviare",NA,"vda. El Morro",-72.390556,2.560833,"Ejemplar botánico","SINCHI:COAH:66800",NA,"Guatteria duckeana R.E.Fr."
"15",NA,"Instituto de Investigación de Recursos Biológicos Alexander von Humboldt (IAvH)","FMB","FMB-77520","Guatteria duckeana R.E.Fr.",NA,"Annonaceae","Guatteria","duckeana","R.E.Fr.","Ramírez, J.","2004-12-31T00:00:00.000+0000",NA,"9130",NA,"Ramírez, J. | Moreno, Jorge | Macabares, Jhonaldo",2004,10,31,"Colombia","Casanare",NA,"Corregimiento La Hermosa, finca Nicaragua, Terraza",-70.26,5.606667,NA,"IAvH:FMB-77520",NA,"Guatteria duckeana R.E.Fr."
"16",NA,"Instituto Amazónico de Investigaciones Científicas SINCHI","COAH","43268","Guatteria duckeana R.E.Fr.",NA,"Annonaceae","Guatteria","duckeana","R.E.Fr.","Ramírez, J.G.","2002-04-01T00:00:00.000+0000",NA,"7063",NA,"Ramírez, J.G.",2000,2,28,"Colombia","Guaviare",NA,"vda. San Francisco, finca El Diamante.",-72.51667,2.500003,"Ejemplar botánico","SINCHI:COAH:43268",NA,"Guatteria duckeana R.E.Fr."
"17",NA,"Instituto Amazónico de Investigaciones Científicas SINCHI","COAH","40006","Guatteria duckeana R.E.Fr.",NA,"Annonaceae","Guatteria","duckeana","R.E.Fr.","Ramírez, J.G.","2002-04-01T00:00:00.000+0000",NA,"7327",NA,"Ramírez, J.G.",2000,3,21,"Colombia","Guaviare",NA,"trocha Nuevo Tolima, vda. Caracol",-72.81333,2.43333,"Ejemplar botánico","SINCHI:COAH:40006",NA,"Guatteria duckeana R.E.Fr."
"18",NA,"Instituto Amazónico de Investigaciones Científicas SINCHI","COAH","41963","Guatteria duckeana R.E.Fr.",NA,"Annonaceae","Guatteria","duckeana","R.E.Fr.","Phillips, J.F.","2000-06-05T00:00:00.000+0000",NA,"476",NA,"Phillips, J.F.",2000,6,5,"Colombia","Caquetá",NA,"Zona SE de PNN serranía de Chiribiquete",-72.44667,0.07111,"Ejemplar botánico","SINCHI:COAH:41963",NA,"Guatteria duckeana R.E.Fr."
"19",NA,"Instituto Amazónico de Investigaciones Científicas SINCHI","COAH","29802","Guatteria duckeana R.E.Fr.",NA,"Annonaceae","Guatteria","duckeana","R.E.Fr.","Ramírez, J.G.","2002-04-01T00:00:00.000+0000",NA,"1067",NA,"Murillo, J.",1998,3,24,"Colombia","Guainía",NA,"resguardo indígena Almidón-La Ceiba, comunidad indígena La Ceiba, margen del río Inírida a la altura de la comunidad",-67.86667,3.63333,"Ejemplar botánico","SINCHI:COAH:29802",NA,"Guatteria duckeana R.E.Fr."
"20",NA,"Instituto Amazónico de Investigaciones Científicas SINCHI","COAH","31143","Guatteria duckeana R.E.Fr.",NA,"Annonaceae","Guatteria","duckeana","R.E.Fr.","Ramírez, J.G.","2002-04-01T00:00:00.000+0000",NA,"3178",NA,"Duque, A.",1997,7,20,"Colombia","Guaviare",NA,"serranía La Lindosa, afloramiento rocoso, bosque maduro, (Bh-T)",-72.77834,2.48894,"Ejemplar botánico","SINCHI:COAH:31143",NA,"Guatteria duckeana R.E.Fr."
"21",NA,"Instituto Amazónico de Investigaciones Científicas SINCHI","COAH","31077","Guatteria duckeana R.E.Fr.",NA,"Annonaceae","Guatteria","duckeana","R.E.Fr.","López, R.","1997-07-11T00:00:00.000+0000",NA,"3201",NA,"López, R.",1997,7,11,"Colombia","Guaviare",NA,"bosque a lo largo de la qda. afluente a cñ. La María",-72.69472,2.49667,"Ejemplar botánico","SINCHI:COAH:31077",NA,"Guatteria duckeana R.E.Fr."
"22",NA,"Instituto Amazónico de Investigaciones Científicas SINCHI","COAH","43442","Guatteria duckeana R.E.Fr.",NA,"Annonaceae","Guatteria","duckeana","R.E.Fr.","López, R.","1996-11-29T00:00:00.000+0000",NA,"2288",NA,"López, R.",1996,11,29,"Colombia","Guaviare",NA,"inspección Puerto Arturo, El raudal",-72.8219,2.54884,"Ejemplar botánico","SINCHI:COAH:43442",NA,"Guatteria duckeana R.E.Fr."
"23",NA,"Instituto Amazónico de Investigaciones Científicas SINCHI","COAH","6130","Guatteria duckeana R.E.Fr.",NA,"Annonaceae","Guatteria","duckeana","R.E.Fr.","Cárdenas, D.","1996-12-01T00:00:00.000+0000",NA,"7530",NA,"Cárdenas, D.",1995,11,18,"Colombia","Caquetá",NA,"río Yavilla, bocana del río Yavillaré",-72.133333,0.033333,"Ejemplar botánico","SINCHI:COAH:6130",NA,"Guatteria duckeana R.E.Fr."
