"","modified","institutionCode","collectionCode","catalogNumber","scientificName","family","genus","specificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLongitude","decimalLatitude","occurrenceRemarks","occurrenceID","bibliographicCitation","acceptedNameUsage","identificationQualifier","infraspecificEpithet","comments"
"1",NA,"UESC","UESC","21503","Pseudoxandra bahiensis Maas","Annonaceae","Pseudoxandra","bahiensis","Maas","Larissa Rocha","2010-08-01T00:00:00.000+0000",NA,NA,NA,"Rocha-Santos, L.",2010,6,NA,"Brazil","Bahia","Ituberá",NA,-39.228889,-16.840278,"Trecho bem conservado e outros estágios médios de regeneração.; Árvore de 21cm de DAP e 18m de altura. Presente em área de floresta em estágio médio de regeneração.; (N° T3, 60m, A2)","BRA:UESC:UESC:0000021503",NA,"Pseudoxandra bahiensis Maas",NA,NA,NA
"2",NA,"Universidade Federal da Bahia (UFBA)","ALCB","122464","Pseudoxandra bahiensis Maas","Annonaceae","Pseudoxandra","bahiensis","Maas","Carvalho, GM","2010-09-01T00:00:00.000+0000",NA,"425",NA,"Carvalho, GM; Daneu, L; Gomes, LC; Paixão, JL da",2010,9,6,"Brazil","Bahia","Porto Seguro","RPPN Estação Veracel. Interior de Floresta Alta, Platô.",-39.25,-16.5,"ca. 8m alt. Flores amareladas.; Floresta Alta.","BRA:UFBA:ALCB:0000122464",NA,"Pseudoxandra bahiensis Maas",NA,NA,NA
"3",NA,"NY","NY","01198649","Pseudoxandra bahiensis Maas","Annonaceae","Pseudoxandra","bahiensis","Maas","P. J. M. Maas","2008-01-01T00:00:00.000+0000",NA,"6105",NA,"A. M. Amorim",2006,6,18,"Brazil","Bahia",NA,"Estrada que liga EunÃ¡polis a Porto Seguro. RPPN EstaÃ§Ã£o Vera Cruz. Bloco 4",-39.2022,-16.4192,NA,"c6e779f9-6917-42f3-b0c7-4677916e5d42",NA,"Pseudoxandra bahiensis Maas",NA,NA,NA
"4",NA,"UEFS","HUEFS","127256","Pseudoxandra bahiensis Maas","Annonaceae","Pseudoxandra","bahiensis","Maas","H.Rainer","2009-07-01T00:00:00.000+0000",NA,"6432",NA,"Amorim, A.",2006,10,13,"Brazil","Bahia","Porto Seguro","Estrada que liga Eunápolis à Porto Seguro. RPPN Estação Veracruz.",-39.202222,-16.419167,"Floresta ombrófila densa sob tabuleiro. Coletas efetuadas na percela 2 e na estrada de acesso.","BRA:UEFS:HUEFS:0000127256",NA,"Pseudoxandra bahiensis Maas",NA,NA,NA
"5",NA,"NY","NY","01240816","Pseudoxandra bahiensis Maas","Annonaceae","Pseudoxandra","bahiensis","Maas","J. A. Kallunki","2009-01-01T00:00:00.000+0000",NA,"6432",NA,"A. M. Amorim",2006,10,13,"Brazil","Bahia",NA,"Estrada que liga EunÃ¡polis a Porto Seguro. RPPN EstaÃ§Ã£o Veracruz. Coletas efetuadas na parcela 2 e na estrada de acesso",-39.2022,-16.4192,NA,"ee52ede0-c881-4621-bad7-b8276375ac2b",NA,"Pseudoxandra bahiensis Maas",NA,NA,NA
"6",NA,"MBM","MBM","315231","Pseudoxandra bahiensis Maas","Annonaceae","Pseudoxandra","bahiensis","Maas","Lobão, A","2006-10-01T00:00:00.000+0000",NA,"541",NA,"Paixão, JL; Pessoa, CM; Reis, J",2005,7,30,"Brazil","Bahia","Una","Reserva Biológica de Una, Fazenda Piedade.",-39.133333,-15.166667,"Árvore 18m; folhas discolores brilhantes; frutos imaturos verdes escuro.; Mata Hidrófila Sul Baiana.","BRA:MBM:MBM:0000315231",NA,"Pseudoxandra bahiensis Maas",NA,NA,NA
"7",NA,"NY","NY","01197960","Pseudoxandra bahiensis Maas","Annonaceae","Pseudoxandra","bahiensis","Maas","P. J. M. Maas","2008-01-01T00:00:00.000+0000",NA,"541",NA,"J. L. PaixÃ£o",2005,7,30,"Brazil","Bahia",NA,"Reserva Biologica de Una (REBIO), entrada ca. 0,1 km ao W de Una, na (ESMAI-EstaÃ§Ã£o Loemos Maia/CEPLAC) Rod. para SÃ£o JosÃ©, depois 3,9 km ao N da Reserva. Faz. Piedade a 8 km",-39.1414,-15.18,NA,"20d5389a-7d05-4de9-a4da-7671435972fb",NA,"Pseudoxandra bahiensis Maas",NA,NA,NA
"8",NA,"Comissão Executiva do Plano da Lavoura Cacaueira (CEPLAC)","CEPEC","106656","Pseudoxandra bahiensis Maas","Annonaceae","Pseudoxandra","bahiensis","Maas",NA,NA,NA,"749",NA,"Lobão, A. Q.",2005,7,26,"Brazil","Bahia","Una","Ecoparque de Una. Rodovia BA-001 (Ilhéus-Una). Região de Mata Hidrófila Sul Baiana. Entorno da REBIO de Una.",-39.054722,-15.159722,"Floresta Ombrófila Densa Montana.","BRA:CEPLAC:CEPEC:0000106656",NA,"Pseudoxandra bahiensis Maas",NA,NA,NA
"9","2017-10-18T12:04:48.000+0000","JBRJ","RB","RB00421233","Pseudoxandra bahiensis Maas","Annonaceae","Pseudoxandra","bahiensis","Maas",NA,NA,NA,"2022",NA,"P. Fiaschi; A. Amorim, J. L. Paixão, A. Martini & Evandro",2004,3,17,"Brazil","Bahia","Itacaré","Estrada de Itacaré para Ubaitaba, km 8. Fazenda da serraria. Área do inventário do plano de manejo.",-39.065278,-14.351389,"Arvoreta ca. 3 m alt. Folhas discolores. Frutos vermelhos.","urn:catalog:JBRJ:RB:421233",NA,"Pseudoxandra bahiensis Maas",NA,NA,NA
"10",NA,"Universidade Federal da Bahia (UFBA)","ALCB","66127","Pseudoxandra bahiensis Maas","Annonaceae","Pseudoxandra","bahiensis","Maas","Lobão, A","2005-08-01T00:00:00.000+0000",NA,"4750",NA,"Mattos Silva, LA; A.F. de Almeida; Querino, RN; A.J. Santos Jr",2003,9,5,"Brazil","Bahia","Belmonte","Extremo Sul, Dist. de Barrolândia: Estação Experimental Gregório Bondar (EGREB), da CEPLAC. Rodovia Itapebi / Belmonte, 7Km a Oeste de Barrolândia.",0,0,"Aprox. 6m. Folhas com as faces adaxial verde-escuro e a abaxial verde-claro. Ambas brilhantes. Frutos imaturos, cor verde-escuro.; Bordadura da mata. Solo sílico-argiloso. Mata Atlântica.","BRA:UFBA:ALCB:0000066127",NA,"Pseudoxandra bahiensis Maas",NA,NA,NA
