"","modified","institutionCode","collectionCode","catalogNumber","scientificName","family","genus","specificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLongitude","decimalLatitude","occurrenceRemarks","occurrenceID","bibliographicCitation","acceptedNameUsage"
"1",NA,"UNEMAT","HERBAM","6523","Unonopsis duckei R.E.Fr.","Annonaceae","Unonopsis","duckei","R.E.Fr.","Silva, DR","2014-02-26T00:00:00.000+0000",NA,"6253",NA,"Soares, CRA; Trevisan, LR; Ribeiro, IL; Cabral, FF",2012,4,28,"Brazil","Mato Grosso","Paranaíta","Próximo a construção da UHE T. Pires, Terra Firme.",-56.778056,-9.3244,"Projeto Flora Mantega","BRA:UNEMAT:HERBAM:0000006523",NA,"Unonopsis duckei R.E.Fr."
"2","2014-09-26T00:00:00.000+0000","Instituto Nacional de Pesquisas da Amazônia (INPA)","Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)","251210","Unonopsis duckei R.E.Fr.","Annonaceae","Unonopsis","duckei","R.E.Fr.","Ramos, J.F.","2014-08-01T00:00:00.000+0000",NA,"1469",NA,"Mike Hopkins",2012,4,13,"Brazil","Rondônia",NA,"Ao longo da BR - 364, 4 km W de Jaci Paraná. Ramal 500 m ao Sul.",-64.46,-9.269444,NA,"urn:catalog:inpa:herbarium:232493",NA,"Unonopsis duckei R.E.Fr."
"3","2014-09-26T00:00:00.000+0000","Instituto Nacional de Pesquisas da Amazônia (INPA)","Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)","256753","Unonopsis duckei R.E.Fr.","Annonaceae","Unonopsis","duckei","R.E.Fr.","Ramos, J.F.","2012-12-06T00:00:00.000+0000",NA,"3514",NA,"Mike Hopkins",2012,10,21,"Brazil","Pará",NA,"Rio Tapajós Vila Canaã, Margem esquerda do Rio Tapajós",-57.22,-5.865833,NA,"urn:catalog:inpa:herbarium:244941",NA,"Unonopsis duckei R.E.Fr."
"4","2014-09-26T00:00:00.000+0000","Instituto Nacional de Pesquisas da Amazônia (INPA)","Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)","256729","Unonopsis duckei R.E.Fr.","Annonaceae","Unonopsis","duckei","R.E.Fr.","Ramos, J.F.","2013-04-24T00:00:00.000+0000",NA,"3490",NA,"Mike Hopkins",2012,10,22,"Brazil","Pará",NA,"Rio Tapajós - Canta Galo - Terra Preta, Margem direita do Rio Tapajós",-57.39,-5.815556,NA,"urn:catalog:inpa:herbarium:244917",NA,"Unonopsis duckei R.E.Fr."
"5",NA,"Instituto Federal de Educação, Ciência e Tecnologia (IFAM)","EAFM","15013","Unonopsis duckei R.E.Fr.","Annonaceae","Unonopsis","duckei","R.E.Fr.","Marra, D.M.","2011-09-14T00:00:00.000+0000",NA,"630",NA,"Marra, D.M.; Neves, A.F. & Souza, I.G.",2011,9,14,"Brazil","Amazonas","Manaus, Presidente Figueiredo","Ramal ZF5 (SUFRAMA), BR-174, Km 83, Parcelas permanentes instaladas ao longo de transectos que cruzam uma floresta de terra-firme (ca. 900 hectares) atingida por uma tempestade de vento ocorrida no ano de 1996",-60.292408,-2.425161,"árvore, DAP = 11.8 cm; Floresta de terra-firme ; HA","BRA:IFAM - CMZL:EAFM:0000015013",NA,"Unonopsis duckei R.E.Fr."
"6","2014-09-26T00:00:00.000+0000","Instituto Nacional de Pesquisas da Amazônia (INPA)","Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)","244403","Unonopsis duckei R.E.Fr.","Annonaceae","Unonopsis","duckei","R.E.Fr.","Ramos, J.F.","2014-08-01T00:00:00.000+0000",NA,"549",NA,"Mike Hopkins",2011,10,24,"Brazil","Rondônia",NA,"""UHE Jirau, Interior do fragmento florestal de n. 9, na Linha de Transmissão. 9° 16' 13,1"""" S; 64° 27' 35,6'' O. Floresta com presença de angelim-pedra (Dinizia sp.)""",-64.46,-9.270278,NA,"urn:catalog:inpa:herbarium:227093",NA,"Unonopsis duckei R.E.Fr."
"7",NA,"Instituto Federal de Educação, Ciência e Tecnologia (IFAM)","EAFM","C425","Unonopsis duckei R.E.Fr.","Annonaceae","Unonopsis","duckei","R.E.Fr.",NA,NA,NA,"860",NA,"Hawes, J.",2009,9,12,"Brazil","Amazonas","Carauari","Goiabal",0,0,NA,"BRA:IFAM - CMZL:EAFM:000000C425",NA,"Unonopsis duckei R.E.Fr."
"8",NA,"USP","SPF","223347","Unonopsis duckei R.E.Fr.","Annonaceae","Unonopsis","duckei","R.E.Fr.","Lopes, JC","2009-01-01T00:00:00.000+0000",NA,"47",NA,"El Ottra, JHL",2009,9,2,"Brazil","Amazonas","Manaus","Reserva Florestal Adolpho Ducke, Borda da mata ao redor da estrada de terra indo em direção ao alojamento da reserva; lado esquerdo.",-59.976722,-2.915389,"Árvore ca. 24 m alt.; quase sem folhas. Flores de cálice verde e corola amarela. Frutos imaturos verde-arroxeados. Voucher para estudos moleculares.; Floresta de Terra Firme.","BRA:USP:SPF:0000223347",NA,"Unonopsis duckei R.E.Fr."
"9",NA,"Universidade Federal de Mato Grosso (UFMT)","CNMT","3678","Unonopsis duckei R.E.Fr.","Annonaceae","Unonopsis","duckei","R.E.Fr.","Silva, G.P.","2008-07-01T00:00:00.000+0000",NA,"13564",NA,"Silva, G.P.; Santos, A.A; Lopes, A.; Moreira, G.A.; Medeiros, M.B.",2008,7,14,"Brazil","Rondônia","Jaci Paraná","Margem esquerda do rio Madeira.",-64.6025,-9.277778,NA,"BRA:UFMT:CNMT:0000003678",NA,"Unonopsis duckei R.E.Fr."
"10",NA,"Cenargen","CEN","76592","Unonopsis duckei R.E.Fr.","Annonaceae","Unonopsis","duckei","R.E.Fr.","G. P. Silva",NA,NA,"13564",NA,"Glocimar Pereira-Silva",2008,7,14,"Brazil","Ro","PORTO VELHO","Margem esquerda do rio Madeira (canteiro de obras do AHE Jirau). P 29 C 1.",-64.641944,-9.250278,NA,"BRA:Cenargen:CEN:0000076592",NA,"Unonopsis duckei R.E.Fr."
