"","modified","institutionCode","collectionCode","catalogNumber","scientificName","family","genus","specificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLongitude","decimalLatitude","occurrenceRemarks","occurrenceID","acceptedNameUsage","identificationQualifier","infraspecificEpithet","comments","bibliographicCitation","FID","NOME","GEOCODIGO","POINT_X","POINT_Y","NOMEUF","SIGLAUF","estados_shp","x_estado","y_estado","new_Lat","new_Lon"
"1",NA,"Universidade Regional do Cariri (URCA)","HCDAL","8940","Vanillosmopsis arborea (Gardn.) Baker","Asteraceae","Eremanthus","arborea","(Gardn.) Baker",NA,NA,NA,"s.n.",NA,"Laura",2012,8,18,"brazil","ceara","crato","Sítio Barreiro Grande, Cariri.",0,0,"Árvore.","BRA:URCA:HCDAL:0000008940","Vanillosmopsis arborea (Gardn.) Baker",NA,NA,NA,NA,4489,"Crato",2304202,-39.490026,-7.232947,"CEARA","CE","Ceará",-39.6179021,-5.09146429,-7.232947,-39.490026
"2",NA,"IPA","IPA","90834","Eremanthus arboreus (Gardner) MacLeish","Asteraceae","Eremanthus","arboreus","(Gardner) MacLeish","Linhares, K.V.","2015-07-02T00:00:00.000+0000",NA,"s.n.",NA,"Almeida, B.V.",2011,10,23,"brazil","ceara","crato","Malhada Bonita",0,0,"Subarbusto.","BRA:IPA:IPA:0000090834","Eremanthus arboreus (Gardner) MacLeish",NA,NA,NA,NA,4489,"Crato",2304202,-39.490026,-7.232947,"CEARA","CE","Ceará",-39.6179021,-5.09146429,-7.232947,-39.490026
"3","2014-07-21T00:00:00.000+0000","K","Herbarium","K000989844","Eremanthus arboreus (Gardner) MacLeish","Asteraceae","Eremanthus","arboreus","(Gardner) MacLeish","Loeuille, B.",NA,NA,"512",NA,"Loeuille, B.; Santos, A.C.B.; Pirani, J.R.; Cordeiro, I.",2009,9,5,"brazil",NA,"crato","Chapada do Araripe, estrada Molhada Bonita - Belmonte.",-39.46,-7.3,NA,"http://specimens.kew.org/herbarium/K000989844","Eremanthus arboreus (Gardner) MacLeish",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-7.3,-39.46
"4","2014-07-21T00:00:00.000+0000","K","Herbarium","K000989845","Eremanthus arboreus (Gardner) MacLeish","Asteraceae","Eremanthus","arboreus","(Gardner) MacLeish","Loeuille, B.",NA,NA,"510",NA,"Loeuille, B.; Santos, A.C.B.; Pirani, J.R.; Cordeiro, I.",2009,9,5,"brazil",NA,"crato","Chapada do Araripe, subida do Belmonte.",-39.46,-7.27,NA,"http://specimens.kew.org/herbarium/K000989845","Eremanthus arboreus (Gardner) MacLeish",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-7.27,-39.46
"5",NA,"Empresa Brasileira de Pesquisa Agropecuária (EMBRAPA)","HTSA","3809","Eremanthus arboreus (Gardner) MacLeish","Asteraceae","Eremanthus","arboreus","(Gardner) MacLeish",NA,NA,NA,"3809",NA,"Kiill, L.H.P.; Cunha, L.S.D. de",2009,10,20,"brazil","bahia","morro do chapeu","Lajes",0,0,NA,"BRA:CPATSA:HTSA:0000003809","Eremanthus arboreus (Gardner) MacLeish",NA,NA,NA,NA,3674,"Morro do Chapéu",2921708,-41.151587,-11.472221,"BAHIA","BA","Bahia",-41.73007713,-12.47331113,-11.472221,-41.151587
"6",NA,"Universidade Regional do Cariri (URCA)","HCDAL","3841","Vanillosmopsis arborea (Gardn.) Baker","Asteraceae","Eremanthus","arborea","(Gardn.) Baker",NA,NA,NA,"HCDAL3841",NA,"Silva, M.A.P.; et al.",2008,5,24,"brazil","ceara","crato","Ladeira do Belmonte",-39.456667,-7.270833,"Árvore ca. 3m altura; presença de botões florais.","BRA:URCA:HCDAL:0000003841","Vanillosmopsis arborea (Gardn.) Baker",NA,NA,NA,NA,4489,"Crato",2304202,-39.490026,-7.232947,"CEARA","CE","Ceará",-39.6179021,-5.09146429,-7.270833,-39.456667
"7",NA,"UFRB","HURB","3709","Eremanthus arboreus (Gardner) MacLeish","Asteraceae","Eremanthus","arboreus","(Gardner) MacLeish","G.V.Fonseca","2018-08-01T00:00:00.000+0000",NA,"705",NA,"Costa, G",2008,8,11,"brazil","bahia","palmeiras","Orquidário do Morro do Pai Inácio;",NA,NA,"Hábito: arbusto","BRA:UFRB:HURB:0000003709","Eremanthus arboreus (Gardner) MacLeish",NA,NA,NA,NA,3525,"Palmeiras",2923506,-41.55815,-12.545926,"BAHIA","BA","Bahia",-41.73007713,-12.47331113,-12.545926,-41.55815
"8",NA,"Universidade Regional do Cariri (URCA)","HCDAL","4693","Vanillosmopsis arborea (Gardn.) Baker","Asteraceae","Eremanthus","arborea","(Gardn.) Baker",NA,NA,NA,"HCDAL4693",NA,"Santos, M.A.F.",2004,8,10,"brazil","ceara","crato","Aeroporto, Cariri.",-39.511333,-7.275333,"Arbusto ca. 4m; flor branca.","BRA:URCA:HCDAL:0000004693","Vanillosmopsis arborea (Gardn.) Baker",NA,NA,NA,NA,4489,"Crato",2304202,-39.490026,-7.232947,"CEARA","CE","Ceará",-39.6179021,-5.09146429,-7.275333,-39.511333
"9",NA,"Cenargen","CEN","76934","Eremanthus arboreus (Gardner) MacLeish","Asteraceae","Eremanthus","arboreus","(Gardner) MacLeish","G. Pereira-Silva",NA,NA,"7966",NA,"Glocimar Pereira-Silva",2003,8,29,"brazil","ba","santa teresinha","Brasil Bahia Santa Teresinha, Inicio da subida da Jibóia, mata , latossolo vermelho-amarelado.",-39.4925,-12.843888,"Arvoreta de 2 m alt. ocasional. HERBÁRIO - Universidae Estadual de Feira de Santana - Feira de Santana - Bahia - Brasil ( HUEFS Nº 74171)","BRA:Cenargen:CEN:0000076934","Eremanthus arboreus (Gardner) MacLeish",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-12.843888,-39.4925
"10",NA,"Universidade Federal do Ceará, UFC","EAC","29148","Eremanthus arboreus (Gardner) MacLeish","Asteraceae","Eremanthus","arboreus","(Gardner) MacLeish","Roque, N.","2016-11-01T00:00:00.000+0000",NA,"700",NA,"Cavalcanti, F.S.",2000,2,23,"brazil","bahia","palmeiras","Morro do Pai Inácio.",0,0,"Arbusto.","BRA:UFC:EAC:0000029148","Eremanthus arboreus (Gardner) MacLeish",NA,NA,NA,NA,3525,"Palmeiras",2923506,-41.55815,-12.545926,"BAHIA","BA","Bahia",-41.73007713,-12.47331113,-12.545926,-41.55815
"11",NA,"Universidade Federal do Ceará, UFC","EAC","29907","Eremanthus arboreus (Gardner) MacLeish","Asteraceae","Eremanthus","arboreus","(Gardner) MacLeish","Roque, N.","2016-11-01T00:00:00.000+0000",NA,"467",NA,"Souza, E.B.",2000,3,28,"brazil","ceara","crato","Chapada do Araripe, subida do Belmonte.",0,0,"Arvoreta.; Vegetação arbustiva.","BRA:UFC:EAC:0000029907","Eremanthus arboreus (Gardner) MacLeish",NA,NA,NA,NA,4489,"Crato",2304202,-39.490026,-7.232947,"CEARA","CE","Ceará",-39.6179021,-5.09146429,-7.232947,-39.490026
