"","modified","institutionCode","collectionCode","catalogNumber","scientificName","family","genus","specificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLongitude","decimalLatitude","occurrenceRemarks","occurrenceID","acceptedNameUsage"
"1",NA,"UNESPSJRP","SJRP","30624","Cordia tarodae M.Stapf","Ehretiaceae","Cordia","tarodae","M.Stapf",NA,NA,NA,"960","Stranghetti, V. & Ranga, N.T. & Rezende, A.A.",2007,4,3,"Brazil","São Paulo","Matão","Faz. Cambuhy",-48.537222,-21.620556,"Geografia: Árvore, 5m, fruto imaturo verde;","BRA:UNESPSJRP:SJRP:0000030624","Cordia tarodae M.Stapf"
"2",NA,"NY","NY","1043644","Cordia tarodae M.Stapf","Ehretiaceae","Cordia","tarodae","M.Stapf","M. N. SÃ¡nchez de Stapf","2007-01-01T00:00:00.000+0000","ISOTYPE","s.n.","N. T. Ranga",2003,2,21,"Brazil","SÃ£o Paulo",NA,"EstaÃ§ao EcolÃ³logica.",-49.3805814430544,-20.0340978441335,NA,"ab0f8dc2-b4f2-4fbf-ac0a-0c4cc66acfc5","Cordia tarodae M.Stapf"
"4",NA,"UNESPSJRP","SJRP","26789","Cordia tarodae M.Stapf","Ehretiaceae","Cordia","tarodae","M.Stapf",NA,NA,NA,NA,"Neusa Taroda Ranga",2003,3,7,"Brazil","São Paulo","Paulo de Faria","Estação Ecológica",NA,NA,"Geografia: coletada próxima da guarita;","BRA:UNESPSJRP:SJRP:0000026789","Cordia tarodae M.Stapf"
"5",NA,"UEFS","HUEFS","84683","Cordia tarodae M.Stapf","Ehretiaceae","Cordia","tarodae","M.Stapf","M.N.S.Stapf","2007-10-01T00:00:00.000+0000",NA,"544","Melo, P.H.A.",2003,4,8,"Brazil","Minas Gerais",NA,"Iguatama: Fazenda do Caetano, margem esquerda do Rio São Miguel",NA,NA,NA,"BRA:UEFS:HUEFS:0000084683","Cordia tarodae M.Stapf"
"6",NA,"UNESPSJRP","SJRP","26297","Cordia tarodae M.Stapf","Ehretiaceae","Cordia","tarodae","M.Stapf","Neusa Taroda Ranga","2002-04-24T00:00:00.000+0000",NA,NA,"Renato",2002,4,24,"Brazil","São Paulo","Poloni","Poloni",NA,NA,NA,"BRA:UNESPSJRP:SJRP:0000026297","Cordia tarodae M.Stapf"
"7",NA,"UNESPSJRP","SJRP","22964","Cordia tarodae M.Stapf","Ehretiaceae","Cordia","tarodae","M.Stapf","Neusa T. Ranga","2000-09-01T00:00:00.000+0000",NA,"2","E.M. Francisco",2000,4,26,"Brazil","Paraná","Ibiporã","fazenda doralice",NA,NA,"Geografia: árvore 6 m, frutos imaturos de cor verde. borea da mata.;","BRA:UNESPSJRP:SJRP:0000022964","Cordia tarodae M.Stapf"
"8",NA,"UNESPSJRP","SJRP","29615","Cordia tarodae M.Stapf","Ehretiaceae","Cordia","tarodae","M.Stapf",NA,NA,NA,"724","Rezende, A.A.",2000,6,30,"Brazil","São Paulo","Paulo de Faria","Estação Ecológica",NA,NA,"Geografia: árvore, 8m, vegetativa;","BRA:UNESPSJRP:SJRP:0000029615","Cordia tarodae M.Stapf"
"9",NA,"UNESPSJRP","SJRP","22965","Cordia tarodae M.Stapf","Ehretiaceae","Cordia","tarodae","M.Stapf","Neusa T. Ranga","2000-09-01T00:00:00.000+0000",NA,"492","A.O.S. Vieira",1999,5,2,"Brazil","Paraná","Ibiporã","fazenda doralice",NA,NA,"Geografia: árvore 10 m, frutos imaturos verdes;","BRA:UNESPSJRP:SJRP:0000022965","Cordia tarodae M.Stapf"
"10",NA,"UNESPSJRP","SJRP","29379","Cordia tarodae M.Stapf","Ehretiaceae","Cordia","tarodae","M.Stapf",NA,NA,NA,"s/n","Tomasetto, F.",1999,5,3,"Brazil","São Paulo","São José do Rio Preto","Mata dos Macacos",-49.4,-20.883333,"Geografia: Árvore, 18m, tronco de cor cinza, levemente fissurado, fruto de cor marrom.;","BRA:UNESPSJRP:SJRP:0000029379","Cordia tarodae M.Stapf"
"11",NA,"UNESPSJRP","SJRP","10788","Cordia tarodae M.Stapf","Ehretiaceae","Cordia","tarodae","M.Stapf","N.M. Ivanauskas","1996-01-01T00:00:00.000+0000",NA,"676","N.M. Ivanauskas",1996,1,18,"Brazil","São Paulo","Pariquera-Açu","propriedade de antonio povinski",-47.876944,-24.675833,"Geografia: árvore de 3 m. flores brancas.;","BRA:UNESPSJRP:SJRP:0000010788","Cordia tarodae M.Stapf"
