"","modified","institutionCode","collectionCode","catalogNumber","scientificName","family","genus","specificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLongitude","decimalLatitude","occurrenceRemarks","occurrenceID","bibliographicCitation","acceptedNameUsage"
"1",NA,"NY","NY","01197955","Hirtella bahiensis Prance","Chrysobalanaceae","Hirtella","bahiensis","Prance","G. T. Prance","2006-01-01T00:00:00.000+0000",NA,"331",NA,"J. L. PaixÃ£o",2003,11,13,"Brazil","Bahia",NA,"Rod. para CaÃ­ru, ca. 15.5 km da BA-001.",-39.03,-13.5633,NA,"2f3220fe-618c-45da-9a69-0139bd35ceac",NA,"Hirtella bahiensis Prance"
"2",NA,"UCS","HUCS","44726","Hirtella bahiensis Prance","Chrysobalanaceae","Hirtella","bahiensis","Prance",NA,NA,NA,"8445",NA,"Sobral, M.; et alii",1997,1,NA,"Brazil","Bahia","Sabaúma","Entre rios",0,0,"Região de mata ombrófila densa e formações pioneiras litorâneas(restinga)","BRA:UCS:HUCS:0000044726",NA,"Hirtella bahiensis Prance"
"3",NA,"UESC","UESC","3272","Hirtella bahiensis Prance","Chrysobalanaceae","Hirtella","bahiensis","Prance","R. Asprimo","2016-03-01T00:00:00.000+0000",NA,"159",NA,"Jesus, N.G.",1997,10,5,"Brazil","Bahia","Entre Rios",NA,NA,NA,"Árvore: 26,25m x 1,15m, tronco de casca espessa, rugosa, fissuras longitudinais, profundas, esfoliante nas porções mais velha.; Especie frequente. Projeto Lontra/Saudade - Convênio UNEB-DCET/COPENER Florestal Ltda.","BRA:UESC:UESC:0000003272",NA,"Hirtella bahiensis Prance"
"4",NA,"UEFS","HUEFS","25280","Hirtella bahiensis Prance","Chrysobalanaceae","Hirtella","bahiensis","Prance","G.T.Prance","2003-02-01T00:00:00.000+0000",NA,"28426",NA,"Harley, R.M.",1996,10,4,"Brazil","Bahia","Cairú","Ilha Morro do São Paulo, Caminho entre Mangabeira e Gamboa.",NA,NA,"(Mata). Areia.","BRA:UEFS:HUEFS:0000025280",NA,"Hirtella bahiensis Prance"
"5",NA,"Escola Superior de Agricultura Luiz de Queiroz, ESALQ","ESA","ESA049930","Hirtella bahiensis Prance","Chrysobalanaceae","Hirtella","bahiensis","Prance","Plana, V.",NA,NA,"28426",NA,"Harley, R.M. ; Giulietti, A.M.",1996,10,4,"Brazil","Bahia","Cairú",NA,NA,NA,NA,"BRA:ESALQ:ESA:0ESA049930",NA,"Hirtella bahiensis Prance"
"6","2014-07-07T21:49:55.000+0000","JBRJ","RB","RB00658176","Hirtella bahiensis Prance","Chrysobalanaceae","Hirtella","bahiensis","Prance","Pablo Figueiredo e Nathan Borges",NA,NA,"84",NA,"S.C. de Sant´ Ana; A.M. de Carvalho, A. Amorim, A. Mayer",1991,12,12,"Brazil","Bahia","Porto Seguro","Ca Km na estr. que liga Arraial D´ Ajuda á Trancoso. .",NA,NA,"Arbusto de 2,5m de altura. Folhas verdes concolores. Flores esverdeadas.","urn:catalog:JBRJ:RB:658176",NA,"Hirtella bahiensis Prance"
"7",NA,"NY","NY","378154","Hirtella bahiensis Prance","Chrysobalanaceae","Hirtella","bahiensis","Prance","G. T. Prance","1979-01-01T00:00:00.000+0000",NA,"10936",NA,"S. A. Mori",1978,10,21,"Brazil","Bahia",NA,"PrÃ³ximo a Santa Cruz de CabrÃ¡lia, 2 a 4 km da saÃ­da, pela antiga estrada",-39.044099,-16.298624,NA,"d5dd619e-26a5-4159-983f-af1c45856248",NA,"Hirtella bahiensis Prance"
"8",NA,"NY","NY","378157","Hirtella bahiensis Prance","Chrysobalanaceae","Hirtella","bahiensis","Prance","G. T. Prance","1978-05-01T00:00:00.000+0000",NA,"1284",NA,"T. S. dos Santos",1970,12,11,"Brazil","Bahia",NA,"IlhÃ©us, estrada a OlivenÃ§a",-39.0490868076529,-14.7929067831182,NA,"109ecdc8-ea65-40a1-8106-78d7fbaeffc7",NA,"Hirtella bahiensis Prance"
"9",NA,"NY","NY","378151","Hirtella bahiensis Prance","Chrysobalanaceae","Hirtella","bahiensis","Prance","G. T. Prance",NA,NA,"3094",NA,"R. P. BelÃ©m",1967,1,13,"Brazil","Bahia",NA,"Mata costeira",-39.0142848699912,-14.1069915207267,NA,"7bf1d7b4-b7d6-45de-a18e-189eee53490f",NA,"Hirtella bahiensis Prance"
"10",NA,"UnB","UB","2056","Hirtella bahiensis Prance","Chrysobalanaceae","Hirtella","bahiensis","Prance","Prance, GT",NA,"ISOTYPE","2756",NA,"Belém, RP; Pinheiro, RS",1966,10,31,"Brazil","Bahia","Santa Cruz Cabrália","Mata Costeira",0,0,"Tipo.; Árvore x 20cm. Flor arroxeada; Mata costeira.","BRA:UnB:UB:0000002056",NA,"Hirtella bahiensis Prance"
"11",NA,"NY","NY","428174","Hirtella bahiensis Prance","Chrysobalanaceae","Hirtella","bahiensis","Prance",NA,NA,"HOLOTYPE","2756",NA,"R. P. BelÃ©m",1966,10,31,"Brazil","Bahia",NA,"2-4 Km a W de Sta. Cruz de CabrÃ¡lia, pela estrada antiga. Folha SE-24 (16-39c).",-39.044099,-16.298624,NA,"99082e68-4747-40a1-8303-9b6336fd20c9",NA,"Hirtella bahiensis Prance"
"12","2009-02-17T11:50:13.000+0000","JBRJ","RB","RB00537031","Hirtella bahiensis Prance","Chrysobalanaceae","Hirtella","bahiensis","Prance","G.T. Prance","1987-01-27T00:00:00.000+0000","PARATYPE","8029",NA,"Duarte, A.P.",1963,11,21,"Brazil","Bahia","Porto Seguro","arredores da cidade.",NA,NA,"Árvore de carrasco, copada, tronco de cortes espessa e áspera.","urn:catalog:JBRJ:RB:537031",NA,"Hirtella bahiensis Prance"
"13",NA,"Instituto de Botânica, IBT","SP","413166","Hirtella bahiensis Prance","Chrysobalanaceae","Hirtella","bahiensis","Prance","Prance, GT","1972-01-01T00:00:00.000+0000","PARATYPE","8029",NA,"Duarte, AP",1963,11,21,"Brazil","Bahia","Porto Seguro","Arredores da cidade. Carrasco",0,0,"Árvore copada, tronco de cortex espessa e áspera","BRA:IBt:SP:0000413166",NA,"Hirtella bahiensis Prance"
"14","2009-02-17T11:51:21.000+0000","JBRJ","RB","RB00537155","Hirtella bahiensis Prance","Chrysobalanaceae","Hirtella","bahiensis","Prance","G.T. Prance","1987-01-27T00:00:00.000+0000","PARATYPE","8029",NA,"Duarte, A.P.",1963,11,21,"Brazil","Bahia","Porto Seguro","arredores da cidade.",NA,NA,"Árvore de carrasco, copada, tronco de cortes espessa e áspera.","urn:catalog:JBRJ:RB:537155",NA,"Hirtella bahiensis Prance"
"15",NA,"MBM","MBM","347332","Hirtella bahiensis Prance","Chrysobalanaceae","Hirtella","bahiensis","Prance","Prance, GT","1972-01-01T00:00:00.000+0000","PARATYPE","8029",NA,"Duarte, AP",1963,11,21,"Brazil","Bahia","Porto Seguro","Arredores da cidade.",0,0,"Árvore de carrasco, copada, tronco de cortes espessa e áspera.","BRA:MBM:MBM:0000347332",NA,"Hirtella bahiensis Prance"
"16",NA,"Comissão Executiva do Plano da Lavoura Cacaueira (CEPLAC)","CEPEC","64319","Hirtella bahiensis Prance","Chrysobalanaceae","Hirtella","bahiensis","Prance","A. M. Amorim",NA,NA,"5449",NA,"A. M. de Carvalho",NA,NA,NA,"Brazil","Bahia","ILHÉUS","Mata da Esperança. Entrada a 2Km a partir da antiga ponte do Rio Fundão. Árvore n. 1301 Parcela n. 32.",-39.069167,-14.781944,"Ambiente: Mata higrofila. Habito: Árvore maior que 20m e menor que 50m","BRA:CEPLAC:CEPEC:0000064319",NA,"Hirtella bahiensis Prance"
"17","2014-09-26T00:00:00.000+0000","Instituto Nacional de Pesquisas da Amazônia (INPA)","Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)","105319","Hirtella bahiensis Prance","Chrysobalanaceae","Hirtella","bahiensis","Prance","Prance, G.T.","1983-02-01T00:00:00.000+0000",NA,"30",NA,"Mike Hopkins",1975,11,24,"Brazil","Espírito Santo",NA,NA,NA,NA,NA,"urn:catalog:inpa:herbarium:72907",NA,"Hirtella bahiensis Prance"
"18",NA,"UFRGS","ICN","123625","Hirtella bahiensis Prance","Chrysobalanaceae","Hirtella","bahiensis","Prance",NA,NA,NA,"8445",NA,"Sobral, M; et al.",NA,NA,NA,"Brazil","Ba","Subaúma","Entre Rios",0,0,"V. Prance, Fl. Neotropica 9: 307. 1972.","BRA:UFRGS:ICN:0000123625",NA,"Hirtella bahiensis Prance"
"19",NA,"Comissão Executiva do Plano da Lavoura Cacaueira (CEPLAC)","CEPEC","54574","Hirtella bahiensis Prance","Chrysobalanaceae","Hirtella","bahiensis","Prance","G. T. Prance",NA,NA,"84",NA,"S. C. de Sant'Ana",NA,NA,NA,"Brazil","Bahia","porto seguro","6-7Km estr. Arraial D'Ajuda/Trancoso.",NA,NA,"Ambiente: Mata de Restinga. Habito: Arbusto","BRA:CEPLAC:CEPEC:0000054574",NA,"Hirtella bahiensis Prance"
"20",NA,"Comissão Executiva do Plano da Lavoura Cacaueira (CEPLAC)","CEPEC","37650","Hirtella bahiensis Prance","Chrysobalanaceae","Hirtella","bahiensis","Prance","G. T. Prance",NA,NA,"72",NA,"R. Voeks",NA,NA,NA,"Brazil","Bahia","ILHÉUS","Km 11 Rod. Ilheus/Una< Faz. B. do Manguinho.",-39.033333,-14.783333,"Ambiente: Restinga estragada. Solo silico-argiloso. Habito: Árvore maior que 5m e menor 20m","BRA:CEPLAC:CEPEC:0000037650",NA,"Hirtella bahiensis Prance"
"21",NA,"Comissão Executiva do Plano da Lavoura Cacaueira (CEPLAC)","CEPEC","124634","Hirtella bahiensis Prance","Chrysobalanaceae","Hirtella","bahiensis","Prance","A. P. Duarte",NA,"PARATYPE","8029",NA,"A. P. Duarte",NA,NA,NA,"Brazil","Bahia","PORTO SEGURO","Arredores da cidade. Obs. Árvore de carrasco, copada.",NA,NA,"Ambiente: Sem informação. Habito: Árvore","BRA:CEPLAC:CEPEC:0000124634",NA,"Hirtella bahiensis Prance"
