"","institutionCode","catalogNumber","recordedBy"
"1","Instituto Nacional de Pesquisas da Amazônia (INPA)","251099","Pereira-Silva, G da"
"2","Instituto Nacional de Pesquisas da Amazônia (INPA)","253557","Pereira-Silva, G da"
"3","Instituto Nacional de Pesquisas da Amazônia (INPA)","253802",NA
"4","Instituto Nacional de Pesquisas da Amazônia (INPA)","254007","Sakagawa, S"
"5","Instituto Nacional de Pesquisas da Amazônia (INPA)","222626","Pereira, E da C."
"6","Instituto Nacional de Pesquisas da Amazônia (INPA)","222619","Pereira, E da C."
"7","Instituto Nacional de Pesquisas da Amazônia (INPA)","222617","Pereira, E da C."
"8","Instituto Nacional de Pesquisas da Amazônia (INPA)","222614","Pereira, E da C."
"9","Instituto Nacional de Pesquisas da Amazônia (INPA)","222623","Pereira, E da C."
"10","Instituto Nacional de Pesquisas da Amazônia (INPA)","222627","Pereira, E da C."
"11","Instituto Nacional de Pesquisas da Amazônia (INPA)","222598","Castilho, CV"
"12","Instituto Nacional de Pesquisas da Amazônia (INPA)","222631","Castilho, CV"
"13","Instituto Nacional de Pesquisas da Amazônia (INPA)","222603","Castilho, CV"
"14","Instituto Nacional de Pesquisas da Amazônia (INPA)","222605","Castilho, CV"
"15","Instituto Nacional de Pesquisas da Amazônia (INPA)","222602","Castilho, CV"
"16","Instituto Nacional de Pesquisas da Amazônia (INPA)","222607","Castilho, CV"
"17","Instituto Nacional de Pesquisas da Amazônia (INPA)","222599","Castilho, CV"
"18","Instituto Nacional de Pesquisas da Amazônia (INPA)","222600","Castilho, CV"
"19","Instituto Nacional de Pesquisas da Amazônia (INPA)","222604","Castilho, CV"
"20","Instituto Nacional de Pesquisas da Amazônia (INPA)","222606","Castilho, CV"
"21","Instituto Nacional de Pesquisas da Amazônia (INPA)","191135","Assun̤̣o, PACL"
"22","Instituto Nacional de Pesquisas da Amazônia (INPA)","177629","Vicentini, A"
"23","Instituto Nacional de Pesquisas da Amazônia (INPA)","177637","Ribeiro, JELS"
"24","Instituto Nacional de Pesquisas da Amazônia (INPA)","177618","Vicentini, A"
"25","Instituto Nacional de Pesquisas da Amazônia (INPA)","177610","Sothers, CA"
"26","Instituto Nacional de Pesquisas da Amazônia (INPA)","177587","Pruski, JF"
"27","Instituto Nacional de Pesquisas da Amazônia (INPA)","155254","Pruski, JF"
"28","Instituto Nacional de Pesquisas da Amazônia (INPA)","85802","Acero, E"
"29","Instituto Nacional de Pesquisas da Amazônia (INPA)","72969","Oliveira, AR de"
"30","Instituto Nacional de Pesquisas da Amazônia (INPA)","72970","Oliveira, AR de"
"31","Instituto Nacional de Pesquisas da Amazônia (INPA)","78860","Ribeiro, BGS"
"32","Instituto Nacional de Pesquisas da Amazônia (INPA)","16646","Rodrigues, WA"
"33","Instituto Nacional de Pesquisas da Amazônia (INPA)","16351","Ducke, A"
"34","Instituto Nacional de Pesquisas da Amazônia (INPA)","6112","Pessoal do C.P.F."
"35","Instituto Nacional de Pesquisas da Amazônia (INPA)","5783","Rodrigues, WA"
"36","Instituto Nacional de Pesquisas da Amazônia (INPA)","5864","Rodrigues, WA"
"37","Instituto Nacional de Pesquisas da Amazônia (INPA)","5855","Ferreira, E"
"38","Instituto Nacional de Pesquisas da Amazônia (INPA)","3502","Almeida, JC de"
"39","Instituto Nacional de Pesquisas da Amazônia (INPA)","1987","Rodrigues, WA"
"40","Instituto Nacional de Pesquisas da Amazônia (INPA)","2085","Rodrigues, WA"
"41","Instituto Nacional de Pesquisas da Amazônia (INPA)","4847","Pires, JM"
