"","modified","institutionCode","collectionCode","catalogNumber","scientificName","family","genus","specificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLongitude","decimalLatitude","occurrenceRemarks","occurrenceID","acceptedNameUsage","identificationQualifier","infraspecificEpithet","comments","bibliographicCitation"
"1",NA,"Instituto de Botânica, IBT","SP","384412A","Croton campanulatus Caruzo & Cordeiro","Euphorbiaceae","Croton","campanulatus","Caruzo & Cordeiro","Cordeiro, I; Caruzo, MBR","2008-01-01T00:00:00.000+0000","HOLOTYPE","93",NA,"Caruzo, MBR; Riina, R; Camps, N",2006,2,6,"Brazil","Rio de Janeiro","Itatiaia","Parque Nacional do Itatiaia, Estrada para a piscina do Maromba, ao longo da estrada. Mata atlântica",-44.613611,-22.436111,"Árvore ca. 5 m alt., látex avermelhado, caule cilíndrico, ramos jovens cilíndricos, ferrugíneos; lobos do cálice das flores masculinas e femininas ferrugíneos; estiletes alvos. Outras espécies no local: Croton vulnerarius e C. organen","BRA:IBt:SP:000384412A","Croton campanulatus Caruzo & Cordeiro",NA,NA,NA,NA
"2",NA,"NY","NY","1085730","Croton campanulatus Caruzo & Cordeiro","Euphorbiaceae","Croton","campanulatus","Caruzo & Cordeiro",NA,NA,"ISOTYPE","93",NA,"M. B. R. Caruzo",2006,11,6,"Brazil","Rio de Janeiro",NA,"Parque Estadual de Itatiaia, estrada para a piscina do Maromba, ao longo da estrada",-44.61372,-22.4361,NA,"2feafd8c-eb49-4314-b0c5-42ed1185bd45","Croton campanulatus Caruzo & Cordeiro",NA,NA,NA,NA
"3","2017-10-18T14:54:07.000+0000","JBRJ","RB","RB00560637","Croton campanulatus Caruzo & Cordeiro","Euphorbiaceae","Croton","campanulatus","Caruzo & Cordeiro","I. Cordeiro","2009-03-30T00:00:00.000+0000","PARATYPE","201",NA,"A.Quinet; et al",1999,5,18,"Brazil","Rio de Janeiro","Itatiaia","Parque Nacional do Itatiaia.Trilha do Hotel Simon para o Três Picos.",-44.566667,-22.25,"Arvoreta heliófila, com ca 3m alt, folhas cartáceas, rugosas, flores com cálice com escamas ferrugíneas.","urn:catalog:JBRJ:RB:560637","Croton campanulatus Caruzo & Cordeiro",NA,NA,NA,NA
"4",NA,"NY","NY","1085938","Croton campanulatus Caruzo & Cordeiro","Euphorbiaceae","Croton","campanulatus","Caruzo & Cordeiro",NA,NA,NA,"201",NA,"A. Quinet",1999,5,18,"Brazil","Rio de Janeiro",NA,"Parque Nacional do Itatiaia, Trilha do Hotel Simon para o Tres Picos",-44.65833,-22.35833,NA,"0c9fd82d-dc4d-4c6a-917b-6bb2498a8956","Croton campanulatus Caruzo & Cordeiro",NA,NA,NA,NA
"5",NA,"MBM","MBM","350585","Croton campanulatus Caruzo & Cordeiro","Euphorbiaceae","Croton","campanulatus","Caruzo & Cordeiro","Cordeiro, I","2009-03-30T00:00:00.000+0000","PARATYPE","201",NA,"Quinet, A",1999,5,18,"Brazil","Rio de Janeiro","Itatiaia","Parque Nacional do Itatiaia, Trilha do Hotel Simon para o Três Picos.",-44.566667,-22.25,"Arvoreta heliófila, cam ca 3m alt., folhas cartáceas, rugosas, flores com cálice com escamas ferrugíneas.","BRA:MBM:MBM:0000350585","Croton campanulatus Caruzo & Cordeiro",NA,NA,NA,NA
"6","2014-07-22T15:35:03.000+0000","JBRJ","RB","RB00475552","Croton campanulatus Caruzo & Cordeiro","Euphorbiaceae","Croton","campanulatus","Caruzo & Cordeiro","I. Cordeiro","2009-03-30T00:00:00.000+0000","PARATYPE","399",NA,"M.P.M. de Lima; et al",1997,8,11,"Brazil","Rio de Janeiro","Itatiaia","Parque Nacional do Itatiaia. Ponte do Maromba.",-44.566667,-22.25,"Árvore ca. 5m de altura, ramos fortemente ferrugíneos. Folhas distintamente discolores com a face ventral verde e a dorsal argéntea com as nervuras ferrugineas. Cálice ferrugíneos, frutos ainda imaturos verdes.","urn:catalog:JBRJ:RB:475552","Croton campanulatus Caruzo & Cordeiro",NA,NA,NA,NA
"7",NA,"NY","NY","1181457","Croton campanulatus Caruzo & Cordeiro","Euphorbiaceae","Croton","campanulatus","Caruzo & Cordeiro",NA,NA,NA,"2536",NA,"R. R. Guedes",1995,3,27,"Brazil","Rio de Janeiro",NA,"Parque Nacional do Itatiaia. TrÃªs Picos.",-44.5667,-22.25,NA,"42626c39-6757-48d7-a68a-b58fb08eb003","Croton campanulatus Caruzo & Cordeiro",NA,NA,NA,NA
"8",NA,"Instituto de Botânica, IBT","SP","426593","Croton campanulatus Caruzo & Cordeiro","Euphorbiaceae","Croton","campanulatus","Caruzo & Cordeiro","Cordeiro, I","2009-03-30T00:00:00.000+0000","PARATYPE","918",NA,"Sylvestre, L; et al.",1993,11,9,"Brazil","Rio de Janeiro","Itatiaia","Parque Nacional do Itatiaia, Trilha do Hotel Simon para os Três Picos",-44.566667,-22.25,"Árvore ca. 9 m alt. Folhas discolores, alvacentas na face abaxial com pêlos estrelados avermelhados e verdes na face adaxial. Par de glândulas pediceladas na base da lâmina. Botões avermelhados, bem como ramos, pela concentração de pêlo","BRA:IBt:SP:0000426593","Croton campanulatus Caruzo & Cordeiro",NA,NA,NA,NA
"9","2014-07-22T15:35:03.000+0000","JBRJ","RB","RB00475559","Croton campanulatus Caruzo & Cordeiro","Euphorbiaceae","Croton","campanulatus","Caruzo & Cordeiro","I. Cordeiro","2009-03-30T00:00:00.000+0000","PARATYPE","918",NA,"L.Sylvestre; et al",1993,11,9,"Brazil","Rio de Janeiro","Itatiaia","Parque Nacional do Itatiaia.Trilha do Hotel Simon para o Três Picos.",-44.566667,-22.25,"Arvore com ca. de 9m de altura. Folhas discolores, alvacentas na face abaxial com pelos estrelados avermelhados e verdes na face adaxial. Par de glândulas pediceladas na base da lamina. Botôes avermelhadas, bem como ramos, pela concentração de pelos estrelados. Frutos jovens presentes.","urn:catalog:JBRJ:RB:475559","Croton campanulatus Caruzo & Cordeiro",NA,NA,NA,NA
"10",NA,"US","Botany","2433983","Croton campanulatus Caruzo & Cordeiro","Euphorbiaceae","Croton","campanulatus","Caruzo & Cordeiro",NA,NA,NA,"6974",NA,"E. Pereira",1962,4,3,"Brazil","Rio de Janeiro",NA,"Itatiaia, Parque Nacional",NA,NA,"Transcribed by digital volunteers","http://n2t.net/ark:/65665/35c47a500-6584-4377-874b-41d3dfb2c36a","Croton campanulatus Caruzo & Cordeiro",NA,NA,NA,NA
