"","modified","institutionCode","collectionCode","catalogNumber","scientificName","family","genus","specificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLongitude","decimalLatitude","occurrenceRemarks","occurrenceID","bibliographicCitation","acceptedNameUsage"
"1","2/06/17 16:23","INPA","INPA","114189","Andira unifoliolata","Leguminosae-Pap","Andira",NA,"Ducke","Pennington, RT",NA,NA,NA,NA,NA,NA,NA,NA,"Brasil","Amazonas",NA,"rio Apoquitaua, acima do lugar SÃ£o SebastiÃ£o.",NA,NA,NA,NA,NA,"Andira unifoliolata Ducke"
"2","2/06/17 16:23","INPA","INPA","141863","Andira unifoliolata","Leguminosae-Pap","Andira",NA,"Ducke","Pennington, RT",NA,NA,NA,NA,NA,NA,NA,NA,"Brasil","ParÃ¡",NA,"Estrada do CaranÃ£, Entrada para a Barragem Velha.",NA,NA,NA,NA,NA,"Andira unifoliolata Ducke"
"3","2/06/17 16:23","INPA","INPA","146243","Andira unifoliolata","Leguminosae-Pap","Andira",NA,"Ducke","CoÃªlho, LF; CoÃªlho, LS",NA,NA,NA,NA,NA,NA,NA,NA,"Brasil","ParÃ¡",NA,"Cachoeiras de Tramalhetinha e JandiÃ¡, Coletas botÃ¢nicas executadas em ambas as margens do rio Trombetas, entre as cachoeiras de Tramalhetinha e JandiÃ¡.",NA,NA,NA,NA,NA,"Andira unifoliolata Ducke"
"4","2/06/17 16:23","INPA","INPA","14897","Andira unifoliolata","Leguminosae-Pap","Andira",NA,"Ducke","Rodrigues, WA",NA,NA,NA,NA,NA,NA,NA,NA,"Brasil","Amazonas",NA,"Reserva Florestal Adolfo Ducke, Reserva Florestal Ducke, margem da estrada.",NA,NA,NA,NA,NA,"Andira unifoliolata Ducke"
"5","2/06/17 16:23","INPA","INPA","151673","Andira unifoliolata","Leguminosae-Pap","Andira",NA,"Ducke","Lima, HC de",NA,NA,NA,NA,NA,NA,NA,NA,"Brasil","Amazonas",NA,"Represa de Balbina on Rio UatumÃ£: E of River, ca 4 km NE of dam on road S-5",NA,NA,NA,NA,NA,"Andira unifoliolata Ducke"
"6","2/06/17 16:23","INPA","INPA","15438","Andira unifoliolata","Leguminosae-Pap","Andira",NA,"Ducke","Rodrigues, WA",NA,NA,NA,NA,NA,NA,NA,NA,"Brasil","Amazonas",NA,"Reserva Florestal Adolfo Ducke, Reserva Florestal Ducke, ao lado do portÃ£o.",NA,NA,NA,NA,NA,"Andira unifoliolata Ducke"
"7","2/06/17 16:23","INPA","INPA","15767","Andira unifoliolata","Leguminosae-Pap","Andira",NA,"Ducke",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Brasil","Amazonas",NA,"AM 010, Km 74., Estrada AM-1, km 74, ao lado direito.",NA,NA,NA,NA,NA,"Andira unifoliolata Ducke"
"8","2/06/17 16:23","INPA","INPA","15944","Andira unifoliolata","Leguminosae-Pap","Andira",NA,"Ducke","Ducke, A",NA,"isotype",NA,NA,NA,NA,NA,NA,"Brasil","Amazonas",NA,"Estrada do Aleixo, km 4. Mata de terra firme.",NA,NA,NA,NA,NA,"Andira unifoliolata Ducke"
"9","2/06/17 16:23","INPA","INPA","16857","Andira unifoliolata","Leguminosae-Pap","Andira",NA,"Ducke","Rodrigues, WA",NA,NA,NA,NA,NA,NA,NA,NA,"Brasil","Amazonas",NA,"Reserva Florestal Adolfo Ducke, Rreserva Florestal Ducke, Ã¡rvore 13 do fenolÃ_gico",NA,NA,NA,NA,NA,"Andira unifoliolata Ducke"
"10","2/06/17 16:23","INPA","INPA","17223","Andira unifoliolata","Leguminosae-Pap","Andira",NA,"Ducke",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Brasil","Amazonas",NA,"Reserva Florestal Adolfo Ducke, Reserva Florestal Ducke. FenolÃ_gico nÂº 20",NA,NA,NA,NA,NA,"Andira unifoliolata Ducke"
