"","institutionCode","catalogNumber","recordedBy"
"1","Instituto Nacional de Pesquisas da Amazônia (INPA)","238957","Prata, EMB"
"2","Instituto Nacional de Pesquisas da Amazônia (INPA)","232700","Castilho, CV"
"3","Instituto Nacional de Pesquisas da Amazônia (INPA)","212780","Silva, JAC da"
"4","Instituto Nacional de Pesquisas da Amazônia (INPA)","178900","Nascimento, JR"
"5","Instituto Nacional de Pesquisas da Amazônia (INPA)","151673","Thomas, WW"
"6","Instituto Nacional de Pesquisas da Amazônia (INPA)","146243","Co̻lho, LS"
"7","Instituto Nacional de Pesquisas da Amazônia (INPA)","141863","Soares, E"
"8","Instituto Nacional de Pesquisas da Amazônia (INPA)","114189","Ferreira, CAC"
"9","Instituto Nacional de Pesquisas da Amazônia (INPA)","92329","Rankin, JM"
"10","Instituto Nacional de Pesquisas da Amazônia (INPA)","54756","Mello, FC de"
"11","Instituto Nacional de Pesquisas da Amazônia (INPA)","55233","Mello, FC de"
"12","Instituto Nacional de Pesquisas da Amazônia (INPA)","54761","Mello, FC de"
"13","Instituto Nacional de Pesquisas da Amazônia (INPA)","57631","Mac̻do, R"
"14","Instituto Nacional de Pesquisas da Amazônia (INPA)","59710","Souza, JAC de"
"15","Instituto Nacional de Pesquisas da Amazônia (INPA)","57619","Mello, FC de"
"16","Instituto Nacional de Pesquisas da Amazônia (INPA)","60527","Oliveira, AR de"
"17","Instituto Nacional de Pesquisas da Amazônia (INPA)","60914","Lourteig, A"
"18","Instituto Nacional de Pesquisas da Amazônia (INPA)","60917","Lourteig, A"
"19","Instituto Nacional de Pesquisas da Amazônia (INPA)","50058","Monteiro, OP"
"20","Instituto Nacional de Pesquisas da Amazônia (INPA)","36464","Silva, MF da"
"21","Instituto Nacional de Pesquisas da Amazônia (INPA)","21126","Rodrigues, WA"
"22","Instituto Nacional de Pesquisas da Amazônia (INPA)","20999","Rodrigues, WA"
"23","Instituto Nacional de Pesquisas da Amazônia (INPA)","21331","Rodrigues, WA"
"24","Instituto Nacional de Pesquisas da Amazônia (INPA)","21363","Souza, JA de"
"25","Instituto Nacional de Pesquisas da Amazônia (INPA)","23853","Souza, JA de"
"26","Instituto Nacional de Pesquisas da Amazônia (INPA)","23857","Souza, JA de"
"27","Instituto Nacional de Pesquisas da Amazônia (INPA)","16857","Rodrigues, WA"
"28","Instituto Nacional de Pesquisas da Amazônia (INPA)","17223","Rodrigues, WA"
"29","Instituto Nacional de Pesquisas da Amazônia (INPA)","15438","Rodrigues, WA"
"30","Instituto Nacional de Pesquisas da Amazônia (INPA)","15767","Rodrigues, WA"
"31","Instituto Nacional de Pesquisas da Amazônia (INPA)","17354","Rodrigues, WA"
"32","Instituto Nacional de Pesquisas da Amazônia (INPA)","14897","Rodrigues, WA"
"33","Instituto Nacional de Pesquisas da Amazônia (INPA)","239762","Ducke, A"
"34","Instituto Nacional de Pesquisas da Amazônia (INPA)","15944","Ducke, A"
