"","modified","institutionCode","collectionCode","catalogNumber","scientificName","family","genus","specificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLongitude","decimalLatitude","occurrenceRemarks","occurrenceID","bibliographicCitation","acceptedNameUsage","identificationQualifier","infraspecificEpithet","fieldNumber","comments"
"1",NA,"F","Botany","V0111078F","Dimorphandra exaltata Schott","Fabaceae","Dimorphandra","exaltata","Schott",NA,NA,NA,NA,NA,NA,NA,NA,"Brazil",NA,NA,NA,-52.8731,-10.8339,NA,"99fd6e3b-e6a1-4f48-868c-a1cd07618630",NA,"Dimorphandra exaltata Schott",NA,NA,NA,NA
"2","2015-09-04T02:44:25.000+0000","MNHN","P","P03090011","Dimorphandra exaltata Schott","Fabaceae","Dimorphandra","exaltata","Schott",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"http://coldb.mnhn.fr/catalognumber/mnhn/p/p03090011",NA,"Dimorphandra exaltata Schott",NA,NA,NA,NA
"3",NA,"F","Botany","V0111082F","Dimorphandra exaltata Schott","Fabaceae","Dimorphandra","exaltata","Schott",NA,NA,NA,NA,NA,NA,NA,NA,"Brazil",NA,NA,NA,-52.8731,-10.8339,NA,"21492e74-5a99-41bd-88ff-614218bec310",NA,"Dimorphandra exaltata Schott",NA,NA,NA,NA
"4","2015-09-04T02:44:25.000+0000","MNHN","P","P03090015","Dimorphandra exaltata Schott","Fabaceae","Dimorphandra","exaltata","Schott",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"http://coldb.mnhn.fr/catalognumber/mnhn/p/p03090015",NA,"Dimorphandra exaltata Schott",NA,NA,NA,NA
"5","2015-09-04T02:44:25.000+0000","MNHN","P","P03090012","Dimorphandra exaltata Schott","Fabaceae","Dimorphandra","exaltata","Schott",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"http://coldb.mnhn.fr/catalognumber/mnhn/p/p03090012",NA,"Dimorphandra exaltata Schott",NA,NA,NA,NA
"6","2015-09-04T02:44:25.000+0000","MNHN","P","P03090010","Dimorphandra exaltata Schott","Fabaceae","Dimorphandra","exaltata","Schott",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"http://coldb.mnhn.fr/catalognumber/mnhn/p/p03090010",NA,"Dimorphandra exaltata Schott",NA,NA,NA,NA
"7","2015-09-04T02:44:25.000+0000","MNHN","P","P03090009","Dimorphandra exaltata Schott","Fabaceae","Dimorphandra","exaltata","Schott",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"http://coldb.mnhn.fr/catalognumber/mnhn/p/p03090009",NA,"Dimorphandra exaltata Schott",NA,NA,NA,NA
"8",NA,"F","Botany","V0111081F","Dimorphandra exaltata Schott","Fabaceae","Dimorphandra","exaltata","Schott",NA,NA,NA,NA,NA,NA,NA,NA,"Brazil",NA,NA,NA,-52.8731,-10.8339,NA,"daeb4ebc-a81f-4525-aaa0-ebb06c6a0015",NA,"Dimorphandra exaltata Schott",NA,NA,NA,NA
"9",NA,"F","Botany","V0111080F","Dimorphandra exaltata Schott","Fabaceae","Dimorphandra","exaltata","Schott",NA,NA,NA,NA,NA,NA,NA,NA,"Brazil",NA,NA,NA,-52.8731,-10.8339,NA,"8e4ba23a-61b0-44cc-82da-27d130553dbd",NA,"Dimorphandra exaltata Schott",NA,NA,NA,NA
"10","2015-09-04T02:44:25.000+0000","MNHN","P","P03090014","Dimorphandra exaltata Schott","Fabaceae","Dimorphandra","exaltata","Schott",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"http://coldb.mnhn.fr/catalognumber/mnhn/p/p03090014",NA,"Dimorphandra exaltata Schott",NA,NA,NA,NA
"11",NA,"F","Botany","V0111079F","Dimorphandra exaltata Schott","Fabaceae","Dimorphandra","exaltata","Schott",NA,NA,NA,NA,NA,NA,NA,NA,"Brazil",NA,NA,NA,-52.8731,-10.8339,NA,"3495595a-fb61-47ba-ba5d-551082aff1a1",NA,"Dimorphandra exaltata Schott",NA,NA,NA,NA
"12",NA,"UNICAMP","UEC","92306","Dimorphandra exaltata Schott","Fabaceae","Dimorphandra","exaltata","Schott","Barroso, G.M.",NA,NA,"2792","Kuhlmann, M.",1951,12,28,NA,NA,NA,NA,0,0,NA,"BRA:UNICAMP:UEC:0000092306",NA,"Dimorphandra exaltata Schott",NA,NA,NA,NA
"13",NA,NA,"Botany","U.1247722","Dimorphandra exaltata Schott","Fabaceae","Dimorphandra","exaltata","Schott",NA,NA,NA,NA,"Occhioni P",1921,11,19,"unknown or invalid",NA,NA,NA,NA,NA,NA,"http://data.biodiversitydata.nl/naturalis/specimen/U.1247722",NA,"Dimorphandra exaltata Schott",NA,NA,NA,NA
