"","modified","institutionCode","collectionCode","catalogNumber","scientificName","family","genus","specificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLongitude","decimalLatitude","occurrenceRemarks","occurrenceID","acceptedNameUsage","identificationQualifier","infraspecificEpithet","comments","bibliographicCitation"
"1","2015-06-25T09:42:32.000+0000","JBRJ","RB","RB00974936","Elizabetha speciosa Ducke","Fabaceae","Elizabetha","speciosa","Ducke","J.R.Mattos e M. Nadruz","2015-06-26T00:00:00.000+0000",NA,"124",NA,"J.R.Mattos",2015,6,23,"Brazil","Rio de Janeiro","Rio de Janeiro","Canteiro 20A, JBRJ.",NA,NA,"Folhas alternas, glabras, esverdeadas, compostas pinadas, com folíolos sésseis, opostos e lineares e com margem inteira. Flores com brácteas avinhadas, sépalas e pétalas avermelhadas.","urn:catalog:JBRJ:RB:974936","Elizabetha speciosa Ducke",NA,NA,NA,NA
"2","2017-10-18T18:22:02.000+0000","JBRJ","RB","RB00902934","Elizabetha speciosa Ducke","Fabaceae","Elizabetha","speciosa","Ducke","Dexter, K.G.",NA,NA,"7001",NA,"Dexter, K.G.; Correa, C.",2014,7,3,"Brazil","Amazonas","Manaus","Reserva Adolfo Ducke, North of Manaus, PPBIO plot LO8:3500.",-59.928056,-2.960556,"8,5m alt., 4,6cm DBH, brown bark with lenticels - Material no Banco de DNA","urn:catalog:JBRJ:RB:902934","Elizabetha speciosa Ducke",NA,NA,NA,NA
"3","2014-09-26T00:00:00.000+0000","Instituto Nacional de Pesquisas da Amazônia (INPA)","Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)","256550","Elizabetha speciosa Ducke","Fabaceae","Elizabetha","speciosa","Ducke","Ramos, J.F.","2013-01-15T00:00:00.000+0000",NA,"3308",NA,"Mike Hopkins",2012,10,15,"Brazil","Pará",NA,"Rio Tapajós - Canta Galo - Mamãe Anã, Margem direita do Rio Tapajós",-57.39,-5.813611,NA,"urn:catalog:inpa:herbarium:244758","Elizabetha speciosa Ducke",NA,NA,NA,NA
"4",NA,"Instituto Federal de Educação, Ciência e Tecnologia (IFAM)","EAFM","2683","Elizabetha speciosa Ducke","Fabaceae","Elizabetha","speciosa","Ducke","Gurgel-Silva, E.","2010-10-30T00:00:00.000+0000",NA,"208",NA,"Gurgel-Silva, E.; Dantas, F.M.",2010,10,30,"Brazil","Amazonas","Manaus","IFAM, Campus Manaus-Zona Leste, Ao lado da barragem.",0,0,"Arvoreta; 10 m; CAP 40 cm; folhas com folíolos opostos e com glândulas entre os mesmo; ramos com bainha que secam e se desprendem.; Vertente. ; HA","BRA:IFAM - CMZL:EAFM:0000002683","Elizabetha speciosa Ducke",NA,NA,NA,NA
"5",NA,"Instituto Federal de Educação, Ciência e Tecnologia (IFAM)","EAFM","1360","Elizabetha speciosa Ducke","Fabaceae","Elizabetha","speciosa","Ducke","Assunção, P.","2010-03-11T00:00:00.000+0000",NA,"178",NA,"Stropp, J.; Assunção, P.",2007,7,NA,"Brazil","Amazonas","São Gabriel da Cachoeira","rio Içana; igarapé Pamaali, próximo a Escola Indígena Baniwa Coripaco Pamaali.",0,0,"Floresta de terra-firme. ; HA","BRA:IFAM - CMZL:EAFM:0000001360","Elizabetha speciosa Ducke",NA,NA,NA,NA
"6","2017-10-10T23:56:31.000+0000","JBRJ","RB","RB00141501","Elizabetha speciosa Ducke","Fabaceae","Elizabetha","speciosa","Ducke",NA,NA,NA,NA,NA,"J E Meireles",2003,1,NA,"Brazil","Rio de Janeiro","Rio de Janeiro","Cult. no Jardim Botânico, canteiro 20 A.",NA,NA,NA,"urn:catalog:JBRJ:RB:141501","Elizabetha speciosa Ducke",NA,NA,NA,NA
"7","2014-09-26T00:00:00.000+0000","Instituto Nacional de Pesquisas da Amazônia (INPA)","Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)","232915","Elizabetha speciosa Ducke","Fabaceae","Elizabetha","speciosa","Ducke",NA,NA,NA,"349",NA,"Mike Hopkins",2003,2,20,"Brazil","Amazonas",NA,"Reserva Florestal Adolfo Ducke, Rodovia Manaus-Itacoatiara, km 26. Trilha L-O2, km 4.5.",-59.55,-2.5549,NA,"urn:catalog:inpa:herbarium:215834","Elizabetha speciosa Ducke",NA,NA,NA,NA
"8","2014-09-26T00:00:00.000+0000","Instituto Nacional de Pesquisas da Amazônia (INPA)","Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)","222652","Elizabetha speciosa Ducke","Fabaceae","Elizabetha","speciosa","Ducke","Castilho, C.V. de","2007-11-01T00:00:00.000+0000",NA,"409",NA,"Mike Hopkins",2003,3,29,"Brazil","Amazonas",NA,"Reserva Florestal Adolfo Ducke, Reserva Florestal Adolpho Ducke. Rodovia Manaus-Itacoatiara, km 26. Trilha L-O6, km 6.5.",-59.97,-2.883333,NA,"urn:catalog:inpa:herbarium:119985","Elizabetha speciosa Ducke",NA,NA,NA,NA
"9","2014-09-26T00:00:00.000+0000","Instituto Nacional de Pesquisas da Amazônia (INPA)","Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)","222653","Elizabetha speciosa Ducke","Fabaceae","Elizabetha","speciosa","Ducke","Castilho, C.V. de","2003-04-01T00:00:00.000+0000",NA,"1212",NA,"Mike Hopkins",2003,4,8,"Brazil","Amazonas",NA,"Reserva Florestal Adolfo Ducke, Reserva Florestal Adolpho Ducke. Rodovia Manaus-Itacoatiara, km 26. Trilha L-O6, km 5.5. Solo argiloso.",-59.97,-2.883333,NA,"urn:catalog:inpa:herbarium:24692","Elizabetha speciosa Ducke",NA,NA,NA,NA
"10",NA,"Instituto Plantarum de Estudos da Flora Ltda (HPL)","HPL","3461","Elizabetha speciosa Ducke","Fabaceae","Elizabetha","speciosa","Ducke","H. Lorenzi","2003-11-12T00:00:00.000+0000",NA,"4167",NA,"H. Lorenzi",2003,11,12,"Brazil","Rj","Rio de Janeiro","Coletada no Jardim Botânico do Rio de Janeiro.",NA,NA,NA,"BRA:JBP:HPL:0000003461","Elizabetha speciosa Ducke",NA,NA,NA,NA
"11","2014-09-26T00:00:00.000+0000","Instituto Nacional de Pesquisas da Amazônia (INPA)","Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)","232763","Elizabetha speciosa Ducke","Fabaceae","Elizabetha","speciosa","Ducke",NA,NA,NA,"579",NA,"Mike Hopkins",2002,1,19,"Brazil","Amazonas",NA,"Reserva Florestal Adolpho Ducke., Rodovia Manaus-Itacoatiara, km 26. Trilha L-O3, km 6.5. Solo arenoso.",-59.91,-2.936429,NA,"urn:catalog:inpa:herbarium:215434","Elizabetha speciosa Ducke",NA,NA,NA,NA
"12","2014-09-26T00:00:00.000+0000","Instituto Nacional de Pesquisas da Amazônia (INPA)","Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)","210076","Elizabetha speciosa Ducke","Fabaceae","Elizabetha","speciosa","Ducke","Kinupp, V.F.","2001-01-01T00:00:00.000+0000",NA,"1717",NA,"Mike Hopkins",2001,5,1,"Brazil","Amazonas",NA,"Reserva Florestal Adolfo Ducke, Reserva Florestal Adolpho Ducke",-59.97,-2.883333,NA,"urn:catalog:inpa:herbarium:77474","Elizabetha speciosa Ducke",NA,NA,NA,NA
"13","2017-10-04T12:49:02.000+0000","JBRJ","RB","RB00194782","Elizabetha speciosa Ducke","Fabaceae","Elizabetha","speciosa","Ducke","H.C.de Lima",NA,NA,"5716",NA,"H.C. DE LIMA; R. MATEUS",2000,10,31,"Brazil","Rio de Janeiro","Rio de Janeiro","ARBORETO, CANTEIRO 20-A, PRÓXIMO À REGIÃO AMAZÔNICA.",NA,NA,"ARVORETA COM 3 M ALT. INFL. ERÉCTA COM BRÁCTEAS E BRACTÉOLAS VINOSAS. FLORES VERMELHO ESCURO, PARTE BASAL ALVA OU ALVO-AVERMELHADO. FRUTOS JOVENS CASTANHO-VINOSOS. CULTIVADA.","urn:catalog:JBRJ:RB:194782","Elizabetha speciosa Ducke",NA,NA,NA,NA
"14",NA,"UEFS","HUEFS","197840","Elizabetha speciosa Ducke","Fabaceae","Elizabetha","speciosa","Ducke",NA,NA,NA,"54",NA,"Martins, L.H.P.",1997,11,12,"Brazil","Amazonas","Manaus","Reseva Florestal Ducke, Manaus-Itacoatiara, km26.",-59.966667,-2.883333,NA,"BRA:UEFS:HUEFS:0000197840","Elizabetha speciosa Ducke",NA,NA,NA,NA
