"","modified","institutionCode","collectionCode","catalogNumber","scientificName","family","genus","specificEpithet","infraspecificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLongitude","decimalLatitude","occurrenceRemarks","occurrenceID","acceptedNameUsage","identificationQualifier","fieldNumber","comments","bibliographicCitation","FID","NOME","GEOCODIGO","POINT_X","POINT_Y","NOMEUF","SIGLAUF","estados_shp","x_estado","y_estado","new_Lat","new_Lon"
"1","2018-05-07T15:40:18.000+0000","JBRJ","RB","RB01382382","Enterolobium glaziovii (Benth.) Mesquita","Fabaceae","Enterolobium","glaziovii",NA,"(Benth.) Mesquita","H. C. de Lima & A. Novaes",NA,NA,"1404","C. Baez; E. Fernandez, R. Gomes, D. Maurenza",2018,2,1,"brazil","rio de janeiro","valenca","Mata de encosta após pasto da ""Fazenda da Concórdia"". Parque Estadual da Serra da Concórdia",-43.734444,-22.354444,"Árvore matriz nº 29; CAP 158 cm.; Tronco cinza. Seiva transparente/amarelada no corte. Ramos jovens, raque e pecíolo com indumento ferrugíneo. Folíolos verdes discolores. Frutos pretos no chão.","urn:catalog:JBRJ:RB:1382382","Enterolobium glaziovii (Benth.) Mesquita",NA,NA,NA,NA,1623,"Valença",3306107,-43.856373,-22.234282,"RIO DE JANEIRO","RJ","Rio de Janeiro",-42.66307908,-22.19581555,-22.354444,-43.734444
"2","2018-05-09T11:05:07.000+0000","JBRJ","RB","RB01386659","Enterolobium glaziovii (Benth.) Mesquita","Fabaceae","Enterolobium","glaziovii",NA,"(Benth.) Mesquita","H.C. de Lima",NA,NA,"8655","Haroldo C. de Lima; L.B. do Nascimento, G.A. Queiroz, T. Fernandes, R. Albuquerque & L.C.G. Rodrigues",2018,4,20,"brazil","rio de janeiro","nova iguacu","Tinguá, Boa Esperança, Estrada para a Represa. Floresta de encosta. Reserva Biológica do Tinguá",-43.388889,-22.564444,"Árvore cerca de 18 metros de altura. Tronco com casca lisa e acinzentada, DAP cerca de 70 centímetros. Frutos passados no chão. Ocasional. Nome vulgar: ""orelha-de-macaco"". RBcarpo 8661","urn:catalog:JBRJ:RB:1386659","Enterolobium glaziovii (Benth.) Mesquita",NA,NA,NA,NA,1460,"Nova Iguaçu",3303500,-43.503733,-22.689201,"RIO DE JANEIRO","RJ","Rio de Janeiro",-42.66307908,-22.19581555,-22.564444,-43.388889
"3","2017-10-15T12:18:18.000+0000","JBRJ","RB","RB01200138","Enterolobium glaziovii (Benth.) Mesquita","Fabaceae","Enterolobium","glaziovii",NA,"(Benth.) Mesquita","H.C. de Lima",NA,NA,"8363","Haroldo C. de Lima; J.M.A. Braga, L.J.T. Cardoso, C. de Carvalho & W. da Silva",2016,11,1,"brazil","rio de janeiro","nova iguacu","Tinguá, Represa de Macuco, picada para a Pedra da Onça. Reserva Biológica do Tinguá",-43.435,-22.576944,"Árvore com 20-25 metros de altura. Tronco com casca fissurado-escamosa, pardo-acastanhada, DAP ca. 120 cm. Frutos passados no chão. Ocasional. Fotos HCL. RBcarpo 8010","urn:catalog:JBRJ:RB:1200138","Enterolobium glaziovii (Benth.) Mesquita",NA,NA,NA,NA,1460,"Nova Iguaçu",3303500,-43.503733,-22.689201,"RIO DE JANEIRO","RJ","Rio de Janeiro",-42.66307908,-22.19581555,-22.576944,-43.435
"4","2017-10-18T15:25:42.000+0000","JBRJ","RB","RB00864300","Enterolobium glaziovii (Benth.) Mesquita","Fabaceae","Enterolobium","glaziovii",NA,"(Benth.) Mesquita","G. R. Souza; M. Gomes & G.A. Nobrega",NA,NA,NA,"Mendonça-Junior, J. O.",2014,5,12,"brazil","rio de janeiro","varre-sai","Conglomerado 287-Ex. UTM E(198790m) N(7688418m). Fuso do GPS (24K).",NA,NA,"Árvore com base digita. casca externa marrom-cinza escuro, grossa, laminada. Fruto imaturo com 4cm de raio, em forma de leg. cor interna verde com arilo e externa verde, seco.","urn:catalog:JBRJ:RB:864300","Enterolobium glaziovii (Benth.) Mesquita",NA,NA,NA,NA,2113,"Varre-Sai",3306156,-41.826241,-20.892316,"RIO DE JANEIRO","RJ","Rio de Janeiro",-42.66307908,-22.19581555,-20.892316,-41.826241
"5","2016-10-05T15:56:14.000+0000","JBRJ","RB","RB01183854","Enterolobium glaziovii (Benth.) Mesquita","Fabaceae","Enterolobium","glaziovii",NA,"(Benth.) Mesquita","D.A. Folli",NA,NA,"7128","D.A. Folli",2013,11,4,"brazil","espirito santo","linhares","Área experimental da Reserva Natural Vale.",NA,NA,NA,"urn:catalog:JBRJ:RB:1183854","Enterolobium glaziovii (Benth.) Mesquita",NA,NA,NA,NA,2565,"Linhares",3203205,-40.028138,-19.38214,"ESPIRITO SANTO","ES","Espírito Santo",-40.6681057,-19.57475617,-19.38214,-40.028138
"6",NA,"Reserva Natural Vale (CVRD)","CVRD","14606","Enterolobium glaziovii (Benth.) Mesquita","Fabaceae","Enterolobium","glaziovii",NA,"(Benth.) Mesquita","Domingos A. Folli","2013-11-04T00:00:00.000+0000",NA,"7128","Folli, D.A.",2013,11,4,"brazil","es","linhares",NA,NA,NA,"<ll>dwc_commonname:</ll> Orelha de macaco","BRA:CVRD:CVRD:0000014606","Enterolobium glaziovii (Benth.) Mesquita",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2017-10-19T07:27:09.000+0000","JBRJ","RB","RB00485116","Enterolobium glaziovii (Benth.) Mesquita","Fabaceae","Enterolobium","glaziovii",NA,"(Benth.) Mesquita","Nina L. de A. Nunes",NA,NA,"12","Nina L. de A. Nunes; H.C. de Lima, F.L.R. Filardi, J.E. Meireles",2007,3,15,"brazil","rio de janeiro","miguel pereira","Estrada de Fragoso para Vera Cruz, na faixa do orbel I 20 m após a caixa d´água da CEDAE.",-43.476389,-22.4825,"Árvore 18 m de altura, CAP 207 cm. Tronco com escamas quadriculares. Com frutos jovens esverdeados e frutos passados no chão.","urn:catalog:JBRJ:RB:485116","Enterolobium glaziovii (Benth.) Mesquita",NA,NA,NA,NA,1525,"Miguel Pereira",3302908,-43.474103,-22.510859,"RIO DE JANEIRO","RJ","Rio de Janeiro",-42.66307908,-22.19581555,-22.4825,-43.476389
"8",NA,"Reserva Natural Vale (CVRD)","CVRD","9666","Enterolobium glaziovii (Benth.) Mesquita","Fabaceae","Enterolobium","glaziovii",NA,"(Benth.) Mesquita","Domingos A. Folli","2006-08-03T00:00:00.000+0000",NA,"5335","Folli, D.A.",2006,8,3,"brazil","es","linhares",NA,NA,NA,"<ll>dwc_commonname:</ll> Orelha de macaco","BRA:CVRD:CVRD:0000009666","Enterolobium glaziovii (Benth.) Mesquita",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2014-07-08T04:46:52.000+0000","JBRJ","RB","RB00160538","Enterolobium glaziovii (Benth.) Mesquita","Fabaceae","Enterolobium","glaziovii",NA,"(Benth.) Mesquita",NA,NA,NA,"462","R. D. Ribeiro; C. M. R. de Paula, C. S. Salgado, T. S. Souza & A. Menescal",2005,5,14,"brazil","rio de janeiro","miguel pereira","São José, sítio Xapuri.",NA,NA,"Arvoreta com 13 metros de altura tronco grosso de cor claro. Folhas de raque amarronzado e folíolos discolores. Frutos verdes amarelado.","urn:catalog:JBRJ:RB:160538","Enterolobium glaziovii (Benth.) Mesquita",NA,NA,NA,NA,1525,"Miguel Pereira",3302908,-43.474103,-22.510859,"RIO DE JANEIRO","RJ","Rio de Janeiro",-42.66307908,-22.19581555,-22.510859,-43.474103
"10",NA,"UFV","VIC","34751","Enterolobium glaziovii (Benth.) Mesquita","Fabaceae","Enterolobium","glaziovii",NA,"(Benth.) Mesquita","Fernandes, J.M.","2011-05-17T00:00:00.000+0000",NA,"5088","Leoni, L.S.; Silva, A.E.",2002,7,13,"brazil","minas gerais","faria lemos","Fazenda Santa Rita, Interior de floresta.",0,0,"Árvore, ereta, c.a. de 28-30 metros de altura. Caule áspero; fruto quase no ponto de maturação.","BRA:UFV:VIC:0000034751","Enterolobium glaziovii (Benth.) Mesquita",NA,NA,NA,NA,2156,"Faria Lemos",3125309,-42.037539,-20.780967,"MINAS GERAIS","MG","Minas Gerais",-44.67333254,-18.45539008,-20.780967,-42.037539
"11","2017-10-19T01:45:13.000+0000","JBRJ","RB","RB00165282","Enterolobium glaziovii (Benth.) Mesquita","Fabaceae","Enterolobium","glaziovii",NA,"(Benth.) Mesquita","J.M. Fernandes","2012-10-19T00:00:00.000+0000",NA,"5150","B.S. LEONI",2002,9,13,"brazil","minas gerais",NA,"FARIA LEMES , FAZENDA SNATA RITA. .",NA,NA,"A´RVORE COM 35cm DE ALTURA, CAULE COM 3m DE CIRCUNFERENCIA, RAMS VISÍVEIS- ALVACENTOS, FLORES AROMATICAS","urn:catalog:JBRJ:RB:165282","Enterolobium glaziovii (Benth.) Mesquita",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Minas Gerais",-44.67333254,-18.45539008,-18.45539008,-44.67333254
"12","2016-05-23T12:29:42.000+0000","JBRJ","RB","RB00347544","Enterolobium glaziovii (Benth.) Mesquita","Fabaceae","Enterolobium","glaziovii",NA,"(Benth.) Mesquita",NA,NA,NA,"2199","M.G. Bovini; L. C. Giordano, E. F. Guimarães et S. J. S. Neto",2002,10,22,"brazil","rio de janeiro","nova iguacu","Estrada para represa de Macuco. REBIO do Tinguá",NA,NA,"Árvore ca. 10,0m, semi-heliófila. Folíolos membranáceos. Cálice e corola verdes e filetes alvos.","urn:catalog:JBRJ:RB:347544","Enterolobium glaziovii (Benth.) Mesquita",NA,NA,NA,NA,1460,"Nova Iguaçu",3303500,-43.503733,-22.689201,"RIO DE JANEIRO","RJ","Rio de Janeiro",-42.66307908,-22.19581555,-22.689201,-43.503733
"13","2017-10-13T18:24:51.000+0000","JBRJ","RB","RB00347543","Enterolobium glaziovii (Benth.) Mesquita","Fabaceae","Enterolobium","glaziovii",NA,"(Benth.) Mesquita",NA,NA,NA,"5953","H. C. de Lima; L. Sylvestre & W. da Silva",2001,11,16,"brazil","rio de janeiro","nova iguacu","Estrada para Boa Esperança,. REBIO do Tinguá",NA,NA,"Árvore alta com 28m de altura. Tronco com casca lisa, alvo-pardacento, DAP± 1 cm. Frutos passados. Ocasional.","urn:catalog:JBRJ:RB:347543","Enterolobium glaziovii (Benth.) Mesquita",NA,NA,NA,NA,1460,"Nova Iguaçu",3303500,-43.503733,-22.689201,"RIO DE JANEIRO","RJ","Rio de Janeiro",-42.66307908,-22.19581555,-22.689201,-43.503733
"14","2014-07-07T19:49:43.000+0000","JBRJ","RB","RB00591018","Enterolobium glaziovii (Benth.) Mesquita","Fabaceae","Enterolobium","glaziovii",NA,"(Benth.) Mesquita","H.C. Lima",NA,NA,"14","R.E. dos Santos",2000,10,20,"brazil","rio de janeiro","engenheiro paulo de frontin","Morro Azul, Estrada do Pântano.",NA,NA,"Árvore com cerca de 20 m de altura, heliófila, folhas cartáceas concolores verdes, flores alvas.","urn:catalog:JBRJ:RB:591018","Enterolobium glaziovii (Benth.) Mesquita",NA,NA,NA,NA,1526,"Engenheiro Paulo de Frontin",3301801,-43.632722,-22.509138,"RIO DE JANEIRO","RJ","Rio de Janeiro",-42.66307908,-22.19581555,-22.509138,-43.632722
"15","2009-12-10T15:23:05.000+0000","JBRJ","RB","RB00114218","Enterolobium glaziovii (Benth.) Mesquita","Fabaceae","Enterolobium","glaziovii",NA,"(Benth.) Mesquita",NA,NA,NA,"5734","Lima,H.C. de; Spolidoro,M.L.C.V., Chada,S.S Silva,T.F da & Cunha,C.F",2000,11,16,"brazil","rio de janeiro","valenca","Distr. Barão de Juparanã.Curral Santa Mariana,picada da Brauna.  .",NA,NA,NA,"urn:catalog:JBRJ:RB:114218","Enterolobium glaziovii (Benth.) Mesquita",NA,NA,NA,NA,1623,"Valença",3306107,-43.856373,-22.234282,"RIO DE JANEIRO","RJ","Rio de Janeiro",-42.66307908,-22.19581555,-22.234282,-43.856373
"16",NA,"UFES","VIES","10493","Enterolobium glaziovii (Benth.) Mesquita","Fabaceae","Enterolobium","glaziovii",NA,"(Benth.) Mesquita","A.P.Chagas","2014-03-01T00:00:00.000+0000",NA,"128","Demuner, V.; Bausen, E.",1999,10,19,"brazil","espirito santo","santa teresa","Estrada Santa Teresa à 25 de Julho.",NA,NA,"Botões florais e flores brancas.","BRA:UFES:VIES:0000010493","Enterolobium glaziovii (Benth.) Mesquita",NA,NA,NA,NA,2456,"Santa Teresa",3204609,-40.635175,-19.877577,"ESPIRITO SANTO","ES","Espírito Santo",-40.6681057,-19.57475617,-19.877577,-40.635175
"17","2017-10-18T16:34:37.000+0000","JBRJ","RB","RB00443228","Enterolobium glaziovii (Benth.) Mesquita","Fabaceae","Enterolobium","glaziovii",NA,"(Benth.) Mesquita",NA,NA,NA,"656","C.Luchiari; et al.",1995,6,13,"brazil","rio de janeiro","silva jardim","Est. Juturnaiba, esquerda - Km 4. Reserva Biológica de Poço das Antas",-42.25,-22.5,"árvore cerca de 12m de altura, heliófila; folha discolor, face superior verde-escura, face inferior verde; fruto maduro castanho- avermelhado.","urn:catalog:JBRJ:RB:443228","Enterolobium glaziovii (Benth.) Mesquita",NA,NA,NA,NA,1506,"Silva Jardim",3305604,-42.414048,-22.567613,"RIO DE JANEIRO","RJ","Rio de Janeiro",-42.66307908,-22.19581555,-22.5,-42.25
"18","2014-07-22T13:24:48.000+0000","JBRJ","RB","RB00330843","Enterolobium glaziovii (Benth.) Mesquita","Fabaceae","Enterolobium","glaziovii",NA,"(Benth.) Mesquita","H.C.de Lima","1997-01-01T00:00:00.000+0000",NA,"174","P.R.Farag",1995,12,4,"brazil","rio de janeiro","nova iguacu","Barrelão, picada a direita, ca 200m da Barragem.",NA,NA,"Árvore ca 25m alt, DAP 62 cm, tronco com casca aspera, acinzentada, casca viva rosada, frutos passados no chão, frequente","urn:catalog:JBRJ:RB:330843","Enterolobium glaziovii (Benth.) Mesquita",NA,NA,NA,NA,1460,"Nova Iguaçu",3303500,-43.503733,-22.689201,"RIO DE JANEIRO","RJ","Rio de Janeiro",-42.66307908,-22.19581555,-22.689201,-43.503733
"19","2017-10-19T10:37:14.000+0000","JBRJ","RB","RB00442728","Enterolobium glaziovii (Benth.) Mesquita","Fabaceae","Enterolobium","glaziovii",NA,"(Benth.) Mesquita",NA,NA,NA,"510","C.Luchiari; et al.",1994,8,25,"brazil","rio de janeiro","silva jardim","Est. Juturnaiba, esquerda - Km 4. Reserva Biológica de Poço das Antas",-42.25,-22.5,"22m, árvore, heliófita, folha discolor, face superior verde escuro, face inferior verde, botão verde pardacento, estilete alvo e antera amarela, forte perfume adocicado.","urn:catalog:JBRJ:RB:442728","Enterolobium glaziovii (Benth.) Mesquita",NA,NA,NA,NA,1506,"Silva Jardim",3305604,-42.414048,-22.567613,"RIO DE JANEIRO","RJ","Rio de Janeiro",-42.66307908,-22.19581555,-22.5,-42.25
"20","2017-10-18T17:27:41.000+0000","JBRJ","RB","RB00114167","Enterolobium glaziovii (Benth.) Mesquita","Fabaceae","Enterolobium","glaziovii",NA,"(Benth.) Mesquita","F. Bonadeu","2013-01-01T00:00:00.000+0000",NA,"25","Tourinho, D.M",1993,6,28,"brazil","rio de janeiro","rio de janeiro","Jardim Botânico, Canteiro 27 B.     Árvore com 20 metros de altura. Fruto em formato de orelha, contorsido, cor marrom, flores brancas.  .",NA,NA,NA,"urn:catalog:JBRJ:RB:114167","Enterolobium glaziovii (Benth.) Mesquita",NA,NA,NA,NA,1360,"Rio de Janeiro",3304557,-43.45231,-22.924471,"RIO DE JANEIRO","RJ","Rio de Janeiro",-42.66307908,-22.19581555,-22.924471,-43.45231
"21",NA,"UFES","VIES","20738","Enterolobium glaziovii (Benth.) Mesquita","Fabaceae","Enterolobium","glaziovii",NA,"(Benth.) Mesquita","Acácio, G.","1994-03-01T00:00:00.000+0000",NA,"83","Acácio, G.",1993,11,4,"brazil","espirito santo","cachoeiro de itapemirim","R.F. Bananal do Norte.",NA,NA,"SW2041","BRA:UFES:VIES:0000020738","Enterolobium glaziovii (Benth.) Mesquita",NA,NA,NA,NA,2161,"Cachoeiro de Itapemirim",3201209,-41.188735,-20.769195,"ESPIRITO SANTO","ES","Espírito Santo",-40.6681057,-19.57475617,-20.769195,-41.188735
"22","2014-07-08T04:35:14.000+0000","JBRJ","RB","RB00160766","Enterolobium glaziovii (Benth.) Mesquita","Fabaceae","Enterolobium","glaziovii",NA,"(Benth.) Mesquita",NA,NA,NA,"677","M. Nadruz; et alii",1991,3,5,"brazil","rio de janeiro","rio de janeiro","encosta do JBRJ, trecho a caixa d´água do caminho do boi até Pedra do Marinheiro.",NA,NA,"Árvore, 20m alt.; folíolos verdes e fruto imaturo verde.","urn:catalog:JBRJ:RB:160766","Enterolobium glaziovii (Benth.) Mesquita",NA,NA,NA,NA,1360,"Rio de Janeiro",3304557,-43.45231,-22.924471,"RIO DE JANEIRO","RJ","Rio de Janeiro",-42.66307908,-22.19581555,-22.924471,-43.45231
"23","2017-10-10T14:23:57.000+0000","JBRJ","RB","RB00160755","Enterolobium glaziovii (Benth.) Mesquita","Fabaceae","Enterolobium","glaziovii",NA,"(Benth.) Mesquita","J. E. Meireles",NA,NA,NA,"V. F. Gonçalves",1991,4,15,"brazil","rio de janeiro","rio de janeiro",NA,NA,NA,"Árvore, 11,5m; cap. 132cm. INDN 3072","urn:catalog:JBRJ:RB:160755","Enterolobium glaziovii (Benth.) Mesquita",NA,NA,NA,NA,1360,"Rio de Janeiro",3304557,-43.45231,-22.924471,"RIO DE JANEIRO","RJ","Rio de Janeiro",-42.66307908,-22.19581555,-22.924471,-43.45231
