"","modified","institutionCode","collectionCode","catalogNumber","scientificName","family","genus","specificEpithet","infraspecificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLongitude","decimalLatitude","occurrenceRemarks","occurrenceID","bibliographicCitation","acceptedNameUsage","identificationQualifier","comments"
"1",NA,"UFRB","HURB","9439","Goniorrhachis marginata Taub.","Fabaceae","Goniorrhachis","marginata",NA,"Taub.",NA,NA,NA,"36",NA,"Souza, L.G.; Silva, S.P.; Santos, C.J.",2015,3,31,"Brazil","Bahia","Conceição do Almeida","Fazenda Entre Rios;",-39.20206,-12.84377,"Hábito: árvore","BRA:UFRB:HURB:0000009439",NA,"Goniorrhachis marginata Taub.",NA,NA
"2",NA,"IMA","MAC","61807","Goniorrhachis marginata Taub.","Fabaceae","Goniorrhachis","marginata",NA,"Taub.",NA,NA,NA,"31",NA,"L.G.Souza; L.P.Silva",2015,3,6,"Brazil","Bahia","São Gonçalo dos Campos","Fazenda Santana, Matriz 263.",-39.516667,-12.704333,NA,"BRA:IMA:MAC:0000061807",NA,"Goniorrhachis marginata Taub.",NA,NA
"3",NA,"UEFS","HUEFS","219922","Goniorrhachis marginata Taub.","Fabaceae","Goniorrhachis","marginata",NA,"Taub.",NA,NA,NA,"31",NA,"Souza, L.G.R.",2015,3,6,"Brazil","Bahia","São Gonçalo dos Campos","Fazenda Santana, Matriz 263.",-38.906111,-12.421667,NA,"BRA:UEFS:HUEFS:0000219922",NA,"Goniorrhachis marginata Taub.",NA,NA
"4",NA,"Universidade Estadual de Londrina, UEL","FUEL","54123","Goniorrhachis marginata Taub.","Fabaceae","Goniorrhachis","marginata",NA,"Taub.",NA,NA,NA,"32",NA,"Souza, LG; Silva, SP",2015,3,6,"Brazil","Bahia","São Gonçalo dos Campos","Fazenda Santana, Matriz 257",-39.515389,-12.704583,NA,"BRA:UEL:FUEL:0000054123",NA,"Goniorrhachis marginata Taub.",NA,NA
"5",NA,"Universidade Federal da Bahia (UFBA)","ALCB","121068","Goniorrhachis marginata Taub.","Fabaceae","Goniorrhachis","marginata",NA,"Taub.","Guedes, ML","2015-06-01T00:00:00.000+0000",NA,"23542",NA,"Guedes, ML; Alunos de Botânica BIO C05",2015,6,12,"Brazil","Bahia","Ipupiara","Caminho para o Rio Verde.",-42.366944,-11.759167,"Folhas com folíolos cartáceos, . Frutos marrons.","BRA:UFBA:ALCB:0000121068",NA,"Goniorrhachis marginata Taub.",NA,NA
"6","2017-01-24T11:37:24.000+0000","JBRJ","RB","RB01216177","Goniorrhachis marginata Taub.","Fabaceae","Goniorrhachis","marginata",NA,"Taub.","G.S. Siqueira","2015-12-28T00:00:00.000+0000",NA,"1101",NA,"G.S. Siqueira",2015,12,28,"Brazil","Espírito Santo","Linhares","Reserva Natural Vale. Perto do Laboratório de sementes. Estrada Flamengo",NA,NA,NA,"urn:catalog:JBRJ:RB:1216177",NA,"Goniorrhachis marginata Taub.",NA,NA
"7",NA,"UEFS","HUEFS","213648","Goniorrhachis marginata Taub.","Fabaceae","Goniorrhachis","marginata",NA,"Taub.",NA,NA,NA,"7853",NA,"Lima, H.C.de",2014,10,20,"Brazil","Minas Gerais","Jequitinhonha","Itaobim, BR-367. Km 186, Mumbuca, estrada vicinal para plantação de Eucaliptos.",-41.2475,-16.532222,"Caatinga Floresta Estacional","BRA:UEFS:HUEFS:0000213648",NA,"Goniorrhachis marginata Taub.",NA,NA
"8",NA,"UEFS","HUEFS","201665","Goniorrhachis marginata Taub.","Fabaceae","Goniorrhachis","marginata",NA,"Taub.",NA,NA,NA,"178",NA,"Souza, I.M.",2013,2,16,"Brazil","Bahia","Barra","Estrada para Limoeiro.",-43,-10,"Caatinga.","BRA:UEFS:HUEFS:0000201665",NA,"Goniorrhachis marginata Taub.",NA,NA
"9",NA,"UFRB","HURB","3590","Goniorrhachis marginata Taub.","Fabaceae","Goniorrhachis","marginata",NA,"Taub.",NA,NA,NA,NA,NA,"Duarte, E. F.",2012,3,17,"Brazil","Bahia","Conceição do Almeida","Fazenda Senhor Benedito;",-39.201333,-12.794417,"matriz 48","BRA:UFRB:HURB:0000003590",NA,"Goniorrhachis marginata Taub.",NA,NA
"10",NA,"UFRB","HURB","3591","Goniorrhachis marginata Taub.","Fabaceae","Goniorrhachis","marginata",NA,"Taub.",NA,NA,NA,NA,NA,"Duarte, E. F.",2012,3,26,"Brazil","Bahia","Conceição do Almeida","Fazenda Senhor Benedito;",-39.202944,-12.79575,"matriz 50","BRA:UFRB:HURB:0000003591",NA,"Goniorrhachis marginata Taub.",NA,NA
