"","modified","institutionCode","collectionCode","catalogNumber","scientificName","identificationQualifier","family","genus","specificEpithet","infraspecificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLongitude","decimalLatitude","occurrenceRemarks","acceptedNameUsage","occurrenceID","comments","bibliographicCitation"
"1",NA,NA,"FURB","45821","Inga edwallii (Harms) T.D.Penn.",NA,"Fabaceae","Affonsea","edwallii",NA,"(Harms) T.D.Penn.","Oliveira, AA de","2015-02-10",NA,"1175",NA,"Oliveira, A.A. de",2015,2,10,"brazil","Santa Catarina","Navegantes","Leiteiro.",-48.778611,-26.8225,"Regeneração IFFSC 753 /L/51","Inga edwallii (Harms) T.D.Penn.",NA,"original coordinates OK","GBIF"
"2",NA,NA,"SPSF","48313","Inga edwallii (Harms) T.D.Penn.",NA,"Fabaceae","Affonsea","edwallii",NA,"(Harms) T.D.Penn.","N.M.Ivanauskas","2014-03-20",NA,"6617",NA,"N.M.Ivanauskas & M.C.Assis & R. Fletcher",2014,3,20,"brazil","Minas Gerais","Delfim Moreira","Fazendas Bartira (Unidade Alegria)",-45.266389,-22.526667,"COLETA: Árvore de 5,5m. Frutos amarelos. &nf;Indivíduo 8889 da fitossociologia.; GEOGRAFIA: Floresta Ombrófila Mista.;","Inga edwallii (Harms) T.D.Penn.",NA,"original coordinates OK","GBIF"
"3",NA,NA,"ESA","ESA128359","Inga edwallii (Harms) T.D.Penn.",NA,"Fabaceae","Affonsea","edwallii",NA,"(Harms) T.D.Penn.","Tamashiro, J.Y.","2013-01-01",NA,"895",NA,"Delfini, C.",2013,3,30,"brazil","São Paulo","Tapiraí","Região da UHE Fumaça, trilha do Chagas. Floresta Ombrófila Densa, à margem esquerda do rio Juquiá.",-47.29368,-24.01288,"","Inga edwallii (Harms) T.D.Penn.",NA,"original coordinates outside municipality original in tapirai falls in miracatu","GBIF"
"4",NA,NA,"ESA","ESA123699","Inga edwallii (Harms) T.D.Penn.",NA,"Fabaceae","Affonsea","edwallii",NA,"(Harms) T.D.Penn.","Ivanauskas, N.M.","2013-05-01",NA,"1087",NA,"Colletta, G.D. ; Ferreira, M.A.P.",2013,5,1,"brazil","São Paulo","Tapiraí","Reserva Particular da Votorantim (CBA), UHE Fumaça, trilha do Chagas.",-47.619531,-24.008322,"","Inga edwallii (Harms) T.D.Penn.",NA,"centroide mpo OK","GBIF"
"5",NA,NA,"FLOR","55741","Inga edwallii (Harms) T.D.Penn.",NA,"Fabaceae","Affonsea","edwallii",NA,"(Harms) T.D.Penn.","Mello, A.S.","2013-10-26",NA,"1",NA,"Guedes, C.",2013,10,26,"brazil","Santa Catarina","Itapoá","RYY, borda da floresta, trilha Apekatu.",-48.652853,-26.082161,"hábito arbóreo, 7m, flor branca (estames), sem fruto, poucos folíolos","Inga edwallii (Harms) T.D.Penn.",NA,"centroide mpo OK","GBIF"
"6",NA,NA,"FURB","34925","Inga edwallii (Harms) T.D.Penn.",NA,"Fabaceae","Affonsea","edwallii",NA,"(Harms) T.D.Penn.","Oliveira, AA de","2010-01-01",NA,"6985",NA,"Korte, A.",2010,11,18,"brazil","Santa Catarina","Itapoá","Saí Mirim.",-48.69,-26.1,"Voucher estéril IFFSC 1069 (Fitossociologia)","Inga edwallii (Harms) T.D.Penn.",NA,"original coordinates OK","GBIF"
"7",NA,NA,"NY","02474110","Inga edwallii (Harms) T.D.Penn.",NA,"Fabaceae","Affonsea","edwallii",NA,"(Harms) T.D.Penn.","","",NA,"07-554",NA,"V. de F. Mansano",2008,1,19,"brazil","EspÃ­rito Santo","","Fazenda de mamÃ£o prÃ³ximo a Reserva Natural VictÃ³rio Orletti.",-40.2203,-18.4456,"","Inga edwallii (Harms) T.D.Penn.",NA,"original coordinates outside municipality original in  falls in pinheiros","GBIF"
"8",NA,NA,"SP","426419","Inga edwallii (Harms) T.D.Penn.",NA,"Fabaceae","Affonsea","edwallii",NA,"(Harms) T.D.Penn.","Almeida Scabbia, RJ","2008-06-03",NA,"4979",NA,"Almeida Scabbia, RJ; Santos, MA",2007,10,10,"brazil","São Paulo","Santo André","Parque Andreense, Subprefeitura de Paranapiacaba, Rua José Henrique Lima",-46.457789,-23.754244,"","Inga edwallii (Harms) T.D.Penn.",NA,"original coordinates OK","GBIF"
"9",NA,NA,"UEC","159837","Inga edwallii (Harms) T.D.Penn.",NA,"Fabaceae","Affonsea","edwallii",NA,"(Harms) T.D.Penn.","Polisel, R.T.","2009-09-25",NA,"382",NA,"Polisel, R.T.",2006,7,9,"brazil","São Paulo","Juquitiba","Recanto da Paz, BR-116, Km 330, em sub-bosque.",-47.1,-23.966667,"Árvore 5m, botões florais verdes.","Inga edwallii (Harms) T.D.Penn.",NA,"original coordinates OK","GBIF"
"10",NA,NA,"SPSF","39063","Inga edwallii (Harms) T.D.Penn.",NA,"Fabaceae","Affonsea","edwallii",NA,"(Harms) T.D.Penn.","R.T. Polisel","2009-09-25",NA,"382",NA,"R.T. Polisel",2006,7,9,"brazil","São Paulo","Juquitiba","Recanto da Paz",-47.1,-23.966667,"COLETA: Árvore 5m; botões florais verdes.;","Inga edwallii (Harms) T.D.Penn.",NA,"original coordinates OK","GBIF"
