"","modified","institutionCode","collectionCode","catalogNumber","scientificName","family","genus","specificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLongitude","decimalLatitude","occurrenceRemarks","occurrenceID","bibliographicCitation","acceptedNameUsage"
"1",NA,"F","Botany","V0111593F","Jacqueshuberia purpurea Ducke","Fabaceae","Jacqueshuberia","purpurea","Ducke",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Brazil",NA,NA,NA,-52.8731,-10.8339,NA,"276eb795-3905-4917-8ce7-46e59bfb8506",NA,"Jacqueshuberia purpurea Ducke"
"2","2/06/17 15:39","INPA","INPA","13415","Jacqueshuberia purpurea","Leguminosae-Caes","Jacqueshuberia",NA,"Ducke","Rodrigues, WA",NA,NA,NA,NA,NA,NA,NA,NA,"Brasil","Amazonas",NA,"Rio Cuieiras, igarap̩ da Cachoeira., Rio Cuieiras, igarap̩ da Cachoeira.",NA,NA,NA,NA,NA,"Jacqueshuberia purpurea Ducke"
"3","2/06/17 15:39","INPA","INPA","140523","Jacqueshuberia purpurea","Leguminosae-Caes","Jacqueshuberia",NA,"Ducke","Silva, M da",NA,NA,NA,NA,NA,NA,NA,NA,"Brasil","Amazonas",NA,"Rio Cuieiras, igarap̩ da Cachoeira.",NA,NA,NA,NA,NA,"Jacqueshuberia purpurea Ducke"
"4","2/06/17 15:39","INPA","INPA","181646","Jacqueshuberia purpurea","Leguminosae-Caes","Jacqueshuberia",NA,"Ducke","Barneby, RC",NA,NA,NA,NA,NA,NA,NA,NA,"Brasil","Amazonas",NA,"Rio Uaup̩s, Igarap̩ Tibuar�_, Alto Rio Negro, Rio Uaup̩s, Igarap̩ Tibuar�_, acima do Seringal Pago.",NA,NA,NA,NA,NA,"Jacqueshuberia purpurea Ducke"
"5","2/06/17 15:39","INPA","INPA","190882","Jacqueshuberia purpurea","Leguminosae-Caes","Jacqueshuberia",NA,"Ducke","Barneby, RC",NA,NA,NA,NA,NA,NA,NA,NA,"Brasil","Amazonas",NA,"Rio Negro. Rio Cuieiras, Igarap̩ da Cachoeira between mouth and first cachoeira (waterfall)",NA,NA,NA,NA,NA,"Jacqueshuberia purpurea Ducke"
"6","2/06/17 15:39","INPA","INPA","203474","Jacqueshuberia purpurea","Leguminosae-Caes","Jacqueshuberia",NA,"Ducke","Mori, SA",NA,NA,NA,NA,NA,NA,NA,NA,"Brasil","Amazonas",NA,"Rio Negro, margem direita. ""Igarap̩ da Cachoeira"".",NA,NA,NA,NA,NA,"Jacqueshuberia purpurea Ducke"
"7","2/06/17 15:39","INPA","INPA","232185","Jacqueshuberia purpurea","Leguminosae-Caes","Jacqueshuberia",NA,"Ducke","Zartman, CE",NA,NA,NA,NA,NA,NA,NA,NA,"Brasil","Amazonas",NA,"Boca do igarap̩ da cachoeira, tribut��rio do Rio Cueiras acima do lago do Peixe Boi.",NA,NA,NA,NA,NA,"Jacqueshuberia purpurea Ducke"
"8","2/06/17 15:39","INPA","INPA","38727","Jacqueshuberia purpurea","Leguminosae-Caes","Jacqueshuberia",NA,"Ducke","Silva, MF da",NA,NA,NA,NA,NA,NA,NA,NA,"Brasil","Amazonas",NA,"Camanaus, Rio Negro, no caminho entre o remanso de Camanaus e Curicuriari, a 3 Km da boca do Curicuriari.",NA,NA,NA,NA,NA,"Jacqueshuberia purpurea Ducke"
"9","2/06/17 15:39","INPA","INPA","4461","Jacqueshuberia purpurea","Leguminosae-Caes","Jacqueshuberia",NA,"Ducke","Silva, MF da",NA,NA,NA,NA,NA,NA,NA,NA,"Brasil","Amazonas",NA,"Rio Urub̼, pr�_ximo do Ig. do Galo.",NA,NA,NA,NA,NA,"Jacqueshuberia purpurea Ducke"
"10","2/06/17 15:39","INPA","INPA","94199","Jacqueshuberia purpurea","Leguminosae-Caes","Jacqueshuberia",NA,"Ducke","Silva, MF da",NA,NA,NA,NA,NA,NA,NA,NA,"Brasil","Amazonas",NA,"Rio Curicuriari, Rio Curicuriari afluente do rio Negro, margem abaixo da Cachoeira do Caj̼.",NA,NA,NA,NA,NA,"Jacqueshuberia purpurea Ducke"
