"","modified","institutionCode","collectionCode","catalogNumber","scientificName","identificationQualifier","family","genus","specificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLongitude","decimalLatitude","occurrenceRemarks","occurrenceID","acceptedNameUsage","infraspecificEpithet","comments","bibliographicCitation"
"1",NA,"UEFS","HUEFS","118268","Muellera montana (MJ.Silva & Amg.Azevedo) MJ.Silva & Amg.Azevedo",NA,"Fabaceae","Muellera","montana","(MJ.Silva & Amg.Azevedo) MJ.Silva & Amg.Azevedo","L.P.de Queiroz","2012-09-01T00:00:00.000+0000",NA,"12771",NA,"Queiroz, L.P.de",2007,4,11,"Brazil","Bahia","Coribe","Ca, 5 Km S em estrada de terra que cruza pequeno ramal que sai a 5.1 km E de Ponto d'água, a 24,4 Km S de São Félix do Coribe na estrada para Coribe.",-44.32,-13.586111,"Floresta estacional.","BRA:UEFS:HUEFS:0000118268","Muellera montana (MJ.Silva & Amg.Azevedo) MJ.Silva & Amg.Azevedo",NA,NA,NA
"2",NA,"Cenargen","CEN","59698","Muellera montana (MJ.Silva & Amg.Azevedo) MJ.Silva & Amg.Azevedo",NA,"Fabaceae","Muellera","montana","(MJ.Silva & Amg.Azevedo) MJ.Silva & Amg.Azevedo","M. Simon",NA,NA,"1998",NA,"Anderson Cássio Sevilha",2000,9,3,"Brazil","Go","SAO DOMINGOS","Fazenda Traçadol.",NA,NA,NA,"BRA:Cenargen:CEN:0000059698","Muellera montana (MJ.Silva & Amg.Azevedo) MJ.Silva & Amg.Azevedo",NA,NA,NA
"3","2013-06-21T00:00:00.000+0000","K","Herbarium","K000921621","Muellera montana (MJ.Silva & Amg.Azevedo) MJ.Silva & Amg.Azevedo",NA,"Fabaceae","Muellera","montana","(MJ.Silva & Amg.Azevedo) MJ.Silva & Amg.Azevedo","Shimizu, G.H.",NA,NA,"4423",NA,"Oliveira, E.C.L.; Oliveira, N.R.; Cardoso, E.; Felfili, J.M.; Barbosa, E.L.; Silva, M.A.",2000,10,7,"Brazil",NA,"Posse","Fazenda Sabonete, propritário Sr. Sílvio dos Santos Lacerada.",NA,NA,"[Multiple sheets K000921620] Sheet 2. Projeto mata seca","http://specimens.kew.org/herbarium/K000921621","Muellera montana (MJ.Silva & Amg.Azevedo) MJ.Silva & Amg.Azevedo",NA,NA,NA
"4","2017-11-19T07:40:19.000+0000","JBRJ","RB","RB00178567","Lonchocarpus montanus A.M.G.Azevedo ex M.J.Silva & A.M.G.Azevedo","cf.","Fabaceae","Muellera","montanus","A.M.G.Azevedo ex M.J.Silva & A.M.G.Azevedo","M.L. FONSECA",NA,NA,"2327",NA,"M.L. FONSECA; F.C.A. OLIVEIRA, M. APARECIDA, DA SILVA, E. CARDOSO",2000,10,27,"Brazil","Goiás","Goiás","MUN  SÃO  DOMINGOS  FAZENDA  SÃO  DOMINGOS,  .",-46.741111,-13.618333,"ÁRVORE HELIÓFILA CA 5,0m ALT X 0,08M DAP. FOLHAS COR VERDE MEMBRANÁCEAS CÁLICE MARROM BOTÕES E FLORES BRANCOS, FRUTOS IMATUROS COR VERDE. COMUM","urn:catalog:JBRJ:RB:178567","Lonchocarpus montanus A.M.G.Azevedo ex M.J.Silva & A.M.G.Azevedo",NA,NA,NA
"5","2017-10-19T01:55:50.000+0000","JBRJ","RB","RB00178962","Lonchocarpus montanus A.M.G.Azevedo ex M.J.Silva & A.M.G.Azevedo",NA,"Fabaceae","Muellera","montanus","A.M.G.Azevedo ex M.J.Silva & A.M.G.Azevedo","M.G.Silva",NA,NA,"4449",NA,"M. A. da Silva; E. c. L. Oliveira et al",2000,10,8,"Brazil","Goiás","Posse","Faz. Sabonete. Proprietário Sr. Silvio dos Santos Lacerda.",-46.451389,-14.07,"àrv. ca. 10m de alt. inflorescencia ferrugineo, corola esbraquiçada,cálice creme, fauce verde claro com listras vináceas.","urn:catalog:JBRJ:RB:178962","Lonchocarpus montanus A.M.G.Azevedo ex M.J.Silva & A.M.G.Azevedo",NA,NA,NA
"6","2017-11-17T12:50:57.000+0000","JBRJ","RB","RB00178576","Lonchocarpus montanus A.M.G.Azevedo ex M.J.Silva & A.M.G.Azevedo",NA,"Fabaceae","Muellera","montanus","A.M.G.Azevedo ex M.J.Silva & A.M.G.Azevedo","N.R. OLIVEIRA & M. APARECIDA DA SILVA",NA,NA,"4423",NA,"M. APARECIDA DA SILVA; J.M. FELFILI, N.R. OLIVEIRA, E. CARDOSO, E.L. BARBOSA. E. C.L. OLIVEIRA",2000,10,7,"Brazil","Goiás","Posse","FAZENDA SABONETE, PROPRIET´ARIO SR SILVIO DOS SANTOS LACERADA. .",-46.486667,-14.066389,"ARVORETA HELIÓFITA CA . 50 DE ALTURA INFLORESCENCIA LEVEMENTE FERRUGINEA , COPROLA ESSBRANQUI~ÇADA , CÁLICE VERDE , FAIUCE , VERDE CLARO COM LISTRAR VINÁCEAS, BOTÕES FLORAIS ESVERDEADOS, FRUTOS INDEISCENTES VERDE CLAROS.","urn:catalog:JBRJ:RB:178576","Lonchocarpus montanus A.M.G.Azevedo ex M.J.Silva & A.M.G.Azevedo",NA,NA,NA
"7","2017-11-19T09:45:27.000+0000","JBRJ","RB","RB00116055","Lonchocarpus montanus A.M.G.Azevedo ex M.J.Silva & A.M.G.Azevedo","cf.","Fabaceae","Muellera","montanus","A.M.G.Azevedo ex M.J.Silva & A.M.G.Azevedo","M.L.Fonseca",NA,NA,"2327",NA,"M.L.Fonseca; F.C.A.Oliveira; M.Aparecida da Silva & Cardoso",2000,10,27,"Brazil","Goiás","São Domingos","Fazenda  São  Domingos.  Proprietário  Lincholn  Pereira  Resende.  Relevo:  plano. Solo:  latossolo  vermelho  escuro.  (  solo  evoluído  de  calcário). Vegetação:  mata  decídua.   Árvore  heliófita  ca  5,0  alt  x  0,08  m  DAP.  Folhas  cor  verde;  membranáceas;  cálice  marrom;  botões  e  flores  brancos;  frutos  imaturos  cor  verde.  Comum  (  Linha  K).",NA,NA,NA,"urn:catalog:JBRJ:RB:116055","Lonchocarpus montanus A.M.G.Azevedo ex M.J.Silva & A.M.G.Azevedo",NA,NA,NA
"8",NA,"NY","NY","1747418","Muellera montana (MJ.Silva & Amg.Azevedo) MJ.Silva & Amg.Azevedo",NA,"Fabaceae","Muellera","montana","(MJ.Silva & Amg.Azevedo) MJ.Silva & Amg.Azevedo","M. J. da Silva","2010-01-01T00:00:00.000+0000",NA,"3376",NA,"M. Aparecida da Silva",1997,10,9,"Brazil","Tocantins",NA,"Fazenda Palha entre Aurora do Tocantins e Combinado. Floresta Estacional.",0,0,NA,"80749d05-e9de-42e2-8567-13a26a4756d1","Muellera montana (MJ.Silva & Amg.Azevedo) MJ.Silva & Amg.Azevedo",NA,NA,NA
"9",NA,"UNICAMP","UEC","88860","Lonchocarpus montanus A.M.G.Azevedo ex M.J.Silva & A.M.G.Azevedo",NA,"Fabaceae","Muellera","montanus","A.M.G.Azevedo ex M.J.Silva & A.M.G.Azevedo",NA,NA,NA,"3213",NA,"Pereira, B.A.S.; Alvarenga, D.",1996,9,13,"Brazil","Goiás","Nova Roma","km 11 da estrada Nova Roma / Terezina de",-46.916667,-13.916667,"fruto, Árvore cerca de 10m de altura. Flores brancas. Testemunha de mata estacional.","BRA:UNICAMP:UEC:0000088860","Lonchocarpus montanus A.M.G.Azevedo ex M.J.Silva & A.M.G.Azevedo",NA,NA,NA
"10",NA,"UNICAMP","UEC","88863","Lonchocarpus montanus A.M.G.Azevedo ex M.J.Silva & A.M.G.Azevedo",NA,"Fabaceae","Muellera","montanus","A.M.G.Azevedo ex M.J.Silva & A.M.G.Azevedo",NA,NA,NA,"3296",NA,"Pereira, B.A.S.; Alvarenga, D.",1996,11,23,"Brazil","Goiás","São Domingos","km 12 da estrada Guaraní de Goiás / Terr",-46.333333,-13.666667,"fruto, Árvore frondosa, ca. 8m alt., fruto imaturo de cor verde. Remanescente de mata estacional.","BRA:UNICAMP:UEC:0000088863","Lonchocarpus montanus A.M.G.Azevedo ex M.J.Silva & A.M.G.Azevedo",NA,NA,NA
