"","scientificName","new_Lon","new_Lat","municipality","county.shape","status"
"1","Muellera virgilioides (Vogel) M.J.Silva & A.M.G.Azevedo",-43.595555,-23.099722,"rio de janeiro","not found","outside Brazil"
"2","Muellera virgilioides (Vogel) M.J.Silva & A.M.G.Azevedo",-41.951667,-22.811944,"armacao dos buzios","armacao de buzios","outside municipality"
"3","Muellera virgilioides (Vogel) M.J.Silva & A.M.G.Azevedo",-41.946944,-22.811944,"armacao dos buzios","armacao de buzios","outside municipality"
"4","Muellera virgilioides (Vogel) M.J.Silva & A.M.G.Azevedo",-41.986667,-22.871389,"cabo frio","cabo frio","Ok"
"5","Muellera virgilioides (Vogel) M.J.Silva & A.M.G.Azevedo",-41.948333,-22.8075,"armacao dos buzios","armacao de buzios","outside municipality"
"6","Muellera virgilioides (Vogel) M.J.Silva & A.M.G.Azevedo",-41.873056,-22.745833,"buzios","armacao de buzios","outside municipality"
"7","Muellera virgilioides (Vogel) M.J.Silva & A.M.G.Azevedo",-41.875,-22.750556,"armacao dos buzios","armacao de buzios","outside municipality"
"8","Muellera virgilioides (Vogel) M.J.Silva & A.M.G.Azevedo",-41.987778,-22.798611,"cabo frio","armacao de buzios","outside municipality"
"9","Muellera virgilioides (Vogel) M.J.Silva & A.M.G.Azevedo",-75.02175,-66.371111,"camorim","not found","outside Brazil"
"10","Muellera virgilioides (Vogel) M.J.Silva & A.M.G.Azevedo",-22.776712,-22.776712,"armacao dos buzios","not found","outside Brazil"
"11","Muellera virgilioides (Vogel) M.J.Silva & A.M.G.Azevedo",-42.169167,-22.798889,"sao pedro da aldeia","sao pedro da aldeia","Ok"
"12","Muellera virgilioides (Vogel) M.J.Silva & A.M.G.Azevedo",-42.058216,-22.716047,"cabo frio","cabo frio","Ok"
"13","Muellera virgilioides (Vogel) M.J.Silva & A.M.G.Azevedo",-42.058216,-22.716047,"cabo frio","cabo frio","Ok"
"14","Muellera virgilioides (Vogel) M.J.Silva & A.M.G.Azevedo",-22.716047,-22.716047,"cabo frio","not found","outside Brazil"
"15","Muellera virgilioides (Vogel) M.J.Silva & A.M.G.Azevedo",-41.92,-22.83,NA,NA,"original municipality not informed"
"16","Muellera virgilioides (Vogel) M.J.Silva & A.M.G.Azevedo",-41.92,-22.83,"cabo frio","not found","outside Brazil"
"17","Muellera virgilioides (Vogel) M.J.Silva & A.M.G.Azevedo",-22.921723,-22.921723,"arraial do cabo","not found","outside Brazil"
"18","Muellera virgilioides (Vogel) M.J.Silva & A.M.G.Azevedo",-42.018386387664,-22.8832603958893,NA,"cabo frio","original municipality not informed"
"19","Muellera virgilioides (Vogel) M.J.Silva & A.M.G.Azevedo",-42.018386387664,-22.8832603958893,NA,"cabo frio","original municipality not informed"
"20","Muellera virgilioides (Vogel) M.J.Silva & A.M.G.Azevedo",-42.058216,-22.716047,"cabo frio","cabo frio","Ok"
"22","Muellera virgilioides (Vogel) M.J.Silva & A.M.G.Azevedo",-42.058216,-22.716047,"cabo frio","cabo frio","Ok"
"23","Muellera virgilioides (Vogel) M.J.Silva & A.M.G.Azevedo",-22.924471,-22.924471,"rio de janeiro","not found","outside Brazil"
"24","Muellera virgilioides (Vogel) M.J.Silva & A.M.G.Azevedo",-52.8731,-10.8339,NA,"sao jose do xingu","original municipality not informed"
"25","Muellera virgilioides (Vogel) M.J.Silva & A.M.G.Azevedo",-39.663617,-14.70145,"almadina","almadina","Ok"
"26","Muellera virgilioides (Vogel) M.J.Silva & A.M.G.Azevedo",-42.058216,-22.716047,"cabo frio","cabo frio","Ok"
"27","Muellera virgilioides (Vogel) M.J.Silva & A.M.G.Azevedo",-22.924471,-22.924471,"rio de janeiro","not found","outside Brazil"
"29","Muellera virgilioides (Vogel) M.J.Silva & A.M.G.Azevedo",-43.45231,-22.924471,"rio de janeiro","rio de janeiro","Ok"
"30","Muellera virgilioides (Vogel) M.J.Silva & A.M.G.Azevedo",-43.207919,-22.973835,NA,"rio de janeiro","original municipality not informed"
"31","Muellera virgilioides (Vogel) M.J.Silva & A.M.G.Azevedo",-22.924471,-22.924471,"rio de janeiro","not found","outside Brazil"
