"","modified","institutionCode","collectionCode","catalogNumber","scientificName","identificationQualifier","family","genus","specificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLongitude","decimalLatitude","occurrenceRemarks","occurrenceID","bibliographicCitation","acceptedNameUsage"
"1","2017-10-04T11:32:22.000+0000","JBRJ","RB","RB00834090","Peltogyne angustiflora Ducke",NA,"Fabaceae","Peltogyne","angustiflora","Ducke","F.J.KOCHANOVSKI","2015-09-15T00:00:00.000+0000",NA,"1080",NA,"E. Córdula",2014,2,14,"Brazil","Rio de Janeiro","Rio de Janeiro","Horto. Parque Nacional da Tijuca",NA,NA,"Área de encosta, bastante antropizada. Final de floração, flores raras e passadas. Frutos imaturos de cor verde.","urn:catalog:JBRJ:RB:834090",NA,"Peltogyne angustiflora Ducke"
"2",NA,"UFRB","HURB","13769","Peltogyne angustiflora Ducke",NA,"Fabaceae","Peltogyne","angustiflora","Ducke",NA,NA,NA,"2109",NA,"Victor Jr., V.",2013,1,16,"Brazil","Bahia","Ibirapitanga","Serra do Papuã; APA do Pratigi",NA,NA,NA,"BRA:UFRB:HURB:0000013769",NA,"Peltogyne angustiflora Ducke"
"3",NA,"MBML","MBML-HERBARIO","41111","Peltogyne angustiflora Ducke",NA,"Fabaceae","Peltogyne","angustiflora","Ducke","A.P.Fontana & L.Kollmann","2008-12-23T00:00:00.000+0000",NA,"5344",NA,"A. P. Fontana; L. Kollmann, G. Cunha, D. R. Couto, V. Manhães & V. Leite.",2008,6,24,"Brazil","Espírito Santo","Alegre","São João do Norte, PCH Santa Fé, Reservatório de Derivação, Ilha pluvial do Rio Braço Norte",-41.496111,-20.668611,"Árvore, 15m, frutos verdes","BRA:MBML:MBML-HERBARIO:0000041111",NA,"Peltogyne angustiflora Ducke"
"4",NA,"UFES","VIES","42057","Peltogyne angustiflora Ducke",NA,"Fabaceae","Peltogyne","angustiflora","Ducke","Kollmann, L.J.C.; Fontana, A.P.","1905-06-30T00:00:00.000+0000",NA,"5344",NA,"Fontana, A.P.; Kollmann, L.J.C.; Cunha, G.; Couto, D.R.; Manhães, V.C. & Leite, V.",2008,6,24,"Brazil","Espírito Santo","Alegre","São João do Norte.",NA,NA,"SW2041","BRA:UFES:VIES:0000042057",NA,"Peltogyne angustiflora Ducke"
"5","2014-07-22T15:14:09.000+0000","JBRJ","RB","RB00466888","Peltogyne angustiflora Ducke",NA,"Fabaceae","Peltogyne","angustiflora","Ducke","R.D. Ribeiro",NA,NA,"6596",NA,"Haroldo C. de Lima; Robson D. Ribeiro, José E. Meireles & Fabiana R. L. Filardi",2007,4,4,"Brazil","Espírito Santo","Aracruz","Estrada para Coqueiral, ca. de 2 km após Aracruz.",-40.287222,-19.7375,"Árvore pequena com 7 m de altura. Tronco com casca lisa, DAP 10 cm. Ocasional. Material DNA","urn:catalog:JBRJ:RB:466888",NA,"Peltogyne angustiflora Ducke"
"6","2017-07-31T10:21:14.000+0000","JBRJ","RB","RB01326149","Peltogyne angustiflora Ducke",NA,"Fabaceae","Peltogyne","angustiflora","Ducke","L.S. Leoni","2007-11-30T00:00:00.000+0000",NA,"7062",NA,"L.S. Leoni; A.E. Silva & J.P.D. Heleno",2007,11,30,"Brazil","Minas Gerais","Faria Lemos","Fazenda Santa Rita.",NA,NA,"Árvore, ereta, cerca de 20-25 metros de altura; caule discretamente áspero, frutos imaturos","urn:catalog:JBRJ:RB:1326149",NA,"Peltogyne angustiflora Ducke"
"7","2017-10-15T13:14:24.000+0000","JBRJ","RB","RB01339203","Peltogyne angustiflora Ducke",NA,"Fabaceae","Peltogyne","angustiflora","Ducke","L.S. Leoni","2007-11-21T00:00:00.000+0000",NA,"7040",NA,"L.S. Leoni",2007,11,NA,"Brazil","Minas Gerais","Faria Lemos","Fazenda Santa Rita",NA,NA,NA,"urn:catalog:JBRJ:RB:1339203",NA,"Peltogyne angustiflora Ducke"
"8","2014-11-14T09:22:01.000+0000","JBRJ","RB","RB00897714","Peltogyne angustiflora Ducke",NA,"Fabaceae","Peltogyne","angustiflora","Ducke","D.A. Folli","2004-06-16T00:00:00.000+0000",NA,"204",NA,"A.A. da Luz",2004,6,16,"Brazil","Espírito Santo","Baixo Guandu","Trilha da Cachoeira.",NA,NA,"Terrestre; porte arbóreo, 15m, fustre 10m, CAP 50cm, copa 5m, fruto imaturo verde, exsudação incolor; descamação ausente","urn:catalog:JBRJ:RB:897714",NA,"Peltogyne angustiflora Ducke"
"9",NA,"UNICAMP","UEC","193622","Peltogyne angustiflora Ducke",NA,"Fabaceae","Peltogyne","angustiflora","Ducke","Pinto, R.B.","2014-12-01T00:00:00.000+0000",NA,"204",NA,"Luz, A.A.",2004,6,16,"Brazil","Espírito Santo","Baixo Guandu","Trilha da Cachoeira.",0,0,"Arbóreo. Terrestre. Fruto imaturo verde. Seiva incolor. Descamação ausente. Fuste cilíndrico. Casca áspera. 15m de alt. Fuste 10m. CAP fuste 50cm. Diâmetro da copa 5m.; Capoeirão","BRA:UNICAMP:UEC:0000193622",NA,"Peltogyne angustiflora Ducke"
"10",NA,"Reserva Natural Vale (CVRD)","CVRD","8765","Peltogyne angustiflora Ducke",NA,"Fabaceae","Peltogyne","angustiflora","Ducke","Domingos A. Folli","2004-06-16T00:00:00.000+0000",NA,"204",NA,"Luz, A.A. da",2004,6,16,"Brazil","Es","BAIXO GUANDU",NA,NA,NA,"Revisado por: R.B. Pinto 15-X-2014 <ll>dwc_commonname:</ll> Roxinho","BRA:CVRD:CVRD:0000008765",NA,"Peltogyne angustiflora Ducke"
