"","modified","institutionCode","collectionCode","catalogNumber","scientificName","identificationQualifier","family","genus","specificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLongitude","decimalLatitude","occurrenceRemarks","occurrenceID","bibliographicCitation","acceptedNameUsage"
"1","2008-12-16T03:32:00.000+0000","MO","MO","3217260","Swartzia ingens Barneby",NA,"Fabaceae","Swartzia","ingens","Barneby","B.M. Torke","2002-01-01T00:00:00.000+0000",NA,"Farney 1927","Cyl Farney|C.D.A. da Mota",1987,11,18,"Brazil","Pará",NA,"Mun. de Oriximiná, Cach Porteira, Mata sobre afloramento rochoso na margem do Porto do Índio.",-57.08333,-1.11666,NA,"urn:catalog:MO:Tropicos:3217260","http://www.tropicos.org/Specimen/3217260","Swartzia ingens Barneby"
"2",NA,"NY","NY","32048","Swartzia ingens Barneby",NA,"Fabaceae","Swartzia","ingens","Barneby",NA,NA,"ISOTYPE","9664","C. A. Cid Ferreira",1987,11,24,"Brazil","Pará",NA,"Margem esquerda do rio Trombetas, prósimo ao Vicinal ES-9 da estrada entre Cachoeira Porteira e o Perimetral Norte.",-57.017978,-1.015683,NA,"a7011de0-4a16-4a90-874d-878babd7593a",NA,"Swartzia ingens Barneby"
"3","2014-07-08T05:04:02.000+0000","JBRJ","RB","RB00183875","Swartzia ingens Barneby",NA,"Fabaceae","Swartzia","ingens","Barneby","V.F. Mansano","2003-12-17T00:00:00.000+0000",NA,"1927","C. Farney; C.D. Mota",1987,11,18,"Brazil","Pará","Oriximiná","Cachoeira Porteira.",-57.083333,-1.116667,"Arbusto; 5m; fls. discolores verdes, coriáceas, revolutas; inflores. c/ raque verde , pedicelo e sépalas verdes, pélalos amarelos verdes, botões verdes amarelados.","urn:catalog:JBRJ:RB:183875",NA,"Swartzia ingens Barneby"
"4",NA,"UEFS","HUEFS","198152","Swartzia ingens Barneby",NA,"Fabaceae","Swartzia","ingens","Barneby","L.P.Queiroz","2016-10-01T00:00:00.000+0000",NA,"9664","Ferreira, C.A.C.",1987,11,24,"Brazil","Pará","Oriximiná","Margem esquerda do rio Trombetas, próximo ao Vicinal ES-9 da estrada entre Cachoeira Porteira e o Perimetral Norte. Mata de terra firme",-57.016667,-1.016667,NA,"BRA:UEFS:HUEFS:0000198152",NA,"Swartzia ingens Barneby"
"5","2013-06-11T15:11:51.000+0000","JBRJ","RB","RB00539755","Swartzia ingens Barneby",NA,"Fabaceae","Swartzia","ingens","Barneby","Barneby, R.","1991-01-01T00:00:00.000+0000","ISOTYPE","9664","Cid Ferreira, C.A.",1987,11,24,"Brazil","Pará","Oriximiná","Margem esquerda do Rio Trombetas.",NA,NA,"Margem esquerda do Rio Trombetas, próximo ao Vicinal ES-9 da estrada entre Cachoeira Porteira e o Perimetral Norte. Mata de terra firme, solo argiloso. Árvore de 10 m de altura X 15 cm de diâmetro. Flores com pétalas, estames e anteras amarelas; b","urn:catalog:JBRJ:RB:539755",NA,"Swartzia ingens Barneby"
"6",NA,"UEFS","HUEFS","187634","Swartzia ingens Barneby",NA,"Fabaceae","Swartzia","ingens","Barneby",NA,NA,NA,"9664","Ferreira, C.A.C.",1987,11,24,"Brazil","Pará","Oriximiná","Margem esquerda do rio Trombetas, próximo ao Vicinal ES - 9 da estrada entre Cachoeira Porteira e o Perimetral Norte.",-57.016667,-1.016667,"Mata de terra firme, solo argiloso.","BRA:UEFS:HUEFS:0000187634",NA,"Swartzia ingens Barneby"
"7","2014-05-26T15:08:40.000+0000","JBRJ","RB","RB00286698","Swartzia ingens Barneby",NA,"Fabaceae","Swartzia","ingens","Barneby","Mansano, V.F.",NA,"ISOTYPE","9664","Cid Ferreira,C.A.",1987,11,24,"Brazil","Pará","Oriximiná","Margem esquerda do rio Trombetas. Próximo ao Vicinal ES-9 da estrada entre Cachoeira Porteira e o Perimetral Norte. Mata de terra firme, solo argiloso.",NA,NA,NA,"urn:catalog:JBRJ:RB:286698",NA,"Swartzia ingens Barneby"
"8","2007-11-07T12:15:08.000+0000","K","Herbarium","K000500974","Swartzia ingens Barneby",NA,"Fabaceae","Swartzia","ingens","Barneby","Torke, B.M.",NA,"ISOTYPE","9664","Ferreira, C.A.C.",1987,11,24,"Brazil",NA,NA,"Mun. Oriximiná. Margem esquerda do rio Trombetas, próximo ao Vicinal ES-9 da estrada entre Cachoeira Porteira e o Perimetral Norte.",-57.02,-1.02,NA,"http://specimens.kew.org/herbarium/K000500974",NA,"Swartzia ingens Barneby"
"9",NA,"US","Botany","3282358","Swartzia ingens Barneby","aff.","Fabaceae","Swartzia","ingens","Barneby",NA,NA,NA,"1927","C. Farney & C. D. A. Mota",1987,11,18,"Brazil","Pará",NA,"Oriximina, Cach Porteira",-57.0833,-1.1167,NA,"http://n2t.net/ark:/65665/35c5ecdfe-c524-44ad-a724-d710c755d559",NA,"Swartzia ingens Barneby"
"10","2014-09-26T00:00:00.000+0000","Instituto Nacional de Pesquisas da Amazônia (INPA)","Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)","170964","Swartzia ingens Barneby",NA,"Fabaceae","Swartzia","ingens","Barneby","Torke, B.M.","2011-02-01T00:00:00.000+0000",NA,"1927","Mike Hopkins",1987,11,18,"Brazil","Pará",NA,"Cachoeira Porteira. Mata sobre afloramemto rochoso na margem do Porto do Índio.",-57,-2.166667,NA,"urn:catalog:inpa:herbarium:168419",NA,"Swartzia ingens Barneby"
