"","modified","institutionCode","collectionCode","catalogNumber","scientificName","family","genus","specificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLongitude","decimalLatitude","occurrenceRemarks","occurrenceID","bibliographicCitation","acceptedNameUsage","identificationQualifier","infraspecificEpithet","comments"
"1","2014-09-26T00:00:00.000+0000","Instituto Nacional de Pesquisas da Amazônia (INPA)","Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)","140530","Ocotea fragrantissima Ducke","Lauraceae","Ocotea","fragrantissima","Ducke",NA,NA,NA,"s.n.",NA,"Esteṿo",1985,5,11,"Brazil","Amazonas",NA,"BR-174, Km 38",NA,NA,NA,"urn:catalog:inpa:herbarium:43099",NA,"Ocotea fragrantissima Ducke",NA,NA,NA
"2","2014-09-26T00:00:00.000+0000","Instituto Nacional de Pesquisas da Amazônia (INPA)","Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)","99658","Ocotea fragrantissima Ducke","Lauraceae","Ocotea","fragrantissima","Ducke",NA,NA,NA,"7",NA,"Teixeira, PS",1981,5,23,"Brazil","Amazonas",NA,"1a. Barreira. Rio Gurimatá",NA,NA,NA,"urn:catalog:inpa:herbarium:197576",NA,"Ocotea fragrantissima Ducke",NA,NA,NA
"3","2014-09-26T00:00:00.000+0000","Instituto Nacional de Pesquisas da Amazônia (INPA)","Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)","82713","Ocotea fragrantissima Ducke","Lauraceae","Ocotea","fragrantissima","Ducke",NA,NA,NA,"1299",NA,"Pessoal do L.P.F., Bras�_lia",1978,1,12,"Brazil","Pará",NA,"Barreirinha, Curuá-Una.",NA,NA,NA,"urn:catalog:inpa:herbarium:121282",NA,"Ocotea fragrantissima Ducke",NA,NA,NA
"4","2014-09-26T00:00:00.000+0000","Instituto Nacional de Pesquisas da Amazônia (INPA)","Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)","82902","Ocotea fragrantissima Ducke","Lauraceae","Ocotea","fragrantissima","Ducke",NA,NA,NA,"1031",NA,"Pessoal do L.P.F., Bras�_lia",1977,9,23,"Brazil","Pará",NA,"Barreirinha, Curuá-Una.",NA,NA,NA,"urn:catalog:inpa:herbarium:121048",NA,"Ocotea fragrantissima Ducke",NA,NA,NA
"5","2014-09-26T00:00:00.000+0000","Instituto Nacional de Pesquisas da Amazônia (INPA)","Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)","82476","Ocotea fragrantissima Ducke","Lauraceae","Ocotea","fragrantissima","Ducke",NA,NA,NA,"1062",NA,"Pessoal do L.P.F., Bras�_lia",1977,10,1,"Brazil","Pará",NA,"Barreirinha, Curuá-Una.",NA,NA,NA,"urn:catalog:inpa:herbarium:121075",NA,"Ocotea fragrantissima Ducke",NA,NA,NA
"6","2014-09-26T00:00:00.000+0000","Instituto Nacional de Pesquisas da Amazônia (INPA)","Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)","82518","Ocotea fragrantissima Ducke","Lauraceae","Ocotea","fragrantissima","Ducke",NA,NA,NA,"1104",NA,"Pessoal do L.P.F., Bras�_lia",1977,10,20,"Brazil","Pará",NA,"Barreirinha, Curuá-Una.",NA,NA,NA,"urn:catalog:inpa:herbarium:121113",NA,"Ocotea fragrantissima Ducke",NA,NA,NA
"7",NA,"NY","NY","162369","Ocotea fragrantissima Ducke","Lauraceae","Ocotea","fragrantissima","Ducke",NA,NA,"ISOTYPE","225",NA,"W. A. Ducke",1935,10,4,"Brazil",NA,NA,"Rio Curicuriary, affl. Rio Negro super",0,0,NA,"3fd71896-a30e-483a-8f0d-f1a50aed6da0",NA,"Ocotea fragrantissima Ducke",NA,NA,NA
"8",NA,NA,"Botany","U  0002946","Ocotea fragrantissima Ducke","Lauraceae","Ocotea","fragrantissima","Ducke","Werff HH van der",NA,"ISOTYPE",NA,NA,"Ducke A",1935,10,4,"Brazil","Amazonas",NA,"Rio Curicuriary affl. Rio Negro (civ. Amazonas)",NA,NA,NA,"http://data.biodiversitydata.nl/naturalis/specimen/U%20%200002946",NA,"Ocotea fragrantissima Ducke",NA,NA,NA
"10",NA,"G","Geneva Herbarium – General Collection (G)","G-G-272162/1","Ocotea fragrantissima Ducke","Lauraceae","Ocotea","fragrantissima","Ducke","Rohwer, J. G. (1984)",NA,"ISOTYPE",NA,NA,"Ducke, A. (Coll. Delessert 1939)",1935,10,4,"Brazil",NA,NA,"Amazonas - Rio Curicuriary, affl. Rio Negro",-65.08583,-4.14444,NA,NA,NA,"Ocotea fragrantissima Ducke",NA,NA,NA
"13","2014-09-26T00:00:00.000+0000","Instituto Nacional de Pesquisas da Amazônia (INPA)","Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)","15333","Ocotea fragrantissima Ducke","Lauraceae","Ocotea","fragrantissima","Ducke","Ducke, A.",NA,NA,"JB35184",NA,"Ducke, A",1935,10,4,"Brazil","Amazonas",NA,"Rio Curieuriary afluente do rio Negro.",-67.35,-0.056944,NA,"urn:catalog:inpa:herbarium:41394",NA,"Ocotea fragrantissima Ducke",NA,NA,NA
