"","modified","institutionCode","collectionCode","catalogNumber","scientificName","family","genus","specificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLongitude","decimalLatitude","occurrenceRemarks","occurrenceID","bibliographicCitation","acceptedNameUsage"
"1",NA,"MBM","MBM","409898","Ocotea marumbiensis Brotto & Baitello","Lauraceae","Ocotea","marumbiensis","Brotto & Baitello","Brotto, ML","2017-11-25T00:00:00.000+0000",NA,"2536","Brotto, ML; Völtz, RR",2017,11,25,"Brazil","Paraná","Morretes","Conjunto Marumbi, Vale dos Perdidos",-48.914444,-25.449167,"Árvore com 5 metros de altura; fruto maduro negro com cúpula esverdeada.; Floresta Ombrófila Densa Altomontana.","BRA:MBM:MBM:0000409898",NA,"Ocotea marumbiensis Brotto & Baitello"
"2",NA,"MBM","MBM","402794","Ocotea marumbiensis Brotto & Baitello","Lauraceae","Ocotea","marumbiensis","Brotto & Baitello","Brotto, ML","2016-04-15T00:00:00.000+0000",NA,"2298","Brotto, ML",2016,3,11,"Brazil","Paraná","Morretes","Serra da Prata, Torre da Prata",-48.698333,-25.618611,"Coletada da mesma árvore do holótipo, com botões e frutos imaturos.; Floresta Ombrófila Densa Montana.","BRA:MBM:MBM:0000402794",NA,"Ocotea marumbiensis Brotto & Baitello"
"3",NA,"Universidade Federal do Paraná, UFPR","EFC","15697","Ocotea marumbiensis Brotto & Baitello","Lauraceae","Ocotea","marumbiensis","Brotto & Baitello","Brotto, M.L.","2014-08-04T00:00:00.000+0000",NA,"1617","Brotto, M.L.",2014,5,4,"Brazil","Paraná","Piraquara","Recreio da Serra",-49.0116,-25.2649,"Árvore de 6m; flores esverdeadas, madeira com odor suave e agradável. Transição entre Floresta Ombrófila Mista e Floresta Ombrófila Densa","BRA:UFPR:EFC:0000015697",NA,"Ocotea marumbiensis Brotto & Baitello"
"5",NA,"Universidade Tecnológica Federal do Paraná (UTFPR)","HCF","21883","Ocotea marumbiensis Brotto & Baitello","Lauraceae","Ocotea","marumbiensis","Brotto & Baitello","M.L. Brotto","2014-08-04T00:00:00.000+0000",NA,"1617","M.L. Brotto",2014,5,4,"Brazil","Pr","Piraquara","Recreio da Serra",-49.021111,-25.447222,"árvore de 6 m; flores esverdeadas, madeira com odor suave e agradável. Transição entre Floresta Ombrófila Mista e Floresta Ombrófila Densa.","BRA:UTFPR:HCF:0000021883",NA,"Ocotea marumbiensis Brotto & Baitello"
"8",NA,"Universidade Regional de Blumenau, FURB","FURB","46696","Ocotea marumbiensis Brotto & Baitello","Lauraceae","Ocotea","marumbiensis","Brotto & Baitello","M.L. Brotto","2016-12-01T00:00:00.000+0000",NA,"65","Seubert, R.C.",2014,8,20,"Brazil","Santa Catarina","Indaial","Faxinal do Bepe - Parque Nacional da Serra do Itajaí.",-49.206944,-27.124444,"Projeto Restaurar","BRA:FURB:FURB:0000046696",NA,"Ocotea marumbiensis Brotto & Baitello"
"9",NA,"MBM","MBM","384916","Ocotea marumbiensis Brotto & Baitello","Lauraceae","Ocotea","marumbiensis","Brotto & Baitello","Brotto, ML","2013-07-19T00:00:00.000+0000",NA,"570","Felitto, G; Roher, D; Daniel, VA; Pereira, DLP",2013,7,4,"Brazil","Paraná","Tijucas do Sul","APA de Guaratuba",-49.075433,-25.791261,"Árvore 10m; frutos imaturos verdes.; Floresta Ombrófila Mista, próximo ao rio.","BRA:MBM:MBM:0000384916",NA,"Ocotea marumbiensis Brotto & Baitello"
"11",NA,"UEFS","HUEFS","201034","Ocotea marumbiensis Brotto & Baitello","Lauraceae","Ocotea","marumbiensis","Brotto & Baitello",NA,NA,NA,"1296","Brotto, M.L.",2013,7,7,"Brazil","Paraná","Piraquara","Recreio da Serra",-49.021111,-25.447222,"Transição entre floresta ombrófila densa e Floresta ombrofila mista","BRA:UEFS:HUEFS:0000201034",NA,"Ocotea marumbiensis Brotto & Baitello"
"14",NA,"IF","SPSF","47949","Ocotea marumbiensis Brotto & Baitello","Lauraceae","Ocotea","marumbiensis","Brotto & Baitello","M.L.Brotto","2013-07-07T00:00:00.000+0000",NA,"1296","M.L.Brotto",2013,7,7,"Brazil","Pr","Piraquara","Recreio da Serra",-49.021111,-25.447222,"COLETA: Árvore; botões florais, flores esverdeadas e frutos imaturos; GEOGRAFIA: WGS84 25º26'50""S, 49º01'16""W&nf;Transição entre floresta ombrófila densa e floresta ombrófila mista;","BRA:IF:SPSF:0000047949",NA,"Ocotea marumbiensis Brotto & Baitello"
"15",NA,"MBM","MBM","391776","Ocotea marumbiensis Brotto & Baitello","Lauraceae","Ocotea","marumbiensis","Brotto & Baitello","Brotto, ML","2014-08-20T00:00:00.000+0000",NA,"17B","Schwirkowski, P",2013,11,24,"Brazil","Santa Catarina","São Bento do Sul","Parque Vinte e Três de Setembro",0,0,NA,"BRA:MBM:MBM:0000391776",NA,"Ocotea marumbiensis Brotto & Baitello"
"16",NA,"Universidade Regional de Blumenau, FURB","FURB","46392","Ocotea marumbiensis Brotto & Baitello","Lauraceae","Ocotea","marumbiensis","Brotto & Baitello","Brotto, ML","2014-08-20T00:00:00.000+0000",NA,"17","Schwirkowski, P.",2013,11,24,"Brazil","Santa Catarina","São Bento do Sul","Parque Vinte e Três de Setembro.",-49.383889,-26.284167,NA,"BRA:FURB:FURB:0000046392",NA,"Ocotea marumbiensis Brotto & Baitello"
