"","modified","institutionCode","collectionCode","catalogNumber","scientificName","identificationQualifier","family","genus","specificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLongitude","decimalLatitude","occurrenceRemarks","occurrenceID","bibliographicCitation","acceptedNameUsage"
"1",NA,"NY","NY","03231894","Ocotea nigrescens Vicentini",NA,"Lauraceae","Ocotea","nigrescens","Vicentini",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,"82e03e2a-4cb3-4ec1-93dd-91fdd5180655",NA,"Ocotea nigrescens Vicentini"
"2",NA,"NY","NY","03330567","Ocotea nigrescens Vicentini",NA,"Lauraceae","Ocotea","nigrescens","Vicentini",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,"bf9d7cf0-ffe6-4f56-9de6-dafbcc71650e",NA,"Ocotea nigrescens Vicentini"
"3",NA,"Instituto Amazónico de Investigaciones Científicas SINCHI","COAH","25151","Ocotea nigrescens Vicentini",NA,"Lauraceae","Ocotea","nigrescens","Vicentini","Vicentini, A.","2005-06-01T00:00:00.000+0000",NA,"1820","Córdoba, M.",1996,2,2,"Colombia","Guaviare",NA,"inspección de Tomachipán, PNN Nukak, río Inírida, cñ. Cocuy, cerro Cocuy",-71.19028,2.17806,"Ejemplar botánico","SINCHI:COAH:25151",NA,"Ocotea nigrescens Vicentini"
"4",NA,"Herbario Amazónico Colombiano","COAH","25151","Ocotea nigrescens Vicentini",NA,"Lauraceae","Ocotea","nigrescens","Vicentini","Vicentini, A.",NA,NA,"1820","Córdoba, M.",NA,NA,NA,"Colombia",NA,"San José del Guaviare",NA,-71.19028,2.17806,NA,"13447",NA,"Ocotea nigrescens Vicentini"
"5","2/06/17 16:15","INPA","INPA","15231","Ocotea nigrescens",NA,"Lauraceae","Ocotea",NA,"Vicent.","Werff, HH van der",NA,NA,NA,NA,NA,NA,NA,"Brasil","Amazonas",NA,"Reserva Florestal Adolfo Ducke, Reserva Florestal Ducke, Q-19",NA,NA,NA,NA,NA,"Ocotea nigrescens Vicent."
"6","2/06/17 16:15","INPA","INPA","177346","Ocotea nigrescens",NA,"Lauraceae","Ocotea",NA,"Vicent.","Vicentini, A",NA,NA,NA,NA,NA,NA,NA,"Brasil","Amazonas",NA,"Reserva Florestal Adolfo Ducke, Por trilha a direita do km 1.1 da estrada alojamento-torre.",NA,NA,NA,NA,NA,"Ocotea nigrescens Vicent."
"7","2/06/17 16:15","INPA","INPA","189733","Ocotea nigrescens",NA,"Lauraceae","Ocotea",NA,"Vicent.","Vicentini, A",NA,"paratype",NA,NA,NA,NA,NA,"Brasil","Amazonas",NA,"Reserva Florestal Adolfo Ducke",NA,NA,NA,NA,NA,"Ocotea nigrescens Vicent."
"8","2/06/17 16:15","INPA","INPA","191072","Ocotea nigrescens",NA,"Lauraceae","Ocotea",NA,"Vicent.","Vicentini, A",NA,"paratype",NA,NA,NA,NA,NA,"Brasil","Amazonas",NA,"Reserva Florestal Adolfo Ducke",NA,NA,NA,NA,NA,"Ocotea nigrescens Vicent."
"9","2/06/17 16:15","INPA","INPA","213876","Ocotea nigrescens",NA,"Lauraceae","Ocotea",NA,"Vicent.","Assun̤̣o, PACL",NA,NA,NA,NA,NA,NA,NA,"Brasil","Roraima",NA,"Comunidade Caicubi. Parcela N� 73. Mata de terra firme.",NA,NA,NA,NA,NA,"Ocotea nigrescens Vicent."
"10","2/06/17 16:15","INPA","INPA","217495","Ocotea nigrescens",NA,"Lauraceae","Ocotea",NA,"Vicent.","Mello, AT; Azevedo, AB de",NA,NA,NA,NA,NA,NA,NA,"Brasil","Amazonas",NA,"Reserva ZF-3, BR 174, Km 64. Floresta prim��ria de plat̫. ́rea do Projeto TEAM. Parcela do Km 37 da ZF-3, sub parcela 05, indiv�_duo n� 121.",NA,NA,NA,NA,NA,"Ocotea nigrescens Vicent."
"11","2/06/17 16:15","INPA","INPA","242873","Ocotea nigrescens",NA,"Lauraceae","Ocotea",NA,"Vicent.","Vicentini, A",NA,NA,NA,NA,NA,NA,NA,"Brasil","Amazonas",NA,"Rebio Uatuṃ, grade do PPBio.",NA,NA,NA,NA,NA,"Ocotea nigrescens Vicent."
"12","2/06/17 16:15","INPA","INPA","260275","Ocotea nigrescens",NA,"Lauraceae","Ocotea",NA,"Vicent.","Vicentini, A",NA,NA,NA,NA,NA,NA,NA,"Brasil","Amazonas",NA,"ARIE-PDBFF - Estrada ZF-3 - Fazenda Esteio, S�_tio amostral Colosso - Reserva 1202 - Parcela 1202-12 - Quadrante 49",NA,NA,NA,NA,NA,"Ocotea nigrescens Vicent."
"13","2/06/17 16:15","INPA","INPA","58620","Ocotea nigrescens",NA,"Lauraceae","Ocotea",NA,"Vicent.","Vicentini, A",NA,NA,NA,NA,NA,NA,NA,"Brasil","Amazonas",NA,"Reserva Florestal Adolfo Ducke, Estrada Manaus-Itacoatiara, km 26, Reserva Florestal Ducke.",NA,NA,NA,NA,NA,"Ocotea nigrescens Vicent."
"14","2/06/17 16:15","INPA","INPA","61918","Ocotea nigrescens",NA,"Lauraceae","Ocotea",NA,"Vicent.","Vicentini, A",NA,NA,NA,NA,NA,NA,NA,"Brasil","Amazonas",NA,"Reserva Florestal Adolfo Ducke, Esrada Manaus-Itacoatiara km 26, Reserva Florestal Ducke",NA,NA,NA,NA,NA,"Ocotea nigrescens Vicent."
"15","2/06/17 16:15","INPA","INPA","64685","Ocotea nigrescens",NA,"Lauraceae","Ocotea",NA,"Vicent.","Vicentini, A",NA,NA,NA,NA,NA,NA,NA,"Brasil","Mato Grosso",NA,"Invent��rio Florestal, 1a. ��rea Q-1-7-3",NA,NA,NA,NA,NA,"Ocotea nigrescens Vicent."
