"","modified","institutionCode","collectionCode","catalogNumber","scientificName","identificationQualifier","family","genus","specificEpithet","infraspecificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLongitude","decimalLatitude","occurrenceRemarks","occurrenceID","comments","bibliographicCitation","acceptedNameUsage"
"1","","","CESJ","62533","Persea splendens Meisn.","","Lauraceae","Persea","splendens","","Meisn.","L.C.S. Assis","2013-06-01","","511","","D.S. Santiago","2013","3","30","brazil","Minas Gerais","Baependi","Parque Estadual da Serra do Papagaio, Interior da Mata de Araucária localizada a 1.800 - 2.000 m de altitude.","-44.822926","-22.017171","Árvore, ca. 10 m, frutos passados.","","centroide mpo (0)","GBIF","Persea splendens Meisn."
"2","","","HUEFS","183002","Persea splendens Meisn.","","Lauraceae","Persea","splendens","","Meisn.","P.Moraes","","","663","","Matos, E.N.de","2011","10","10","brazil","Bahia","Maraú","Cassange, comunidade Saleiro.","-38.961667","-14.013056","Floresta.","","original coordinates","GBIF","Persea splendens Meisn."
"3","","","MBM","401287","Persea splendens Meisn.","","Lauraceae","Persea","splendens","","Meisn.","","","","663","","Matos, EN de; Fernandes, M; Vidal, M","2011","10","10","brazil","Minas Gerais","Maraú","Cassange, Comunidade Saleiro","-38.961667","-14.013056","Árvore, cerca de 15m de altura; folhas discolores, face abaxial tomentosa e ferrugínea, as novas com tricoma pulvurulento; flores pardacentas; LA 527.; Floresta.","","original coordinates","GBIF","Persea splendens Meisn."
"4","","","SPF","218700","Persea splendens Meisn.","","Lauraceae","Persea","splendens","","Meisn.","Pena, MA","2009-01-01","","655","","Pena, MA","2008","1","21","brazil","Minas Gerais","Morro do Pilar","Parque Nacional da Serra do Cipó, Acesso pelo km 123 da rodovia MG 010, afloramento das velózias gigantes.","-43.510556","-19.246944","Arbusto ca. 2 m. Folhas discolores com face abaxial reflexiva. Raque castanha. Botões castanho-esverdeados.","","original coordinates","GBIF","Persea splendens Meisn."
"5","","","NY","02103745","Persea splendens Meisn.","","Lauraceae","Persea","splendens","","Meisn.","H. H. van der Werff","2012-01-01","","6707","","A. M. Amorim","2007","1","20","brazil","Bahia","","Serra do Peito-de-MoÃ§a. Estrada que liga Arataca a Una, ramal ca. 22,4 km de Arataca com entrada no Assentamento Santo Antonio. RPPN ""Caminho das Pedras"".","-39.3417","-15.1736","","","original coordinates","GBIF","Persea splendens Meisn."
"6","","","SPF","218394","Persea splendens Meisn.","","Lauraceae","Persea","splendens","","Meisn.","Assis, LCS","2008-01-01","","591","","Pena, MA","2007","11","12","brazil","Minas Gerais","Morro do Pilar","Parque Nacional da Serra do Cipó, Acesso pelo km 123 da rodovia MG 010, afloramento das velózias gigantes.","-43.510556","-19.246944","Arbusto. Folhas discolores com face abaxial dourado-claro.","","original coordinates","GBIF","Persea splendens Meisn."
"7","","","MO","3137836","Persea splendens Meisn.","","Lauraceae","Persea","splendens","","Meisn.","H.v.d. Werff","2004-01-01","","Fonseca 2568","","Marina L. Fonseca","2001","4","24","brazil","Goiás","","Municipio Campos Belos. Estrada de chão para Pouso Alto. Vegetacão: Vereda. Solo arenoso. Relevo: plano/ondulado.","-46.43055","-12.99833","","","original coordinates","GBIF","Persea splendens Meisn."
"8","","","MO","3137618","Persea splendens Meisn.","","Lauraceae","Persea","splendens","","Meisn.","H.v.d. Werff","2004-01-01","","Fonseca 2704","","Marina L. Fonseca","2001","5","15","brazil","Bahia","","Mpio. de Cocos. Fazenda Trijuncão. Ponto 3. Relevo: Plano.","-45.94583","-14.77694","","","original coordinates","GBIF","Persea splendens Meisn."
"9","","","UB","133362","Persea splendens Meisn.","","Lauraceae","Persea","splendens","","Meisn.","Moraes, PLR","2004-01-01","","478","","Sampaio, AB","2001","5","7","brazil","Tocantins","Mateiros","Região do Jalapão","-46.133333","-10.55","Flor creme.; Árvore 3m.; Borda de mata de galeria","","original coordinates","GBIF","Persea splendens Meisn."
"10","","","HUEFS","177580","Persea splendens Meisn.","","Lauraceae","Persea","splendens","","Meisn.","H.L.Ribeiro","2016-10-01","","2704","","Fonseca, M.L.","2001","5","15","brazil","Bahia","Cocos","Fazenda Trijunção. Ponto 3.","-45.945833","-14.776944","Vereda ocasional.","","original coordinates","GBIF","Persea splendens Meisn."
