"","modified","institutionCode","collectionCode","catalogNumber","scientificName","identificationQualifier","family","genus","specificEpithet","infraspecificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLongitude","decimalLatitude","occurrenceRemarks","acceptedNameUsage","occurrenceID","comments","bibliographicCitation"
"1","","","RB","RB00924728","Corythophora alta R.Knuth","","Lecythidaceae","Corythophora","alta","","R.Knuth","Dexter, K.G.","","","6917","","Dexter, K.G.; Santana, F.","2014","6","27","brazil","Amazonas","Manaus","Reserva Adolfo Ducke, North of Manaus, PPBIO plot LO5:3500.","-59.928056","-2.960556","22m alt., 19,2cm DBH, tan bark with lenticels","Corythophora alta R.Knuth","","original coordinates","GBIF"
"2","","","CEPEC","78754","Corythophora alta R.Knuth","","Lecythidaceae","Corythophora","alta","","R.Knuth","S. A. Mori","","","7297","","G. Martinelli","2014","7","14","brazil","Pará","ORIXIMINÁ","Rio trombetas, Mineraçao Sta. Patricia-Jari SA, Serra da Onça.","-57.149597","0.25489","Ambiente: Mata de terra. Solo de bauxita. Habito: Árvore maior que 20m e menor que 50m","Corythophora alta R.Knuth","","centroide mpo","GBIF"
"3","","","EAFM","6961","Corythophora alta R.Knuth","","Lecythidaceae","Corythophora","alta","","R.Knuth","Bento, R.","2012-03-13","","s.n.","","Valdenor Vergelino","2012","3","13","brazil","Amazonas","Rio Preto da Eva","","-59.638252","-2.529897","2012_01_26_RS_SL_0002_Valdenor Adailton; Ramos/frutos; F.O.D; Solo Argiloso.","Corythophora alta R.Knuth","","centroide mpo (0)","GBIF"
"4","","","Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)","258895","Corythophora alta R.Knuth","","Lecythidaceae","Corythophora","alta","","R.Knuth","","2013-01-01","","231","","Gaui, TD","2012","6","","brazil","Amazonas","","ZF2, Vicinal de origem no Km 50 da Rodovia BR-174","-60.09","-2.3836","","Corythophora alta R.Knuth","","original coordinates","GBIF"
"5","","","EAFM","15791","Corythophora alta R.Knuth","","Lecythidaceae","Corythophora","alta","","R.Knuth","Marra, D.M.; Carneiro, V.M.C.","2012-09-22","","1408","","Marra, D.M.; Neves, A.F. & Pereira, S. .L.","2012","9","22","brazil","Amazonas","Manacapurú, Novo Airão","Reserva de Desenvolvimento Sustentável do Rio Negr, Parcelas permanentes instaladas ao longo de transectos que cruzam uma área (ca. 75 hectares) de floresta atingida por uma tempestade de vento ocorrida no ano de 1987","-61.260783","-3.672097","árvore, DAP = 15.1 cm; Floresta de terra-firme ; HA","Corythophora alta R.Knuth","","original coordinates","GBIF"
"6","","","EAFM","15391","Corythophora alta R.Knuth","","Lecythidaceae","Corythophora","alta","","R.Knuth","Marra, D.M.; Carneiro, V.M.C.","2012-09-02","","1008","","Marra, D.M.; Neves, A.F. & Souza, I.G.","2012","9","2","brazil","Amazonas","Manacapurú, Novo Airão","Reserva de Desenvolvimento Sustentável do Rio Negr, Parcelas permanentes instaladas ao longo de transectos que cruzam uma área (ca. 75 hectares) de floresta atingida por uma tempestade de vento ocorrida no ano de 1987","-61.256533","-3.652619","árvore, DAP = 29.2 cm; Floresta de terra-firme ; HA","Corythophora alta R.Knuth","","original coordinates","GBIF"
"7","","","EAFM","15141","Corythophora alta R.Knuth","","Lecythidaceae","Corythophora","alta","","R.Knuth","Marra, D.M.","2011-09-16","","758","","Marra, D.M.; Neves, A.F. & Souza, I.G.","2011","9","16","brazil","Amazonas","Manaus, Presidente Figueiredo","Ramal ZF5 (SUFRAMA), BR-174, Km 83, Parcelas permanentes instaladas ao longo de transectos que cruzam uma floresta de terra-firme (ca. 900 hectares) atingida por uma tempestade de vento ocorrida no ano de 1996","-60.286728","-2.435794","árvore, DAP = 12.8 cm; Floresta de terra-firme ; HA","Corythophora alta R.Knuth","","original coordinates","GBIF"
"8","","","Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)","240347","Corythophora alta R.Knuth","","Lecythidaceae","Corythophora","alta","","R.Knuth","","","","12/30/1899","","Azambuja, CAP","2010","10","30","brazil","Roraima","","Parque Nacional do Viruá, Trilha Sumaúma","","","","Corythophora alta R.Knuth","","","GBIF"
"9","","","Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)","224509","Corythophora alta R.Knuth","","Lecythidaceae","Corythophora","alta","","R.Knuth","Mori, S.A.","2008-08-22","","27246","","Mori, SA","2008","8","22","brazil","Amazonas","","Distrito Agropecuário, Reserva 1501 (Km 41) da WWF/INPA  Projeto Dinâmica Biológica dos Fragmentos Florestais. Non-flooded, lowland forest.","-59.76","-2.407222","","Corythophora alta R.Knuth","","original coordinates","GBIF"
"10","","","NY","879171","Corythophora alta R.Knuth","","Lecythidaceae","Corythophora","alta","","R.Knuth","","","","1567","","J. G. de Carvalho-Sobrinho","2007","6","10","brazil","Amazonas","","Rebio UatumÃ£, grade do PPBio.","-59.251841","-1.803765","","Corythophora alta R.Knuth","","original coordinates","GBIF"
"11","","","Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)","225890","Corythophora alta R.Knuth","","Lecythidaceae","Corythophora","alta","","R.Knuth","Carvalho-Sobrinho, J.G. de","","","1564","","Carvalho-Sobrinho, JG de","2007","6","9","brazil","Amazonas","","Rebio Uatumã., grade do PPBio.","-59","-1","Imprimir etiqueta. Virou UNICATA!!!","Corythophora alta R.Knuth","","original coordinates","GBIF"
"12","","","Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)","225902","Corythophora alta R.Knuth","","Lecythidaceae","Corythophora","alta","","R.Knuth","","","","UAT40","","Carvalho, FA de","2007","7","20","brazil","Amazonas","","Rebio Uatumã., grade do PPBio. n° 6678 parcela L3/1500 .","-59","-1","Imprimir etiqueta.","Corythophora alta R.Knuth","","original coordinates","GBIF"
"13","","","Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)","217439","Corythophora alta R.Knuth","","Lecythidaceae","Corythophora","alta","","R.Knuth","""Mello, A.T.; Azevedo, A.B. de""","2005-01-01","","3","","Azevedo, AB de","2005","2","18","brazil","Amazonas","","Reserva Florestal Adolfo Ducke, Reserva Florestal Adolpho Ducke. Floresta primária de platô. Área do Projeto TEAM. Parcela da Ducke-Sede, sub-parcela 9, indivíduo n° 197.","-59.97","-2.883333","","Corythophora alta R.Knuth","","original coordinates","GBIF"
"14","","","Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)","217491","Corythophora alta R.Knuth","","Lecythidaceae","Corythophora","alta","","R.Knuth","""Mello, A.T.; Azevedo, A.B. de""","2004-01-01","","240","","Oliveira, ACA","2004","11","21","brazil","Amazonas","","Reserva ZF-3, BR 174, Km 64. Floresta primária de platô. Área do Projeto TEAM. Parcela do Km 37 da ZF-3, sub parcela 02, indivíduo nº 26.","","","","Corythophora alta R.Knuth","","","GBIF"
"15","","","Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)","216694","Corythophora alta R.Knuth","","Lecythidaceae","Corythophora","alta","","R.Knuth","Assunção, P.A.C.L.","2004-01-01","","949","","Castilho, CV","2003","1","15","brazil","Amazonas","","Reserva Florestal Adolfo Ducke, Reserva Florestal Adolpho Ducke. Rodovia Manaus-Itacoatiara, km 26. Trilha L-O4, km 3.5. Solo muito argiloso.","-59.97","-2.883333","","Corythophora alta R.Knuth","","original coordinates","GBIF"
"16","","","Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)","216695","Corythophora alta R.Knuth","","Lecythidaceae","Corythophora","alta","","R.Knuth","Assunção, P.A.C.L.","2004-01-01","","1001","","Castilho, CV","2003","1","21","brazil","Amazonas","","Reserva Florestal Adolfo Ducke, Reserva Florestal Adolpho Ducke. Rodovia Manaus-Itacoatiara, km 26. Trilha L-O4, km 2.5. Solo muito argiloso.","-59.97","-2.883333","","Corythophora alta R.Knuth","","original coordinates","GBIF"
"17","","","Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)","216705","Corythophora alta R.Knuth","","Lecythidaceae","Corythophora","alta","","R.Knuth","Assunção, P.A.C.L.","2004-01-01","","1190","","Castilho, CV","2003","3","13","brazil","Amazonas","","Reserva Florestal Adolfo Ducke, Reserva Florestal Adolpho Ducke. Rodovia Manaus-Itacoatiara, km 26. Trilha L-O5, km 6.5. Solo muito argiloso.","-59.97","-2.883333","","Corythophora alta R.Knuth","","original coordinates","GBIF"
"18","","","Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)","191939","Corythophora alta R.Knuth","","Lecythidaceae","Corythophora","alta","","R.Knuth","Prance, G.T.","","","30861","","Prance, GT","1998","4","16","brazil","Amazonas","","Reserva Florestal Adolfo Ducke, Tinga.","-59.97","-2.883333","","Corythophora alta R.Knuth","","original coordinates","GBIF"
"19","","","NY","01071928","Corythophora alta R.Knuth","","Lecythidaceae","Corythophora","alta","","R.Knuth","S. A. Mori","1995-07-01","","161A","","P. A. C. L. AssunÃ§Ã£o","1995","1","18","brazil","Amazonas","","","","","","Corythophora alta R.Knuth","","","GBIF"
"20","","","MO","3166091","Corythophora alta R.Knuth","","Lecythidaceae","Corythophora","alta","","R.Knuth","Mori, S.M.","1995-01-01","","Vicentini 423","","Alberto Vicentini","1994","3","11","brazil","Amazonas","","Reserva Florestal Ducke, Manaus-Itacoatiara, km 26. Trilha a esquerda do km 0.35 da estrada Alojamento-Torte. Solo argiloso.","-59.966667","2.883333","","Corythophora alta R.Knuth","","original coordinates","GBIF"
"21","","","NY","00853267","Corythophora alta R.Knuth","","Lecythidaceae","Corythophora","alta","","R.Knuth","S. A. Mori","1995-07-01","","423","","A. Vicentini","1994","3","11","brazil","Amazonas","","Reserva Florestal Ducke, Manaus-Itacoatiara, km 26.  Trilha a esquerda do Km 0.35 da estrada Alojamento-Torre.","","","","Corythophora alta R.Knuth","","","GBIF"
"22","","","Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)","180097","Corythophora alta R.Knuth","","Lecythidaceae","Corythophora","alta","","R.Knuth","Mori, S.A.","1995-07-01","","196","","Sothers, CA","1994","9","30","brazil","Amazonas","","Reserva Florestal Adolfo Ducke","-59.97","-2.883333","","Corythophora alta R.Knuth","","original coordinates","GBIF"
"23","","","MO","3163497","Corythophora alta R.Knuth","","Lecythidaceae","Corythophora","alta","","R.Knuth","Mori, S.M.","1995-01-01","","Sothers 196","","Cynthia A. Sothers|E. da C. Pereira|P. A. Costa Lima Assunção","1994","9","30","brazil","Amazonas","","Florest de Plato. arvore. Solo argiloso dossel, aspecto circular; base reta. Ritidoma marrom, comlenticelas bege, circulares, agrupadas verticalmente, abundantes; desprendimento em placas arredondadas, deixando depressoes na casca. Corte; casca morta 0.5 mm, marrom; casca viva 1.5 mm, alaranjado-rosa, em degrade, camada rosea entre a casca viva e o alburno, textura fibrosa,odor suave; alburno amarelo.","-59.96666","2.88333","","Corythophora alta R.Knuth","","original coordinates","GBIF"
"24","","","Botany","U.1418456","Corythophora alta R.Knuth","","Lecythidaceae","Corythophora","alta","","R.Knuth","","","","","","Sothers CA; Assunção PACL; Pereira EC","1994","9","30","brazil","","","Reserva Ducke Amazonas, Reserva Florestal Ducke, Manaus-Itacoatiara, km 26. Floresta de Plato. Arvore.","-59.966667","-2.883333","","Corythophora alta R.Knuth","","original coordinates","GBIF"
"25","","","NY","01071932","Corythophora alta R.Knuth","","Lecythidaceae","Corythophora","alta","","R.Knuth","S. A. Mori","1995-07-01","","648","","J. R. Nascimento","1994","11","15","brazil","Amazonas","","Reserva Florestal Ducke, Manaus-Itacoatiara, km 26.","","","","Corythophora alta R.Knuth","","","GBIF"
"26","","","MO","3163184","Corythophora alta R.Knuth","","Lecythidaceae","Corythophora","alta","","R.Knuth","Mori","1995-01-01","","Nascimento 648","","J.R. Nascimento|C. Fernandes da Silva|E. da C. Pereira","1994","11","15","brazil","Amazonas","","Reserva Florestal Ducke, Manaus-Itacoatirar, km 26.","-59.96666","-2.88333","","Corythophora alta R.Knuth","","original coordinates","GBIF"
"27","","","SPF","131825","Corythophora alta R.Knuth","","Lecythidaceae","Corythophora","alta","","R.Knuth","Mori, SA","2013-01-01","","1835","","Oliveira, AA","1993","3","","brazil","Amazonas","Manaus","","-59.761111","-2.407222","","Corythophora alta R.Knuth","","original coordinates","GBIF"
"28","","","MO","3166881","Corythophora alta R.Knuth","","Lecythidaceae","Corythophora","alta","","R.Knuth","S. Mori","1992-01-01","","Nee 42722","","Michael H. Nee","1992","5","19","brazil","Amazonas","","Mun. de Manaus, ca. 80 km. N de Manaus, Distrito Agropecuario da SUFRAMA< Rodovia Br 174, km 64, depois 7 kmleste na ZF3, Fazenda Porto Alegre. Projeto Dinamica Biologica de Biologica de Fragmentos Florestais acampamebto Porto Alegre.","-59.93333","2.41666","","Corythophora alta R.Knuth","","original coordinates","GBIF"
