"","modified","institutionCode","collectionCode","catalogNumber","scientificName","family","genus","specificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLongitude","decimalLatitude","occurrenceRemarks","occurrenceID","acceptedNameUsage","identificationQualifier","infraspecificEpithet","fieldNumber","comments","bibliographicCitation"
"1",NA,"NY","NY","00690291","Eschweilera rankiniae S.A.Mori","Lecythidaceae","Eschweilera","rankiniae","S.A.Mori","S. A. Mori","2008-08-21T00:00:00.000+0000",NA,"27233","S. A. Mori",2008,8,21,"Brazil","Amazonas",NA,"Distrito AgropecuÃ¡rio, Reserva 1501 (km 41) da WWF/INPA Projeto DinÃ¢mica BiolÃ³gica dos Fragmentos Florestais.",-59.730556,-2.41625,NA,"6bfb2a70-c383-43c8-8559-9baf5edf627b","Eschweilera rankiniae S.A.Mori",NA,NA,NA,NA,NA
"2","2014-09-26T00:00:00.000+0000","Instituto Nacional de Pesquisas da Amazônia (INPA)","Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)","224505","Eschweilera rankiniae S.A.Mori","Lecythidaceae","Eschweilera","rankiniae","S.A.Mori","Mori, S.A.","2008-08-21T00:00:00.000+0000",NA,"27233","Mike Hopkins",2008,8,21,"Brazil","Amazonas",NA,"Distrito Agropecuário, Reserva 1501 (Km 41) da WWF/INPA  Projeto Dinâmica Biológica dos Fragmentos Florestais. Non-flooded, lowland forest.",-59.76,-2.407222,NA,"urn:catalog:inpa:herbarium:208425","Eschweilera rankiniae S.A.Mori",NA,NA,NA,NA,NA
"3","2014-09-26T00:00:00.000+0000","Instituto Nacional de Pesquisas da Amazônia (INPA)","Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)","184422","Eschweilera rankiniae S.A.Mori","Lecythidaceae","Eschweilera","rankiniae","S.A.Mori","Mori, S.A.","1991-01-01T00:00:00.000+0000",NA,"923","Mike Hopkins",1990,2,6,"Brazil","Amazonas",NA,"Distrito Agropecuário, ZF3, Distrito Agropecuário, Reserva 1501 (Km41) da Smithsonian/INPA. Projeto Dinâmica Biológica de Fragmentos Florestais.",-59.72,-2.4,NA,"urn:catalog:inpa:herbarium:35752","Eschweilera rankiniae S.A.Mori",NA,NA,NA,NA,NA
"4","2014-09-26T00:00:00.000+0000","Instituto Nacional de Pesquisas da Amazônia (INPA)","Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)","198479","Eschweilera rankiniae S.A.Mori","Lecythidaceae","Eschweilera","rankiniae","S.A.Mori","Mori, S.A.","1991-01-01T00:00:00.000+0000",NA,"241","Mike Hopkins",1990,10,21,"Brazil","Amazonas",NA,"Distrito Agropecuário, ZF3, Distrito Agropecuário - Reserva 1501-km 41 do Smithsonian/INPA - Projeto Dinâmica Biológica dos Fragmentos Florestais.",-59.72,-2.4,NA,"urn:catalog:inpa:herbarium:178374","Eschweilera rankiniae S.A.Mori",NA,NA,NA,NA,NA
"5",NA,"US","Botany",NA,"Eschweilera rankiniae S.A.Mori","Lecythidaceae","Eschweilera","rankiniae","S.A.Mori",NA,NA,NA,"241","M. A. Freitas, R. M. Cardoso & J. F. Menezes",1990,10,21,"Brazil","Amazonas",NA,"Distrito Agropecuário, Reserva 1501 (km 41) da Smithsonian/INPA- Projeto Dinâmica Biológica dos Fragmentos Florestais. Árvore #262",NA,NA,NA,"http://n2t.net/ark:/65665/3dd0c900e-a57b-45a9-9d71-2fe14f8e7a57","Eschweilera rankiniae S.A.Mori",NA,NA,NA,NA,NA
"6",NA,"NY","NY","0682584","Eschweilera rankiniae S.A.Mori","Lecythidaceae","Eschweilera","rankiniae","S.A.Mori","S. A. Mori","1996-01-01T00:00:00.000+0000",NA,"241","M. A. de Freitas",1990,10,21,"Brazil","Amazonas",NA,"Distrito AgropecuÃ¡rio, Reserva 1501 - km 41 da Smithsonia/INPA - Projeto DinÃ¢mica BiolÃ³gica dos Fragmentos Florestais.",-59.727778,-2.407222,NA,"a6ba0ac7-34fe-4ad8-9ce4-e5d27499a385","Eschweilera rankiniae S.A.Mori",NA,NA,NA,NA,NA
"7","2014-09-26T00:00:00.000+0000","Instituto Nacional de Pesquisas da Amazônia (INPA)","Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)","192045","Eschweilera rankiniae S.A.Mori","Lecythidaceae","Eschweilera","rankiniae","S.A.Mori","Mori, S.A.","1991-01-01T00:00:00.000+0000",NA,"474","Mike Hopkins",1990,11,23,"Brazil","Amazonas",NA,"Distrito Agropecuário, ZF3, Distrito Agropecuário, Reserva 1501 (Km 41) da Smithsonian/INPA",-59.83,-2.516667,NA,"urn:catalog:inpa:herbarium:178990","Eschweilera rankiniae S.A.Mori",NA,NA,NA,NA,NA
"8",NA,"NY","NY","00682585","Eschweilera rankiniae S.A.Mori","Lecythidaceae","Eschweilera","rankiniae","S.A.Mori","S. A. Mori","1995-01-01T00:00:00.000+0000",NA,"474","M. A. de Freitas",1990,12,23,"Brazil","Amazonas",NA,"Distrito AgropecuÃ¡rio, Reserva 1501 - km 41 da Smithsonia/INPA - Projeto DinÃ¢mica BiolÃ³gica dos Fragmentos Florestais.",-59.727778,-2.407222,NA,"d7079fd6-9f83-4337-9928-29020eabafd4","Eschweilera rankiniae S.A.Mori",NA,NA,NA,NA,NA
"9","2017-10-15T15:45:12.000+0000","JBRJ","RB","RB00539342","Eschweilera rankiniae S.A.Mori","Lecythidaceae","Eschweilera","rankiniae","S.A.Mori","S. Mori","1996-01-01T00:00:00.000+0000","PARATYPE","474","Freitas, M.A. de",1990,12,23,"Brazil","Amazonas","Amazonas","Distrito Agropecuário, Reserva 1501 (Km 41) da Smithsonian/INPA.",-59.727778,-2.407222,"Árvore. Irregular, alargado na na base, marrom. Casca soltando em placas grossas, irregulares. No corte: marron, dura, 5mm; interna: vermelha, 7mm, mole, fibrosa. Flores: pétalas brancas com traços róseos, capuz amarelo, estames amarelos, cálice verde. Q=8,9.","urn:catalog:JBRJ:RB:539342","Eschweilera rankiniae S.A.Mori",NA,NA,NA,NA,NA
"10",NA,"USP","SPF","126218","Eschweilera rankiniae S.A.Mori","Lecythidaceae","Eschweilera","rankiniae","S.A.Mori","Mori, SA","1989-01-01T00:00:00.000+0000","ISOTYPE","436","Cunha, NML",1989,10,27,"Brazil","Amazonas","Manaus",NA,-59.730556,-2.407222,NA,"BRA:USP:SPF:0000126218","Eschweilera rankiniae S.A.Mori",NA,NA,NA,NA,NA
