"","modified","institutionCode","collectionCode","catalogNumber","scientificName","family","genus","specificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLongitude","decimalLatitude","occurrenceRemarks","occurrenceID","bibliographicCitation","acceptedNameUsage"
"1","2014-09-26T00:00:00.000+0000","Instituto Nacional de Pesquisas da Amazônia (INPA)","Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)","258733","Pterandra arborea Ducke","Malpighiaceae","Pterandra","arborea","Ducke",NA,"2013-01-01T00:00:00.000+0000",NA,"69",NA,"Mike Hopkins",2012,6,NA,"Brazil","Amazonas",NA,"ZF2, Vicinal de origem no Km 50 da Rodovia BR-174",-60.09,-2.3751,NA,"urn:catalog:inpa:herbarium:246944",NA,"Pterandra arborea Ducke"
"2",NA,"Cenargen","CEN","93463","Pterandra arborea Ducke","Malpighiaceae","Pterandra","arborea","Ducke","M. Simon",NA,NA,"208",NA,"Natália Alves Perigolo",2012,9,22,"Brazil","Ro","PORTO VELHO","Margem direita do rio Madeira, acesso pelo ramal ao norte da BR-364, a 5 Km W do porto da Balsa. Parcela T6P3",-65.044722,-9.625278,"Modulo RAPELD em Abunã, transecto 10, área de influência indireta da UHE Jirau (T6P3). Indivíduo 11477. Solo sazonalmente inundavel pelo afloramento do lençol freático.","BRA:Cenargen:CEN:0000093463",NA,"Pterandra arborea Ducke"
"3",NA,"Cenargen","CEN","84236","Pterandra arborea Ducke","Malpighiaceae","Pterandra","arborea","Ducke","M. Simon",NA,NA,"16412",NA,"Glocimar Pereira-Silva",2012,10,20,"Brazil","Ro","PORTO VELHO","Módulo Mutum, transecto 6, parcela 3. Margem direita do rio Madeira.",-65.045833,-9.616389,NA,"BRA:Cenargen:CEN:0000084236",NA,"Pterandra arborea Ducke"
"4","2014-09-26T00:00:00.000+0000","Instituto Nacional de Pesquisas da Amazônia (INPA)","Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)","251905","Pterandra arborea Ducke","Malpighiaceae","Pterandra","arborea","Ducke",NA,NA,NA,"19",NA,"Mike Hopkins",2011,7,26,"Brazil","Amazonas",NA,"Conjunto Novo Mundo",NA,NA,NA,"urn:catalog:inpa:herbarium:246253",NA,"Pterandra arborea Ducke"
"5",NA,"Cenargen","CEN","80372","Pterandra arborea Ducke","Malpighiaceae","Pterandra","arborea","Ducke","M. Simon",NA,NA,"956",NA,"Marcelo Fragomeni Simon",2010,10,16,"Brazil","Ro","PORTO VELHO","Ao longo da BR - 364, 5 km oeste de Mutum Paraná.",-64.917777,-9.609444,"Árvore 6m. Ritidoma fissurado. Flores velhas. Floresta sazonalmente inundável com dossel médio de 8 m. Área de influência direta da UHE Jirau.","BRA:Cenargen:CEN:0000080372",NA,"Pterandra arborea Ducke"
"6","2014-09-26T00:00:00.000+0000","Instituto Nacional de Pesquisas da Amazônia (INPA)","Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)","255603","Pterandra arborea Ducke","Malpighiaceae","Pterandra","arborea","Ducke","Almeida, R.F. de","2014-02-05T00:00:00.000+0000",NA,"140",NA,"Mike Hopkins",2009,10,7,"Brazil","Amazonas",NA,"Base petrolífera do Urucu.",-65.2,-4.899389,NA,"urn:catalog:inpa:herbarium:239906",NA,"Pterandra arborea Ducke"
"7",NA,"UNICAMP","UEC","153129","Pterandra arborea Ducke","Malpighiaceae","Pterandra","arborea","Ducke","Francener, A.","2013-09-01T00:00:00.000+0000",NA,"24",NA,"Silveira, A.L.P.",2007,7,14,"Brazil","Amazonas","Manicoré","Cerrado",0,0,"Árvores com 5,0m. Flores brancas.","BRA:UNICAMP:UEC:0000153129",NA,"Pterandra arborea Ducke"
"8","2014-09-26T00:00:00.000+0000","Instituto Nacional de Pesquisas da Amazônia (INPA)","Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)","230274","Pterandra arborea Ducke","Malpighiaceae","Pterandra","arborea","Ducke","Zartman, C.E.","2006-01-01T00:00:00.000+0000",NA,"6042",NA,"Mike Hopkins",2006,10,20,"Brazil","Amazonas",NA,"Projeto Dinâmica Biológica de Fragmentos Florestais, Km 37",-60.32,-2.75,"Raízes tubulares pequenas e despreendimento em fibras bem finas, casca viva creme, ritidoma marrom escuro. Com flores.","urn:catalog:inpa:herbarium:210459",NA,"Pterandra arborea Ducke"
"9","2014-09-26T00:00:00.000+0000","Instituto Nacional de Pesquisas da Amazônia (INPA)","Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)","218391","Pterandra arborea Ducke","Malpighiaceae","Pterandra","arborea","Ducke",NA,NA,NA,"251",NA,"Mike Hopkins",2004,7,30,"Brazil","Amazonas",NA,"Reserva ZF3, BR 174, Km 63. Floresta primária de platô. Área do Projeto TEAM. Parcela do Km 37, sub-parcela 14, indivíduo nº 311",NA,NA,NA,"urn:catalog:inpa:herbarium:117355",NA,"Pterandra arborea Ducke"
"10",NA,"Instituto de Botânica, IBT","SP","329197","Pterandra arborea Ducke","Malpighiaceae","Pterandra","arborea","Ducke","Mamede, MCH","2000-01-01T00:00:00.000+0000",NA,"21",NA,"Martins, LHP; Brito, JM; Silva, CF",1997,7,4,"Brazil","Amazonas","Manaus","Reserva Florestal Ducke, Manaus - Itacoatiara, Km 26",-59.966667,-2.883333,NA,"BRA:IBt:SP:0000329197",NA,"Pterandra arborea Ducke"
"11",NA,NA,"Botany","U.1367833","Pterandra arborea Ducke","Malpighiaceae","Pterandra","arborea","Ducke","Anderson WR","1998-08-01T00:00:00.000+0000",NA,NA,NA,"Martins LHP; Brito JM de; Silva CF da",1997,7,4,"Brazil","Amazonas",NA,NA,-59.966667,-2.883333,NA,"http://data.biodiversitydata.nl/naturalis/specimen/U.1367833",NA,"Pterandra arborea Ducke"
"13","2014-09-26T00:00:00.000+0000","Instituto Nacional de Pesquisas da Amazônia (INPA)","Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)","189759","Pterandra arborea Ducke","Malpighiaceae","Pterandra","arborea","Ducke","Vicentini, A.","1996-10-01T00:00:00.000+0000",NA,"365",NA,"Mike Hopkins",1996,8,14,"Brazil","Amazonas",NA,"Reserva Florestal Adolfo Ducke, Próximo ao km 0.35 da estrada alojamento-torre.",-59.97,-2.883333,NA,"urn:catalog:inpa:herbarium:10605",NA,"Pterandra arborea Ducke"
"14","2014-04-05T06:07:00.000+0000","MO","MO","2859943","Pterandra arborea Ducke","Malpighiaceae","Pterandra","arborea","Ducke","Vicentini, A. !Anderson, W.R. 08/98 10/96",NA,NA,"Assunção 365",NA,"P. A. Costa Lima Assunção|E. da C. Pereira|C. Fernandes da Silva",1996,8,14,"Brazil","Amazonas",NA,"Reserva Florestal Ducke, Manaus-Itacoatiara, km 26. Próximo ao km 0.35 de estrada alojamento-torre. Floresta de Vertente. Árvore. Tronco acanalado na base com pequenas sapopermas tabulares. ritidoma castanho-escuro despreendendo em pequenas placas irregulares, siliciosas. ao corte casca morta de 2 mm; casca viva de 3 mm vermelho-alaranjada; alburno castanho-claro. 25 m x 28 cm. Solo argiloso. Folhas, pecíolo vermelho-ferruginoso. Nervura principal e secundárias pilosas, ferrugíneas, limbo na face inferior verde-esbranquiçado, na superior verde-escuro com nervuras ferrugíneas.",-59.96666,-2.88333,NA,"urn:catalog:MO:Tropicos:2859943","http://www.tropicos.org/Specimen/2859943","Pterandra arborea Ducke"
"18",NA,"NY","NY","1857115","Pterandra arborea Ducke","Malpighiaceae","Pterandra","arborea","Ducke",NA,NA,NA,"1346",NA,"J. E. L. S. Ribeiro",1994,7,21,"Brazil","Amazonas",NA,"Reserva Florestal Ducke, Manaus-Itacoatira, km 26.",0,0,NA,"de02b07d-7544-4cdd-8e56-7b0e6da0fb92",NA,"Pterandra arborea Ducke"
"19",NA,NA,"Botany","U.1367834","Pterandra arborea Ducke","Malpighiaceae","Pterandra","arborea","Ducke",NA,NA,NA,NA,NA,"Hopkins MJG; Silva CF da",1994,7,27,"Brazil",NA,NA,"Amazonas, reserva Florestal Ducke, manaus-Itacoatriara, km 26.",-59.966667,-2.883333,NA,"http://data.biodiversitydata.nl/naturalis/specimen/U.1367834",NA,"Pterandra arborea Ducke"
"20",NA,"Instituto de Botânica, IBT","SP","285549","Pterandra arborea Ducke","Malpighiaceae","Pterandra","arborea","Ducke","Mamede, MCH","2000-01-01T00:00:00.000+0000",NA,"1468",NA,"Hopkins, MJG; Silva, CF",1994,7,27,"Brazil","Amazonas","Manaus","Reserva Florestal Ducke, Manaus - Itacoatiara, Km 26",-59.966667,-2.883333,NA,"BRA:IBt:SP:0000285549",NA,"Pterandra arborea Ducke"
"23","2015-01-24T16:21:00.000+0000","MO","MO","2860387","Pterandra arborea Ducke","Malpighiaceae","Pterandra","arborea","Ducke","Vicentini, A. (!W.R.A. 12/95) 0/0",NA,NA,"Ribeiro 1346",NA,"José Eduardo L. da S. Ribeiro|E. da C. Pereira|C. Fernandes da Silva",1994,7,21,"Brazil","Amazonas",NA,"Reserva Florestal Ducke, Manaus-Itacoatiare, km 26. Floresta de Vertente. Árvore. Solo agiloso, dossel, 18m alt. DAP=30cm. Tronco cilíndrico, base acanalada. Ritidoma marrom-avermelhado, fissurado, frágil, desprendimento em placas retangulares. Casca morta marrom-avermelhada, 3mm espess. Casca viva castanha, não fibrosa, odor suave, 3mm espess. Alburno amarelo.",-59.96666,-2.88333,NA,"urn:catalog:MO:Tropicos:2860387","http://www.tropicos.org/Specimen/2860387","Pterandra arborea Ducke"
"27",NA,"USP","SPF","125633","Pterandra arborea Ducke","Malpighiaceae","Pterandra","arborea","Ducke","Oliveira, AA",NA,NA,"1386",NA,"Oliveira, AA",1993,3,NA,"Brazil","Amazonas","Manaus","Reserva 1501 (km 41) do PDBFF, Distrito Agropecuário, 90 km NNE de Manaus. Projeto Dinâmica Biológica de Fragmentos Florestais. 2º24'26"" - 2º25'31""S, 59º45'40"" - 59º45'50""W. Mata de terra firme.",-59.761111,-2.407222,"Árvore no. 1180. DAP de 24,6 cm. Parcela 29-31. Estéril.","BRA:USP:SPF:0000125633",NA,"Pterandra arborea Ducke"
"28","2014-09-26T00:00:00.000+0000","Instituto Nacional de Pesquisas da Amazônia (INPA)","Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)","171342","Pterandra arborea Ducke","Malpighiaceae","Pterandra","arborea","Ducke","Almeida, R.F. de","2014-02-04T00:00:00.000+0000",NA,"144",NA,"Mike Hopkins",1991,10,11,"Brazil","Amazonas",NA,"Distrito Agropecuário, ZF3, Distrito Agropecuário, 90 Km NNE de Manaus. Reserva nº 1501 (Km 41). Mata de terra firme.",-59.72,-2.4,NA,"urn:catalog:inpa:herbarium:117210",NA,"Pterandra arborea Ducke"
"30","2008-05-27T22:02:00.000+0000","MO","MO","2859688","Pterandra arborea Ducke","Malpighiaceae","Pterandra","arborea","Ducke","M. Timaná & W.R. Anderson","1993-01-01T00:00:00.000+0000",NA,"Oliveira 144",NA,"A.A. Oliveira",1991,10,11,"Brazil","Amazonas",NA,"Distrito Agropecuário, 90 Km NNE de Manaus: Reserva 1501 (KM 41). Projeto Dinâmica Biológica de Fragmentos Florestais, Mata de terra firme.",-59.72777,-2.40722,NA,"urn:catalog:MO:Tropicos:2859688","http://www.tropicos.org/Specimen/2859688","Pterandra arborea Ducke"
"32",NA,"NY","NY","1857120","Pterandra arborea Ducke","Malpighiaceae","Pterandra","arborea","Ducke",NA,NA,NA,"13766",NA,"W. R. Anderson",1990,2,14,"Brazil","Amazonas",NA,"Reserva Florestal Ducke, Km 26. Manaus-Itacoatiara Highway. Near the EstaÃ§Ã£o Meterologica.",-59.928188,-2.95487,NA,"48cb617a-f48e-4716-8c14-2b0e37a90d53",NA,"Pterandra arborea Ducke"
