"","modified","institutionCode","collectionCode","catalogNumber","scientificName","identificationQualifier","family","genus","specificEpithet","infraspecificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLongitude","decimalLatitude","occurrenceRemarks","occurrenceID","bibliographicCitation","acceptedNameUsage"
"1",NA,"UnB","UB","214335","Eriotheca candolleana (K.Schum.) A.Robyns",NA,"Malvaceae","Eriotheca","candolleana",NA,"(K.Schum.) A.Robyns","Faria, JEQ","2015-07-01T00:00:00.000+0000",NA,"4850",NA,"Faria, JEQ; Melo, MS; Rosa, PO; Mendes, VC",2015,7,29,"Brazil","Goiás","Montes Claros de Goiás","Margem da estrada de Ponte Alta para Registro do Araguaia",-51.817778,-15.780833,"Árvore ca. 6 m de altura, botões florais brancos; Cerradão","BRA:UnB:UB:0000214335",NA,"Eriotheca candolleana (K.Schum.) A.Robyns"
"2",NA,"UEFS","HUEFS","195882","Eriotheca candolleana (K.Schum.) A.Robyns",NA,"Malvaceae","Eriotheca","candolleana",NA,"(K.Schum.) A.Robyns",NA,NA,NA,"7535",NA,"Lima, H.C.de",2012,8,8,"Brazil","Espírito Santo","Jaguaré","Reserva Natural Vale. Área MME, na margem da estrada Municipal.",-40.081667,-19.136944,"Mata alta.","BRA:UEFS:HUEFS:0000195882",NA,"Eriotheca candolleana (K.Schum.) A.Robyns"
"3",NA,"Jardim Botânico de Brasília (JBB)","HEPH","27970","Eriotheca candolleana (K.Schum.) A.Robyns",NA,"Malvaceae","Eriotheca","candolleana",NA,"(K.Schum.) A.Robyns","Oliveira, MS","2011-07-01T00:00:00.000+0000",NA,"146",NA,"Vidal, JRB; et al.",2011,7,1,"Brazil","Distrito Federal","Brasília","Estação Ecológica do Jardim Botânico de Brasília, Borda da Mata. Área de recuperação T5/6",0,0,"árvore;; borda da mata","BRA:JBB:HEPH:0000027970",NA,"Eriotheca candolleana (K.Schum.) A.Robyns"
"4",NA,"Instituto Plantarum de Estudos da Flora Ltda (HPL)","HPL","13173","Eriotheca candolleana (K.Schum.) A.Robyns",NA,"Malvaceae","Eriotheca","candolleana",NA,"(K.Schum.) A.Robyns",NA,NA,NA,"217",NA,"T.B. Flores; J.S. Ciqueira; D. Folli.",2009,8,29,"Brazil","Es","Linhares","Reserva Natural Vale. Br-101, beira da estrada km 111.",NA,NA,NA,"BRA:JBP:HPL:0000013173",NA,"Eriotheca candolleana (K.Schum.) A.Robyns"
"5",NA,"Universidade Estadual de Londrina, UEL","FUEL","46297","Eriotheca candolleana (K.Schum.) A.Robyns",NA,"Malvaceae","Eriotheca","candolleana",NA,"(K.Schum.) A.Robyns","Miranda, AM","2008-08-01T00:00:00.000+0000",NA,"5787",NA,"Miranda, AM; Ferraz, J; Silva, C",2008,7,22,"Brazil","Bahia","São Desidério","Remanso Grande, cerrado",0,0,"Árvore ca. 8m alt.; caule acinzentado; folhas crassas; flores com cálice verde, corola branca.","BRA:UEL:FUEL:0000046297",NA,"Eriotheca candolleana (K.Schum.) A.Robyns"
"6",NA,"Universidade Federal Rural de Pernambuco, UFRPE","HST","15720","Eriotheca candolleana (K.Schum.) A.Robyns",NA,"Malvaceae","Eriotheca","candolleana",NA,"(K.Schum.) A.Robyns","A.M.Miranda","2008-08-01T00:00:00.000+0000",NA,"5787",NA,"A.M.Miranda; J.Ferraz et C.Silva",2008,7,22,"Brazil","Bahia","São Desidério","Remanso Grande",NA,NA,"Árvore ca. 8m alt.; caule acinzentado; folhas crassas; flores com cálice verde, corola branca.","BRA:UFRPE:HST:0000015720",NA,"Eriotheca candolleana (K.Schum.) A.Robyns"
"7",NA,"UESB","HUESB","5240","Eriotheca candolleana (K.Schum.) A.Robyns",NA,"Malvaceae","Eriotheca","candolleana",NA,"(K.Schum.) A.Robyns","Miranda, A.M. de","2008-08-01T00:00:00.000+0000",NA,"5787",NA,"Miranda, A.M. de; et al.; et al.",2008,7,22,"Brazil","Bahia","São Desidério","Remanso Grande",0,0,"Árvore ca. 8m alt.; caule acinzentado. Folhas crassas. Flores com cálice verde, corola branca. ; DE","BRA:UESB:HUESB:0000005240",NA,"Eriotheca candolleana (K.Schum.) A.Robyns"
"8",NA,"Empresa Brasileira de Pesquisa Agropecuária (EMBRAPA)","HTSA","4839","Eriotheca candolleana (K.Schum.) A.Robyns",NA,"Malvaceae","Eriotheca","candolleana",NA,"(K.Schum.) A.Robyns","Carvalho-Sobrinho, J.G.","2011-01-01T00:00:00.000+0000",NA,"1995",NA,"Ferreira, F.M.; Oliveira, R.P.; Silva-Castro, M.M. & Carvalho-Sobrinho, J.G.",2008,9,7,"Brazil","Bahia","Teixeira de Freitas","Br. 101, ca. de 56 km N do trevo da cidade",-39.951944,-17.225833,"Árvore ca. de 5 m. Folhas discolores, face abaxial glauca, botões florais alvos, cálice ferrugíneo e glândulas verdes esbranquiçadas. Flores maduras com pétalas creme amareladas, estames com filetes alvos e anteras amarelas.","BRA:CPATSA:HTSA:0000004839",NA,"Eriotheca candolleana (K.Schum.) A.Robyns"
"9",NA,"USP","SPF","200453","Eriotheca candolleana (K.Schum.) A.Robyns",NA,"Malvaceae","Eriotheca","candolleana",NA,"(K.Schum.) A.Robyns","Serafim, H","2009-01-01T00:00:00.000+0000",NA,"278",NA,"Serafim, H",2008,10,10,"Brazil","São Paulo","São José do Barreiro",NA,-44.656667,-22.642778,NA,"BRA:USP:SPF:0000200453",NA,"Eriotheca candolleana (K.Schum.) A.Robyns"
"10",NA,"UNICAMP","UEC","156613","Eriotheca candolleana (K.Schum.) A.Robyns",NA,"Malvaceae","Eriotheca","candolleana",NA,"(K.Schum.) A.Robyns",NA,NA,NA,"6251",NA,"Mendonça, R.C.; et al.",2008,10,16,"Brazil","Tocantins","Pindorama do Tocantins","Bacia do tocantins. sub-bacia do Rio Balsas.&nf;folhas: SC - 23 -Y -C.&nf;Alt.: 486m.",0,0,"Árvore heliófila, 6m altura e 17cm DAP.&nf;Tronco com casca estriada. folhas cartáceas vilosas com verde-claro. Frutos indeiscentes ferrugíneos. Comum.; Cerradão,, solo arenoso e relevo plano.","BRA:UNICAMP:UEC:0000156613",NA,"Eriotheca candolleana (K.Schum.) A.Robyns"
"11",NA,"IPA","IPA","87062","Eriotheca candolleana (K.Schum.) A.Robyns",NA,"Malvaceae","Eriotheca","candolleana",NA,"(K.Schum.) A.Robyns","Fonseca, M.L.","2009-05-01T00:00:00.000+0000",NA,"6251",NA,"Mendonça, R.C.; Oliveira, F.C.A.; Guimarães, L.L.; Cardoso, E.; Oliveira, F.C.A.; Guimarães, L.L.; Cardoso, E.",2008,10,16,"Brazil","Tocantins","Pindorama do Tocantins","Bacia do Tocantins, Sub-bacia do Rio Balsas.",-47.535833,-11.145,"Árvore heliófila ca. 6m de altura e 17cm DAP. Tronco com casca estriada. Folhas cartáceas vilosas cor verde-claro. Frutos indeiscentes ferrugíneos. Comum.","BRA:IPA:IPA:0000087062",NA,"Eriotheca candolleana (K.Schum.) A.Robyns"
"12","2017-10-19T07:38:19.000+0000","JBRJ","RB","RB00518288","Eriotheca candolleana (K.Schum.) A.Robyns",NA,"Malvaceae","Eriotheca","candolleana",NA,"(K.Schum.) A.Robyns","Fonseca, M.L","2006-08-16T00:00:00.000+0000",NA,"1248",NA,"Oliveira, F.C.A; Fonseca, M.L",2006,8,16,"Brazil","Distrito Federal","Distrito Federal","Reserva Ecológica do IBGE, RA-XVI ( Lago Azul) Bosque artificial em frente ao restaurante da Recor.",-47.877778,-15.947222,"Árvore ca. 5 m alt, x 0,30 m DAP. Casca cor cinza com manchas claras, folhas cartáceas, discolores, cálice ferrugineo, pétalas alvas, estames amarelos. Cultivada","urn:catalog:JBRJ:RB:518288",NA,"Eriotheca candolleana (K.Schum.) A.Robyns"
"13",NA,"IPA","IPA","87068","Eriotheca candolleana (K.Schum.) A.Robyns",NA,"Malvaceae","Eriotheca","candolleana",NA,"(K.Schum.) A.Robyns","Fonseca, M.L.","2006-08-16T00:00:00.000+0000",NA,"1248",NA,"Oliveira, F.C.A.; Fonseca, M.L.; Fonseca, M.L.",2006,8,16,"Brazil","Distrito Federal","Brasília","Reserva Ecológica do IBGE, RA-XVI. (Lago Sul). Bosque artificial em frente ao restaurante da Recor.",-47.877778,-15.947222,"Árvore ca. 5m de altura x 0,30m de DAP. Casca cor cinza com manchas claras; folhas cartáceas, discolores; cálice ferrugíneo; pétalas alvas; estames amarelos. Cultivada.","BRA:IPA:IPA:0000087068",NA,"Eriotheca candolleana (K.Schum.) A.Robyns"
"14",NA,"UEFS","HUEFS","176958","Eriotheca candolleana (K.Schum.) A.Robyns",NA,"Malvaceae","Eriotheca","candolleana",NA,"(K.Schum.) A.Robyns",NA,NA,NA,"7758",NA,"Pereira-Silva, G.",2003,6,6,"Brazil","Goiás","Silvania","Fragmento de mata próximo a fóz do ribeirão Cravo.",-48.376111,-16.315278,NA,"BRA:UEFS:HUEFS:0000176958",NA,"Eriotheca candolleana (K.Schum.) A.Robyns"
"15","2014-07-22T18:36:42.000+0000","JBRJ","RB","RB00059264","Eriotheca candolleana (K.Schum.) A.Robyns",NA,"Malvaceae","Eriotheca","candolleana",NA,"(K.Schum.) A.Robyns","M.G. Bovini",NA,NA,"447",NA,"L.C.S.Assis",2002,2,14,"Brazil","Minas Gerais","Barroso","Mata do Baú.",NA,NA,"Árvore ca. 4m encontrada na borda da mata, folhas dicolores, frutos capsulares com sementes envolvidas por paina. Pouco frequente.","urn:catalog:JBRJ:RB:59264",NA,"Eriotheca candolleana (K.Schum.) A.Robyns"
