"","modified","institutionCode","collectionCode","catalogNumber","scientificName","identificationQualifier","family","genus","specificEpithet","infraspecificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLongitude","decimalLatitude","occurrenceRemarks","acceptedNameUsage","occurrenceID","comments","bibliographicCitation"
"1","","","BHCB","131113","Mouriri brachyanthera Ducke","","Melastomataceae","Mouriri","brachyanthera","","Ducke","","","","672","","Silva, LVC; Sobral, M; Troncoso, C; Garcia, L; Maciel, GM","2008","10","7","brazil","Pará","Parauapebas","Estrada Núcleo - Serra Sul","-50.336944","-6.297222","","Mouriri brachyanthera Ducke","","original coordinates","GBIF"
"2","","","RB","RB00739740","Mouriri brachyanthera Ducke","","Melastomataceae","Mouriri","brachyanthera","","Ducke","N.A. Rosa","1997-06-17","","","","D.R.L. Leonaldo","1997","3","11","brazil","Rondônia","Primavera de Rondônia","","-61.314705","-11.878203","Flor","Mouriri brachyanthera Ducke","","centroide mpo","GBIF"
"3","","","CEN","22776","Mouriri brachyanthera Ducke","","Melastomataceae","Mouriri","brachyanthera","","Ducke","S. A. C. Chiea","","","2771","","Bruno Machado Teles Walter","1995","10","8","brazil","Go","CAMPINACU","Estrada que vai da fazenda Praia Grande (córrego Praia Grande) à Campinaçu e passa na entrada da fazenda Palmeiras do Maranhão.","-48.41667","-13.93333","Corola internamente branca. Área de influência do AHE Serra da Mesa.","Mouriri brachyanthera Ducke","","original coordinates","GBIF"
"4","","","SP","315304","Mouriri brachyanthera Ducke","","Melastomataceae","Mouriri","brachyanthera","","Ducke","Chiea, SAC","1998-01-01","","2771","","Walter, BMT; Assis, MC; Nunes, RV; Litt, A","1995","10","8","brazil","Goiás","Campinaçu","Estrada que vai da Faz. Praia Grande (Cor. P. Grande)/ Campinaçu e passa na entrada da Faz. Palmeiras do Maranhão. Área de influência do AHE Serra da Mesa","-48.416667","-13.933333","","Mouriri brachyanthera Ducke","","original coordinates","GBIF"
"5","","","SP","263311","Mouriri brachyanthera Ducke","","Melastomataceae","Mouriri","brachyanthera","","Ducke","Chiea, SAC","","","2409","","Pereira, BAS","1992","10","15","brazil","Distrito Federal","Brasília","APA da Cafuringa, Fazenda Palestina","-47.797394","-15.780212","","Mouriri brachyanthera Ducke","","centroide mpo (0)","GBIF"
"6","","","RB","RB00240535","Mouriri brachyanthera Ducke","","Melastomataceae","Mouriri","brachyanthera","","Ducke","J. F. A. Baumgratz","1987-01-01","","190","","M. M. Santos; Et al","1986","11","27","brazil","Pará","Marabá","Próx. a Brejo Meio.","-49.516667","-5.466667","Fanerófita com 8m alt. Folha oposta. Botão rosa. Frequência fraca.","Mouriri brachyanthera Ducke","","original coordinates","GBIF"
"7","","","NY","1290252","Mouriri brachyanthera Ducke","","Melastomataceae","Mouriri","brachyanthera","","Ducke","","","","1012","","O. C. Nascimento","1985","1","28","brazil","ParÃ¡","","Serra dos CarajÃ¡s, prÃ³ximo ao viveiro.","","","","Mouriri brachyanthera Ducke","","","GBIF"
"8","","","Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)","131751","Mouriri brachyanthera Ducke","","Melastomataceae","Mouriri","brachyanthera","","Ducke","Rosário, C.S.","1983-01-01","","305","","Carreira, LMM","1983","1","27","brazil","Rondônia","","Porto Velho, Guajará - Mirim, 8 linha do Yata","","","","Mouriri brachyanthera Ducke","","","GBIF"
"9","","","NY","1290258","Mouriri brachyanthera Ducke","","Melastomataceae","Mouriri","brachyanthera","","Ducke","","","","16226","","S. A. Mori","1983","9","17","brazil","AmapÃ¡","","Camaipi. EMBRAPA reserve and vicinity","-51.62","0.17","","Mouriri brachyanthera Ducke","","original coordinates","GBIF"
"10","","","Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)","158610","Mouriri brachyanthera Ducke","","Melastomataceae","Mouriri","brachyanthera","","Ducke","Silva, N.T. da","","","5323","","Silva, NT da","1983","10","20","brazil","Pará","","Amapá, aréa do Felipe V","","","","Mouriri brachyanthera Ducke","","","GBIF"
