"","modified","institutionCode","collectionCode","catalogNumber","scientificName","identificationQualifier","family","genus","specificEpithet","infraspecificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLongitude","decimalLatitude","occurrenceRemarks","occurrenceID","comments","bibliographicCitation","acceptedNameUsage"
"1","","","ALCB","126363","Ficus bahiensis C.C.Berg & Carauta","","Moraceae","Ficus","bahiensis","","C.C.Berg & Carauta","Guedes, ML","2017-01-01","","25075","","Guedes, ML; Barbosa, MCF; Sales, EF; Teixeira, Lde J","2016","10","20","brazil","Bahia","Lauro de Freitas","UNIDUNAS, parcela nº3.","-38.318333","-12.92","látex leitoso. Folhas cartáceas, discolores. Inflorescência axilar, sincônio.","","original coordinates","GBIF","Ficus bahiensis C.C.Berg & Carauta"
"2","","","HUEFS","213609","Ficus bahiensis C.C.Berg & Carauta","","Moraceae","Ficus","bahiensis","","C.C.Berg & Carauta","","","","940","","Marinho, L.C.","2015","1","10","brazil","Bahia","Mata de São João","Condomínio particular Quintas de Sauípe, ambiente antropizado com manchas de vegetação de restinga.","-37.783333","-12.166667","","","original coordinates","GBIF","Ficus bahiensis C.C.Berg & Carauta"
"3","","","RB","RB01147422","Ficus bahiensis C.C.Berg & Carauta","","Moraceae","Ficus","bahiensis","","C.C.Berg & Carauta","L.C. Pederneiras","2017-03-30","","1819","","J.L. Costa-Lima; F.M.S. Sena; J.S. Oliveira","2014","9","23","brazil","Paraíba","Triunfo","Nas proximidades do olho d´água do Sítio Gamela, ca. 1 Km a NW da sede municipal.","-38.610278","-6.558611","","","original coordinates","GBIF","Ficus bahiensis C.C.Berg & Carauta"
"4","","","RB","RB01357211","Ficus bahiensis C.C.Berg & Carauta","","Moraceae","Ficus","bahiensis","","C.C.Berg & Carauta","L. Daneu","2015-11-11","","128","","Paulino, R. C.","2014","12","3","brazil","Bahia","Belmonte","Conglomerado BA_1381-2-1-1","-39.060278","-16.200278","Árvore, exsudado observado, tipo látex, cor branco. Casca externa marrom e fina, casca interna verde, tipo áspera, desprendimento: mão informado, com odor. Flor verde. Frutos carnosos, forma arredondada, cor externa verde, consistência em arilo","","original coordinates","GBIF","Ficus bahiensis C.C.Berg & Carauta"
"5","","","ASE","23186","Ficus bahiensis C.C.Berg & Carauta","","Moraceae","Ficus","bahiensis","","C.C.Berg & Carauta","Déda, RM","2012-05-01","","102","","Déda, RM; Amorim, BS; Chagas, MA; Costa-Lima, JL; Lourenço, AR; Santos, E","2012","4","16","brazil","Sergipe","Santa Luzia do Itanhy","RPPN Mata do Crasto","-37.440611","-11.406611","Árvore com ca. de 7m. Com frutos amarelos quando maduros e verdes quando imaturos. Com látex branco.; Árvore com ca. de 7m. Com frutos amarelos quando maduros e verdes quando imaturos. Com látex branco.; Mata Atlântica.","","original coordinates","GBIF","Ficus bahiensis C.C.Berg & Carauta"
"6","","","ALCB","98582","Ficus bahiensis C.C.Berg & Carauta","","Moraceae","Ficus","bahiensis","","C.C.Berg & Carauta","Gomes, FS","2011-11-01","","676","","Gomes, FS; Guedes, ML; Costa, AS","2011","1","25","brazil","Bahia","Jandaíra","Litoral Norte, Caminho para Costa Azul","-37.546944","-11.677778","ca. 12 m alt. Látex branco. Folhas coriáceas, discolores. Sincônios verdes.; arbustivo-arbórea.","","original coordinates","GBIF","Ficus bahiensis C.C.Berg & Carauta"
"7","","","CVRD","13402","Ficus bahiensis C.C.Berg & Carauta","","Moraceae","Ficus","bahiensis","","C.C.Berg & Carauta","Geovane S. Siqueira","2011-06-07","","6773","","Folli, D.A.","2011","3","30","brazil","Ba","BELMONTE","","-39.17731","-16.123559","<ll>dwc_commonname:</ll> Gameleira vermelha","","original coordinates","GBIF","Ficus bahiensis C.C.Berg & Carauta"
"8","","","RB","RB00717797","Ficus bahiensis C.C.Berg & Carauta","","Moraceae","Ficus","bahiensis","","C.C.Berg & Carauta","G.S. Siqueira","","","6773","","D.A. Folli","2011","3","30","brazil","Bahia","Belmonte","","-39.185654","-15.936505","Arbóreo. terrestre. Flor e botão sincôrnios verde. Exsudação seiva, branca. descamação ausente. Fuste cilindrico de 6m de altura e Cap 28 cm. Copa 1 m diâmetro.","","centroide mpo","GBIF","Ficus bahiensis C.C.Berg & Carauta"
"9","","","HUEFS","175489","Ficus bahiensis C.C.Berg & Carauta","","Moraceae","Ficus","bahiensis","","C.C.Berg & Carauta","","","","904","","Popovkin, A.V.","2011","7","20","brazil","Bahia","Entre Rios","Imbé.","-38","-12.05","Atlantic Forest.","","original coordinates","GBIF","Ficus bahiensis C.C.Berg & Carauta"
"10","","","HUEFS","180585","Ficus bahiensis C.C.Berg & Carauta","","Moraceae","Ficus","bahiensis","","C.C.Berg & Carauta","","","","256","","Matos, E.N.de","2011","7","26","brazil","Bahia","Jandaíra","Fazenda LUZOMAR.","-49.463333","-11.565556","Floresta","","original coordinates","GBIF","Ficus bahiensis C.C.Berg & Carauta"
"11","","","RB","RB00729477","Ficus bahiensis C.C.Berg & Carauta","","Moraceae","Ficus","bahiensis","","C.C.Berg & Carauta","A.F.P.Machado","2015-10-21","","256","","L.A. Gomes; R.M. Deda; E. Santos","2011","11","11","brazil","Sergipe","Santa Luzia do Itanhy","RPPN Mata do Crastro.","-37.440556","-11.41","Árvore com ca. 8m. Frutos imaturos verde amarelados e maturos vermelhos. Possui látex branco.","","original coordinates","GBIF","Ficus bahiensis C.C.Berg & Carauta"
"12","","","HUEFS","188792","Ficus bahiensis C.C.Berg & Carauta","","Moraceae","Ficus","bahiensis","","C.C.Berg & Carauta","","","","2935","","Matos, E.N.de","2011","11","30","brazil","Bahia","Jandaira","Abadia-Fazenda Areia Branca","-37.481667","-11.543333","Restinga. Floresta.","","original coordinates","GBIF","Ficus bahiensis C.C.Berg & Carauta"
"13","","","HUEFS","189332","Ficus bahiensis C.C.Berg & Carauta","","Moraceae","Ficus","bahiensis","","C.C.Berg & Carauta","A.F.P.Machado","2013-02-01","","26","","Pereira, R.C.A.","2011","12","3","brazil","Bahia","Itacaré","Campo Cheiroso. Rodovia Ilhéus-Itacaré, Km 46.","-39.039167","-14.386389","Floresta Ombrófila Densa.","","original coordinates","GBIF","Ficus bahiensis C.C.Berg & Carauta"
"14","","","HUEFS","162712","Ficus bahiensis C.C.Berg & Carauta","","Moraceae","Ficus","bahiensis","","C.C.Berg & Carauta","","","","955","","Machado, A.F.P.","2010","5","3","brazil","Bahia","Santa Cruz Cabrália","Coroa Vermelha.","-39.203176","-16.228954","","","centroide mpo","GBIF","Ficus bahiensis C.C.Berg & Carauta"
"15","","","HUEFS","163085","Ficus bahiensis C.C.Berg & Carauta","","Moraceae","Ficus","bahiensis","","C.C.Berg & Carauta","","","","979","","Machado, A.F.P.","2010","7","31","brazil","Bahia","Salvador","Arredores da Lagoa do Abaeté","-38.51033","-12.871185","","","centroide mpo","GBIF","Ficus bahiensis C.C.Berg & Carauta"
