"","modified","institutionCode","collectionCode","catalogNumber","scientificName","family","genus","specificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","recordNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLongitude","decimalLatitude","occurrenceRemarks","occurrenceID","bibliographicCitation","acceptedNameUsage","identificationQualifier","infraspecificEpithet","typeStatus","fieldNumber","comments"
"1",NA,"UEFS","HUEFS","223502","Ficus bonijesulapensis R.M.Castro","Moraceae","Ficus","bonijesulapensis","R.M.Castro",NA,NA,"2398","Costa-Lima, J.L.",2016,6,23,"Brazil","Bahia","Caetité","Distrito de Tanque dos Padres, localidade com afloramento calcário conhecida como ""Tanques"", ca. de 10 Km a E da rodovia BA-156, passando pelo Distrito de Jatobá (Mun. Igaporã/BA).",-42.526111,-13.764444,"Afloramento calcário. Área de tensão ecológica CaatingaCerrado, com maior frequência de elementos comuns do semiárido.","BRA:UEFS:HUEFS:0000223502",NA,"Ficus bonijesulapensis R.M.Castro",NA,NA,NA,NA,NA
"2","2017-10-15T13:54:43.000+0000","JBRJ","RB","RB01181678","Ficus bonijesulapensis R.M.Castro","Moraceae","Ficus","bonijesulapensis","R.M.Castro","L.C. Pederneiras","2017-03-31T00:00:00.000+0000","16074","L.P. de Queiroz",2014,10,30,"Brazil","Bahia","Morro do Chapéu","Lajes, 0,6-1,2 km S da BA, ca 21 km W de Morro do Chapéu na BA-052 (""Estrada do Feijão).",-41.331944,-11.495,NA,"urn:catalog:JBRJ:RB:1181678",NA,"Ficus bonijesulapensis R.M.Castro",NA,NA,NA,NA,NA
"3",NA,"UFV","VIC","36134","Ficus bonijesulapensis R.M.Castro","Moraceae","Ficus","bonijesulapensis","R.M.Castro",NA,NA,"320","Souza, P.P. de",2012,6,2,"Brazil","Minas Gerais","Montes Claros","Estrada de Montes Claros para Januária",0,0,"Àrvore com 6m de altura, se desenvolvendo na fissura dos afloramentos de calcário, tronco de coloração gris, verde claro a levemente bruno, com esfoliação do tronco, sicônios jovens externamente arroxeados a vináceos, tornando-se porte","BRA:UFV:VIC:0000036134",NA,"Ficus bonijesulapensis R.M.Castro",NA,NA,NA,NA,NA
"4",NA,"UEFS","HUEFS","171504","Ficus bonijesulapensis R.M.Castro","Moraceae","Ficus","bonijesulapensis","R.M.Castro","A.F.P.Machado","2012-01-01T00:00:00.000+0000","3565","Pereira, B.A.S.",2009,7,24,"Brazil","Goiás","Nova Roma","Bacia do rio Tocantins. Estrada de terra Teresina de Goiás/Nova Roma, passando pelo povoado de Aboboreira.",-46.76,-13.759444,"Transição de floresta estacional para cerrado.","BRA:UEFS:HUEFS:0000171504",NA,"Ficus bonijesulapensis R.M.Castro",NA,NA,NA,NA,NA
"5",NA,"MN","R","212811","Ficus bonijesulapensis R.M.Castro","Moraceae","Ficus","bonijesulapensis","R.M.Castro","Carauta, J.P.P.","2010-08-04T00:00:00.000+0000","1551","Paixão, J.L.",2009,9,26,"Brazil","Bahia","Caetité",NA,-42.2725,-13.840833,NA,"BRA:MN:R:0000212811",NA,"Ficus bonijesulapensis R.M.Castro",NA,NA,NA,NA,NA
"6",NA,"UEFS","HUEFS","161218","Ficus bonijesulapensis R.M.Castro","Moraceae","Ficus","bonijesulapensis","R.M.Castro","A.F.P.Machado","2015-10-01T00:00:00.000+0000","504","Correia, C.",2009,9,16,"Brazil","Bahia","Brumado","Distrito de Itaguaraí. Faz. Canal.",NA,NA,"Biera de uma lagoa em cima de um lajedo.","BRA:UEFS:HUEFS:0000161218",NA,"Ficus bonijesulapensis R.M.Castro",NA,NA,NA,NA,NA
"7",NA,"UEFS","HUEFS","177538","Ficus bonijesulapensis R.M.Castro","Moraceae","Ficus","bonijesulapensis","R.M.Castro","A.F.P.Machado","2015-10-01T00:00:00.000+0000","404","Dambrós, L.A.",2009,10,2,"Brazil","Goiás","Sítio D'Abadia","Estrada Alvorada - Sítio da Abadia.",-46.332222,-14.538611,"Floresta Estacional Decidual.","BRA:UEFS:HUEFS:0000177538",NA,"Ficus bonijesulapensis R.M.Castro",NA,NA,NA,NA,NA
"8",NA,"UEFS","HUEFS","177565","Ficus bonijesulapensis R.M.Castro","Moraceae","Ficus","bonijesulapensis","R.M.Castro","A.F.P.Machado","2013-02-01T00:00:00.000+0000","3656","Pereira, B.A.S.",2009,11,30,"Brazil","Goiás","Divinópolis de Goiás","Vale do rio Paranã, tributário da bacia do Tocantins. Margem direita da estrada que liga Divinópolis ao povoado de Vazante.",-46.428056,-13.301944,"Fragmento de floresta estacional decídua em afloramento de calcário.","BRA:UEFS:HUEFS:0000177565",NA,"Ficus bonijesulapensis R.M.Castro",NA,NA,NA,NA,NA
"9",NA,"UEFS","HUEFS","139705","Ficus bonijesulapensis R.M.Castro","Moraceae","Ficus","bonijesulapensis","R.M.Castro","A.F.P.Machado","2011-11-01T00:00:00.000+0000","1476","Rapini, A.",2008,1,11,"Brazil","Bahia","Carinhanha","Rumo novo, próximo ao Olho d#?#Água em direção à Alagoinhas",-43.958611,-13.788889,"Afloramento calcário.","BRA:UEFS:HUEFS:0000139705",NA,"Ficus bonijesulapensis R.M.Castro",NA,NA,NA,NA,NA
"10",NA,"UEFS","HUEFS","118233","Ficus bonijesulapensis R.M.Castro","Moraceae","Ficus","bonijesulapensis","R.M.Castro","R.M.Santos","2007-05-01T00:00:00.000+0000","12736","Queiroz, L.P.de",2007,4,10,"Brazil","Bahia","Coribe","Ca, 5 Km S em estrada de terra que cruza pequeno ramal que sai a 5.1 km E de Ponto d'água, a 24,4 Km S de São Félix do Coribe na estrada para Coribe.",-44.32,-13.586111,"Floresta estacional.","BRA:UEFS:HUEFS:0000118233",NA,"Ficus bonijesulapensis R.M.Castro",NA,NA,NA,NA,NA
