"","modified","institutionCode","collectionCode","catalogNumber","scientificName","identificationQualifier","family","genus","specificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLongitude","decimalLatitude","occurrenceRemarks","occurrenceID","bibliographicCitation","acceptedNameUsage","infraspecificEpithet","comments"
"1",NA,"Cenargen","CEN","86301","Virola urbaniana Warb.",NA,"Myristicaceae","Virola","urbaniana","Warb.","B. M. T. Walter",NA,NA,"158",NA,"Alba Cordeiro",2012,7,4,"Brazil","Df","BRASILIA","Planaltina - Sítio do Sr. Cupertino.",NA,NA,"Ramos com flor. Doação","BRA:Cenargen:CEN:0000086301",NA,"Virola urbaniana Warb.",NA,NA
"2",NA,"UNITINS","HUTO","5097","Virola urbaniana Warb.",NA,"Myristicaceae","Virola","urbaniana","Warb.","Fernandes, M.H.","2013-01-01T00:00:00.000+0000",NA,"237",NA,"Fernandes, M.H.",2012,8,21,"Brazil","Distrito Federal","Brasília","Fazenda Santa Cecília. Núcleo Rural Rajadinha II. Relevo levemente inclinado. Solo argiloso com presença de serrapilheira",-47.640833,-15.764722,"Árvore com cerca de 15 m de altura. Frutos imaturos verdes. Folhas discolores, face adaxial verde brilhante, abacial ferrugínea; Mata de galeria trecho não inundável","BRA:UNITINS:HUTO:0000005097",NA,"Virola urbaniana Warb.",NA,NA
"4",NA,"Cenargen","CEN","83623","Virola urbaniana Warb.",NA,"Myristicaceae","Virola","urbaniana","Warb.","M. H. Fernandes",NA,NA,"237",NA,"Márcio Honorato Fernandes",2012,8,21,"Brazil","Df","BRASILIA","Fazenda Santa Cecíia. Núcleo Rural Rajadinha II.",-47.640833,-15.764722,"Folhas discolores. Face adaxial verde brilhante, abaxial ferrugínea.","BRA:Cenargen:CEN:0000083623",NA,"Virola urbaniana Warb.",NA,NA
"6",NA,"UnB","UB","160057","Virola urbaniana Warb.",NA,"Myristicaceae","Virola","urbaniana","Warb.","Junqueira, DI","2009-08-14T00:00:00.000+0000",NA,"550",NA,"Junqueira, DI",2009,8,14,"Brazil","Goiás","Caldas Novas","Parque Estadual Serra de Caldas Novas",0,0,"Árvore 14m. Flor verde.; Mata de galeria","BRA:UnB:UB:0000160057",NA,"Virola urbaniana Warb.",NA,NA
"7",NA,"UnB","UB","120300","Virola urbaniana Warb.",NA,"Myristicaceae","Virola","urbaniana","Warb.","Miranda, SC",NA,NA,"1157",NA,"Miranda, SC; Carvalho, PS; Silva Júnior, MC",2008,9,7,"Brazil","Goiás","Alto Paraíso de Goiás","Estrada para São Jorge - GO",0,0,"árvore 9 m, flor masculina abertas, flores verdes; cerrado sentido restrito","BRA:UnB:UB:0000120300",NA,"Virola urbaniana Warb.",NA,NA
"8",NA,"Cenargen","CEN","37833","Virola urbaniana Warb.",NA,"Myristicaceae","Virola","urbaniana","Warb.","A. A. Santos",NA,NA,"876",NA,"Aécio Amaral-Santos",2001,2,7,"Brazil","Df","BRASILIA","DF - 130, Núcleo Rural Rajdinha, km 15 sentido BsB - Unaí.",NA,NA,"Cálice vinho, anteras creme.","BRA:Cenargen:CEN:0000037833",NA,"Virola urbaniana Warb.",NA,NA
"9",NA,"UFG","UFG","25586","Virola urbaniana Warb.",NA,"Myristicaceae","Virola","urbaniana","Warb.","Santos, A.A.","2001-01-01T00:00:00.000+0000",NA,"876",NA,"Santos, A.A.",2001,2,7,"Brazil","Distrito Federal","Brasília","DF-130, Núcleo Rural Rajadinha, km 15 sentido BsB-Unaí-MG. Mata de galeria inundável. Relevo plano.",0,0,"Árvore de 12m de altura, fruto verde. Ocasional no local.","BRA:UFG:UFG:0000025586",NA,"Virola urbaniana Warb.",NA,NA
"10","2017-10-13T15:32:43.000+0000","JBRJ","RB","RB00234037","Virola urbaniana Warb.",NA,"Myristicaceae","Virola","urbaniana","Warb.","B.M.T.WALTER",NA,NA,"4957",NA,"B.M.T.WALTER; R.C.MENDONÇA, M.L.FONSECA & E.CARDOSO.",2001,12,10,"Brazil","Bahia","Cocos","FAZ. TRIJUNCÃO. ESTRADA DA SEDE ADMINISTRATIVA PARA A SEDE DO GUARÁ. ESTRADA LADEADA POR GRANDES VEREDAS.",-45.851111,-14.689167,"ÁRVORE DE 8 M , FRUTOS IMATUROS VERDES, FOLHAS DISCOLORES, DE TONS VERDE-AMARRONZADOS, EM OUTROS PONTOS DA MATA E OUTRAS MASTAS SIMILIARES, A ÉSPECIE APRESENTA INDIVIDUOS DE GRANDE PORTE COM MAIS DE 20 M DE ALT. ESPÉCIE FREQUENTE.","urn:catalog:JBRJ:RB:234037",NA,"Virola urbaniana Warb.",NA,NA
"11",NA,"Cenargen","CEN","41821","Virola urbaniana Warb.",NA,"Myristicaceae","Virola","urbaniana","Warb.","B. M. T. Walter",NA,NA,"4957",NA,"Bruno Machado Teles Walter",2001,12,12,"Brazil","Ba","COCOS","Fazendas Trijunção, estrada da sede administrativa para a sede do Guará, estrada ladeada por grandes veredas.",-45.85111,-14.68917,"Folhas discolores de tons verde-amarronzados. Em outros pontos da mata e outras matas similares, a espécie apresenta indivíduos de grande porte, com mias de 20 m de altura. Doação do Herbário do IBGE","BRA:Cenargen:CEN:0000041821",NA,"Virola urbaniana Warb.",NA,NA
"13",NA,"UnB","UB","34140","Virola urbaniana Warb.",NA,"Myristicaceae","Virola","urbaniana","Warb.","Ratter, JA",NA,NA,"232",NA,"Marimon, BS",1999,3,NA,"Brazil","Mato Grosso","Nova Xavantina","Nova Xavantina",-52.359444,-14.72,NA,"BRA:UnB:UB:0000034140",NA,"Virola urbaniana Warb.",NA,NA
"14",NA,"MBM","MBM","267967","Virola urbaniana Warb.",NA,"Myristicaceae","Virola","urbaniana","Warb.","Ramos, AE",NA,NA,"1432",NA,"Ramos, AE; et al.",1999,8,30,"Brazil","Distrito Federal",NA,"Córrego Cabeça de Veado, Brasília",0,0,"= 264428","BRA:MBM:MBM:0000267967",NA,"Virola urbaniana Warb.",NA,NA
"16","2017-10-18T13:22:32.000+0000","JBRJ","RB","RB00594532","Virola urbaniana Warb.",NA,"Myristicaceae","Virola","urbaniana","Warb.","A. E. Ramos","1999-08-30T00:00:00.000+0000",NA,"1434",NA,"A. E. Ramos; Et al.",1999,8,30,"Brazil","Distrito Federal","Brasília","APA Cabeça de Veado, córrego Mata Gado. Área do estuário.",-47.866667,-15.083333,"Árvore 20 m. Flor verde-marrom. Florais marrons.","urn:catalog:JBRJ:RB:594532",NA,"Virola urbaniana Warb.",NA,NA
"20",NA,"Cenargen","CEN","65718","Virola urbaniana Warb.",NA,"Myristicaceae","Virola","urbaniana","Warb.","A. A. Santos",NA,NA,"450",NA,"Aécio Amaral-Santos",1999,9,1,"Brazil","Go","URUACU","Rodovia GO 237, cerca de 2 km após o posto da Pol. Militar Rodoviária, sentido Uruaçú - Niquelândia.",-49.0725,-14.54167,"Área de influência da UHE Serra da Mesa. Botões florais creme.","BRA:Cenargen:CEN:0000065718",NA,"Virola urbaniana Warb.",NA,NA
"21",NA,"UnB","UB","34141","Virola urbaniana Warb.",NA,"Myristicaceae","Virola","urbaniana","Warb.","Ratter, JA",NA,NA,"ES106",NA,"Lima, ES",1997,8,NA,"Brazil","Mato Grosso","Nova Xavantina","Nova Xavantina",-52.35,-14.666667,NA,"BRA:UnB:UB:0000034141",NA,"Virola urbaniana Warb.",NA,NA
"23","2009-06-17T13:36:00.000+0000","MO","MO","100195664","Virola urbaniana Warb.","cf.","Myristicaceae","Virola","urbaniana","Warb.","B.M.T. Walter","1996-01-01T00:00:00.000+0000",NA,"Walter 3404",NA,"B.M.T. Walter",1996,8,19,"Brazil","Goiás",NA,"Estrada Minaçu - Serra da Mesa, cerca de 250 km de Minaçu, à direita.",-48.293055,-13.708056,NA,"urn:catalog:MO:Tropicos:100195664","http://www.tropicos.org/Specimen/100195664","Virola urbaniana Warb.",NA,NA
