"","modified","institutionCode","collectionCode","catalogNumber","scientificName","family","genus","specificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLongitude","decimalLatitude","occurrenceRemarks","occurrenceID","bibliographicCitation","acceptedNameUsage","identificationQualifier","infraspecificEpithet","comments"
"1",NA,"F","Botany","V0177181F","Tetrastylidium engleri Schwacke","Strombosiaceae","Tetrastylidium","engleri","Schwacke",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Peru",NA,NA,NA,-74.14,-9.1839,NA,"44e71d09-d48a-4328-abc0-afef7dfcd56d",NA,"Tetrastylidium engleri Schwacke",NA,NA,NA
"2",NA,"F","Botany","V0177167F","Tetrastylidium grandifolium Sleumer","Strombosiaceae","Tetrastylidium","grandifolium","Sleumer",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Brazil",NA,NA,NA,-52.8731,-10.8339,NA,"e75f8c44-055f-4b40-9fc3-147f3aec42e4",NA,"Tetrastylidium grandifolium Sleumer",NA,NA,NA
"3",NA,"ULM","Herbarium University Ulm","22435","Tetrastylidium grandifolium Sleumer","Strombosiaceae","Tetrastylidium","grandifolium","Sleumer","S.F. Smith",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tetrastylidium grandifolium Sleumer",NA,NA,NA
"4",NA,"AK","AK","AK225742","Tetrastylidium grandifolium Sleumer","Strombosiaceae","Tetrastylidium","grandifolium","Sleumer",NA,NA,NA,"G Hatschbach 18184",NA,NA,NA,NA,NA,"New Zealand",NA,NA,NA,NA,NA,NA,"3e2c4c61-8d57-46cf-967a-853302fcda8b",NA,"Tetrastylidium grandifolium Sleumer",NA,NA,NA
"5",NA,"F","Botany","V0177166F","Tetrastylidium grandifolium Sleumer","Strombosiaceae","Tetrastylidium","grandifolium","Sleumer",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Brazil",NA,NA,NA,-52.8731,-10.8339,NA,"0928b2f6-be54-41e4-9618-587a1ff45017",NA,"Tetrastylidium grandifolium Sleumer",NA,NA,NA
"6",NA,"F","Botany","V0177180F","Tetrastylidium engleri Schwacke","Strombosiaceae","Tetrastylidium","engleri","Schwacke",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Peru",NA,NA,NA,-74.14,-9.1839,NA,"56ad5e2e-e459-481a-a30a-39295b971f66",NA,"Tetrastylidium engleri Schwacke",NA,NA,NA
"7",NA,"ULM","Herbarium University Ulm","7237","Tetrastylidium grandifolium Sleumer","Strombosiaceae","Tetrastylidium","grandifolium","Sleumer",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tetrastylidium grandifolium Sleumer",NA,NA,NA
"8",NA,"MBM","Museu Botanico Municipal Curritiba, Brasilia","22434","Tetrastylidium grandifolium Sleumer","Strombosiaceae","Tetrastylidium","grandifolium","Sleumer","S.F. Smith",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tetrastylidium grandifolium Sleumer",NA,NA,NA
"9",NA,NA,"Botany","U.1453757","Tetrastylidium janeirense Kuhlm.","Strombosiaceae","Tetrastylidium","janeirense","Kuhlm.",NA,NA,NA,NA,NA,"Duarte AP",1959,6,22,"unknown or invalid",NA,NA,"D.F. Sumaré, km 6.",NA,NA,NA,"http://data.biodiversitydata.nl/naturalis/specimen/U.1453757",NA,"Tetrastylidium janeirense Kuhlm.",NA,NA,NA
"10",NA,"MBM","MBM","141601","Tetrastylidium engleri Schwacke","Strombosiaceae","Tetrastylidium","engleri","Schwacke","McDaniel, S",NA,NA,"8031",NA,"Rimachi, M Y",NA,NA,NA,"Peru",NA,NA,NA,0,0,NA,"BRA:MBM:MBM:0000141601",NA,"Tetrastylidium engleri Schwacke",NA,NA,NA
"11",NA,"USP","SPFW","323","Tetrastylidium engleri Schwacke","Strombosiaceae","Tetrastylidium","engleri","Schwacke",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Brazil","São Paulo","São Paulo","Reserva Florestal ""Carlos Botelho"", Instituto Florestal de SP",NA,NA,NA,"BRA:USP:SPFW:0000000323",NA,"Tetrastylidium engleri Schwacke",NA,NA,NA
