"","modified","institutionCode","collectionCode","catalogNumber","scientificName","identificationQualifier","family","genus","specificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLongitude","decimalLatitude","occurrenceRemarks","occurrenceID","bibliographicCitation","acceptedNameUsage"
"1",NA,"UNEMAT","HERBAM","11955","Quiina negrensis A.C.Sm.",NA,"Quiinaceae","Quiina","negrensis","A.C.Sm.","Koch, AK; JB","2016-06-30T00:00:00.000+0000",NA,"60",NA,"Bruno, J; Zanin, H",2016,6,28,"Brazil","Pará","Jacareacanga","UHE São Manoel - ME",-56.850833,-9.244167,"Flora UHE São Manoel - FAESPE- HERBAM","BRA:UNEMAT:HERBAM:0000011955",NA,"Quiina negrensis A.C.Sm."
"2",NA,"UNEMAT","HERBAM","14626","Quiina negrensis A.C.Sm.",NA,"Quiinaceae","Quiina","negrensis","A.C.Sm.",NA,NA,NA,"46",NA,"Spletozer, A G; Santos, L G; Santos, E A; Rodrigues, L; Oliveira, O F; Oliveira, E E;",2014,1,16,"Brazil","Mato Grosso","Alta Floresta","Fragmento II, Terra firme.",-56.060583,-9.948889,"Projeto Fragmentos","BRA:UNEMAT:HERBAM:0000014626",NA,"Quiina negrensis A.C.Sm."
"3","2014-09-26T00:00:00.000+0000","Instituto Nacional de Pesquisas da Amazônia (INPA)","Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)","256879","Quiina negrensis A.C.Sm.",NA,"Quiinaceae","Quiina","negrensis","A.C.Sm.","Ramos, J.F.","2013-05-16T00:00:00.000+0000",NA,"3642",NA,"Mike Hopkins",2013,5,2,"Brazil","Pará",NA,"Baixo Tapajós - Vila Canaã, Margem esquerda do Rio Tapajós",-56.86,-5.056111,NA,"urn:catalog:inpa:herbarium:245067",NA,"Quiina negrensis A.C.Sm."
"4",NA,"UNEMAT","HERBAM","14618","Quiina negrensis A.C.Sm.",NA,"Quiinaceae","Quiina","negrensis","A.C.Sm.",NA,NA,NA,"38",NA,"Spletozer, A G; Oliveira, O F; Rodrigues, L; Santos, L G; Santos, C R; Santos, E A;",2013,12,13,"Brazil","Mato Grosso","Alta Floresta","Fragmento III, Terra firme.",-55.998167,-9.886306,"Projeto Fragmentos","BRA:UNEMAT:HERBAM:0000014618",NA,"Quiina negrensis A.C.Sm."
"5",NA,"UNEMAT","HERBAM","7672","Quiina negrensis A.C.Sm.",NA,"Quiinaceae","Quiina","negrensis","A.C.Sm.","Silva, DR","2012-02-11T00:00:00.000+0000",NA,"Roxo 915274",NA,"Soares, CRA; Melo, JAM; Benetti, E; Brito, POS; Moura, VA",2012,2,11,"Brazil","Mato Grosso","Paranaíta","Terra Firme.",-56.781944,-9.357222,"UHE Teles Pires","BRA:UNEMAT:HERBAM:0000007672",NA,"Quiina negrensis A.C.Sm."
"6",NA,"UNEMAT","HERBAM","7844","Quiina negrensis A.C.Sm.",NA,"Quiinaceae","Quiina","negrensis","A.C.Sm.","Piva, JH","2012-03-07T00:00:00.000+0000",NA,"Branco 1185446",NA,"Soares, CRA; Cazine, FF; Damasceno, ASV; Barros, M",2012,3,7,"Brazil","Mato Grosso","Paranaíta","Terra Firme.",-56.794722,-9.348889,"UHE Teles Pires","BRA:UNEMAT:HERBAM:0000007844",NA,"Quiina negrensis A.C.Sm."
"7",NA,"UNEMAT","HERBAM","7834","Quiina negrensis A.C.Sm.",NA,"Quiinaceae","Quiina","negrensis","A.C.Sm.","Piva, JH","2012-03-02T00:00:00.000+0000",NA,"Branco 1155436",NA,"Soares, CRA; Fidelio, BV; Santos, ML; Moura, VA; Bitencourt, EF",2012,3,2,"Brazil","Pará","Jacareacanga","Terra Firme.",-56.773333,-9.344722,"UHE Teles Pires","BRA:UNEMAT:HERBAM:0000007834",NA,"Quiina negrensis A.C.Sm."
"8",NA,"UNEMAT","HERBAM","5810","Quiina negrensis A.C.Sm.",NA,"Quiinaceae","Quiina","negrensis","A.C.Sm.","Piva, JH","2012-07-04T00:00:00.000+0000",NA,"6837",NA,"Soares, CRA; Cabral, FF; Piva, JH; Claudino, WV",2012,7,4,"Brazil","Mato Grosso","Apiacás","Parque Nacional do Juruena, Terra firme",-57.805,-9.853333,"PPBio Projeto Parna Juruena.","BRA:UNEMAT:HERBAM:0000005810",NA,"Quiina negrensis A.C.Sm."
"9",NA,"UNEMAT","HERBAM","6602","Quiina negrensis A.C.Sm.",NA,"Quiinaceae","Quiina","negrensis","A.C.Sm.",NA,NA,NA,"6648",NA,"Soares, CRA; Cabral, FF; Ribeiro, IL; Silva, DR",2012,8,10,"Brazil","Mato Grosso","Paranaíta","Ilha próximo do Mantega, Terra Firme.",-56.964742,-9.222486,"Projeto Flora Mantega","BRA:UNEMAT:HERBAM:0000006602",NA,"Quiina negrensis A.C.Sm."
"10",NA,"UNEMAT","HERBAM","9224","Quiina negrensis A.C.Sm.",NA,"Quiinaceae","Quiina","negrensis","A.C.Sm.",NA,NA,NA,"7034",NA,"Soares, CRA; Santos, RC; Claudino, WV; Rodrigues, L",2012,8,13,"Brazil","Mato Grosso","Paranaíta","Ilha mantega, Aluvial.",-56.965167,-9.222833,"Projeto Flora Mantega","BRA:UNEMAT:HERBAM:0000009224",NA,"Quiina negrensis A.C.Sm."
"11",NA,"Instituto Federal de Educação, Ciência e Tecnologia (IFAM)","EAFM","15819","Quiina negrensis A.C.Sm.",NA,"Quiinaceae","Quiina","negrensis","A.C.Sm.","Marra, D.M.; Carneiro, V.M.C.","2012-09-23T00:00:00.000+0000",NA,"1436",NA,"Marra, D.M.; Neves, A.F. & Pereira, S. .L.",2012,9,23,"Brazil","Amazonas","Manacapurú, Novo Airão","Reserva de Desenvolvimento Sustentável do Rio Negr, Parcelas permanentes instaladas ao longo de transectos que cruzam uma área (ca. 75 hectares) de floresta atingida por uma tempestade de vento ocorrida no ano de 1987",-61.253475,-3.67455,"árvore, DAP = 11.8 cm; Floresta de terra-firme ; HA","BRA:IFAM - CMZL:EAFM:0000015819",NA,"Quiina negrensis A.C.Sm."
"12",NA,"Instituto Federal de Educação, Ciência e Tecnologia (IFAM)","EAFM","15589","Quiina negrensis A.C.Sm.",NA,"Quiinaceae","Quiina","negrensis","A.C.Sm.","Marra, D.M.; Carneiro, V.M.C.","2012-09-05T00:00:00.000+0000",NA,"1206",NA,"Marra, D.M.; Neves, A.F. & Souza, I.G.",2012,9,5,"Brazil","Amazonas","Manacapurú, Novo Airão","Reserva de Desenvolvimento Sustentável do Rio Negr, Parcelas permanentes instaladas ao longo de transectos que cruzam uma área (ca. 75 hectares) de floresta atingida por uma tempestade de vento ocorrida no ano de 1987",-61.260856,-3.653264,"árvore, DAP = 16 cm; Floresta de terra-firme ; HA","BRA:IFAM - CMZL:EAFM:0000015589",NA,"Quiina negrensis A.C.Sm."
