"","modified","institutionCode","collectionCode","catalogNumber","scientificName","family","genus","specificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLongitude","decimalLatitude","occurrenceRemarks","occurrenceID","bibliographicCitation","acceptedNameUsage","identificationQualifier","infraspecificEpithet","comments"
"1","2010-02-26T16:08:14.000+0000","K","Herbarium","K000578252","Coussarea insignis Ducke","Rubiaceae","Coussarea","insignis","Ducke","Zappi, D.C.",NA,NA,"1199",NA,"Piva, J.H.; Henicka, G.S.; Philippsen, M.; Silveira, E.A.; Milliken, W.; Zappi, D.C.; Biggs, N.",2008,2,11,"Brazil",NA,"Novo Mundo","Parque Estadual Cristalino. Acampamento 35 km acima da pousada.GPS :M 134",-55.52,-9.51,NA,"http://specimens.kew.org/herbarium/K000578252",NA,"Coussarea insignis Ducke",NA,NA,NA
"2",NA,"UNEMAT","HERBAM","2330","Coussarea insignis Ducke","Rubiaceae","Coussarea","insignis","Ducke","Zappi, DC",NA,NA,"1199",NA,"Zappi, DC; Milliken, W; Biggs, N; Henicka, GS; Silveira, EA; Philippsen, M; Piva, JH",2008,2,11,"Brazil","Mato Grosso","Novo Mundo","Parque Estadual Cristalino, Floresta ombrófila alta aberta, subosque.",-55.519167,-9.508333,"Projeto Flora Cristalino","BRA:UNEMAT:HERBAM:0000002330",NA,"Coussarea insignis Ducke",NA,NA,NA
"3",NA,"F","Botany","V0415059F","Coussarea insignis Ducke","Rubiaceae","Coussarea","insignis","Ducke",NA,NA,NA,NA,22130,NA,2002,11,25,NA,NA,NA,NA,NA,NA,NA,"35fc3b90-04d9-4640-a69a-deb1b46cc4a6",NA,"Coussarea insignis Ducke",NA,NA,NA
"4",NA,"NY","NY","802115","Coussarea insignis Ducke","Rubiaceae","Coussarea","insignis","Ducke",NA,NA,NA,"8234",NA,"P. G. Delprete",2001,12,1,"Brazil","Acre",NA,"Fazenda Experimental Catuaba, 27 km from Rio Branco on road BR-364 to Porto Velho",-67.57,-10.07,NA,"42f73add-d493-4e30-b090-5ff85514e4f7",NA,"Coussarea insignis Ducke",NA,NA,NA
"5",NA,NA,"Botany","U.1559715","Coussarea insignis Ducke","Rubiaceae","Coussarea","insignis","Ducke","Delprete PG",NA,NA,NA,NA,"Delprete PG; Oliveira M",2001,12,1,"Brazil","Acre",NA,NA,-67.566667,-10.066667,NA,"http://data.biodiversitydata.nl/naturalis/specimen/U.1559715",NA,"Coussarea insignis Ducke",NA,NA,NA
"6",NA,"NY","NY","813313","Coussarea insignis Ducke","Rubiaceae","Coussarea","insignis","Ducke",NA,NA,NA,"8229",NA,"P. G. Delprete",2001,12,1,"Brazil","Acre",NA,"Fazenda Experimental Catuaba, 27 km from Rio Branco on road BR-364 to Porto Velho",-67.57,-10.07,NA,"3628ae55-f2c2-4912-85a2-40897e2a28da",NA,"Coussarea insignis Ducke",NA,NA,NA
"7",NA,"NY","NY","676463","Coussarea insignis Ducke","Rubiaceae","Coussarea","insignis","Ducke","C. M. Taylor","2003-06-06T00:00:00.000+0000",NA,"10548",NA,"D. C. Daly",2000,12,9,"Brazil","Acre",NA,"Basin of Rio JuruÃ¡, Rio Arara, left bank, inland from ""Pifaiao""",-72.7528,-8.9736,NA,"75fcfcd2-c148-4cc1-aa8d-15feb390a968",NA,"Coussarea insignis Ducke",NA,NA,NA
"8","2014-05-13T20:31:00.000+0000","MO","MO","3102420","Coussarea insignis Ducke","Rubiaceae","Coussarea","insignis","Ducke","Taylor","2003-01-01T00:00:00.000+0000",NA,"Daly 10548",NA,"Douglas C. Daly|C.I. Salimon|I.S. Rivero|E.C. de Oliveira",2000,12,9,"Brazil","Acre",NA,"Marechal Thaumaturgo; Basin of Rio Jurua Arara; left bank; open forest with bamboo",-72.75,-8.96666,NA,"urn:catalog:MO:Tropicos:3102420","http://www.tropicos.org/Specimen/3102420","Coussarea insignis Ducke",NA,NA,NA
"9","2015-12-12T19:48:00.000+0000","MO","MO","3102144","Coussarea insignis Ducke","Rubiaceae","Coussarea","insignis","Ducke","C. M. Taylor (MO)","1998-01-01T00:00:00.000+0000",NA,"Silveira 1420",NA,"M. Silveira|L.A. Lima|P.A. Ferraz|J. Ribamar do Nascimento de Lima|E. Consuelo O.",1996,11,15,"Brazil","Acre",NA,"Manoel Urbano; Rio Purus, colocacao; Lago Novo, proximo ao rocado",NA,NA,NA,"urn:catalog:MO:Tropicos:3102144","http://www.tropicos.org/Specimen/3102144","Coussarea insignis Ducke",NA,NA,NA
"10",NA,"UFAC","UFACPZ","7770","Coussarea insignis Ducke","Rubiaceae","Coussarea","insignis","Ducke",NA,NA,NA,"1420",NA,"Silveira, M",1996,11,15,NA,NA,NA,NA,NA,NA,NA,"BRA:UFAC:UFACPZ:0000007770",NA,"Coussarea insignis Ducke",NA,NA,NA
