"","modified","institutionCode","collectionCode","catalogNumber","scientificName","identificationQualifier","family","genus","specificEpithet","infraspecificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLongitude","decimalLatitude","occurrenceRemarks","occurrenceID","bibliographicCitation","acceptedNameUsage","comments","FID","new_Lat","new_Lon","notes"
"1","2017-10-15T11:51:00.000+0000","JBRJ","RB","RB01174554","Faramea pachyantha Müll.Arg.",NA,"Rubiaceae","Faramea","pachyantha",NA,"Müll.Arg.","Mario Gomes",NA,NA,"19319",NA,"G.Martinelli; P.Rosa, D.Maurenza",2016,8,9,"brazil","rio de janeiro","silva jardim","Serra dos Pirineus, próximo da divisa com Município de Nova Friburgo, picada para o vale do Paiá. mata atlantica de altitude com afloramentos rochosos. APA de Macaé de Cima",-42.509444,-22.441111,"arvoreta, 5m, ciófil; folhas verdes, marcadamente discolores; flores com pedicelo lilás, calice lilás com sepalas alvacentas, corola roxo-escuro.","urn:catalog:JBRJ:RB:1174554",NA,"Faramea pachyantha Müll.Arg.",NA,1506,-22.441111,-42.509444,"original coordinates"
"2","2017-10-15T12:18:33.000+0000","JBRJ","RB","RB01200145","Faramea pachyantha Müll.Arg.",NA,"Rubiaceae","Faramea","pachyantha",NA,"Müll.Arg.","Mario Gomes",NA,NA,"8370",NA,"Haroldo C. de Lima; J.M.A. Braga, L.J.T. Cardoso, C. de Carvalho & W. da Silva",2016,11,2,"brazil","rio de janeiro","nova iguacu","Tinguá, Estrada do Comércio, a 3,4 km após o entroncamento para a Sede da Rebio, Três Voltas. Mata de encosta. Reserva Biológica do Tinguá",-43.462222,-22.576389,"Árvore com 5-6 m alt. Tronco com casca lisa e pardacenta. Inflorescência com raque alvo-esverdeada, flores com cálice alvo-esverdeado e corola alva, levemente arroxeada. Frequente. Foto HCL.","urn:catalog:JBRJ:RB:1200145",NA,"Faramea pachyantha Müll.Arg.",NA,1460,-22.576389,-43.462222,"original coordinates"
"3","2016-02-01T15:55:33.000+0000","JBRJ","RB","RB01068831","Faramea pachyantha Müll.Arg.",NA,"Rubiaceae","Faramea","pachyantha",NA,"Müll.Arg.","Mario Gomes","2016-01-28T00:00:00.000+0000",NA,"483",NA,"Luan, Silva",2015,9,10,"brazil","rio de janeiro","saquarema","Conglomerado 162-2-3-32. UTM do Ponto Central: E (740098m) N (74700070m). Fuso do GPS (23K).",NA,NA,"Árvore, com 9 m de altura. Base reta. Casca interna branca com estria marrom e externa cinza, fina, áspera","urn:catalog:JBRJ:RB:1068831",NA,"Faramea pachyantha Müll.Arg.",NA,1376,-22.878506,-22.878506,"centroide mpo"
"4","2017-10-18T17:13:36.000+0000","JBRJ","RB","RB00713116","Faramea pachyantha Müll.Arg.",NA,"Rubiaceae","Faramea","pachyantha",NA,"Müll.Arg.","Mario Gomes","2013-12-18T00:00:00.000+0000",NA,"141",NA,"J.A.Oliveira; V.B. Sarnaglia Júnior, E.J.Lírio",2012,6,20,"brazil","espirito santo","santa teresa","Próximo do fim da trilha dos palmitos. Estação Biológica Santa Lúcia",NA,NA,"Árvore, ca. 10 m alt., no inteiror de mata. Frutos verdes. Material coletado em sílica.","urn:catalog:JBRJ:RB:713116",NA,"Faramea pachyantha Müll.Arg.",NA,2456,-19.877577,-19.877577,"centroide mpo"
"5",NA,"UFES","VIES","25897","Faramea pachyantha Müll.Arg.",NA,"Rubiaceae","Faramea","pachyantha",NA,"Müll.Arg.",NA,NA,NA,"3421",NA,"Assis, A.M.; Freitas, J.",2012,9,30,"brazil","espirito santo","conceicao da barra","APA de Conceição da Barra - Quadrado.",-39.801944,-18.668611,"Arbusto. Inflorescência branca e frutos roxo. Floresta não inundável (muçununga).","BRA:UFES:VIES:0000025897",NA,"Faramea pachyantha Müll.Arg.",NA,2736,-18.668611,-39.801944,"original coordinates"
"6","2017-10-15T09:56:39.000+0000","JBRJ","RB","RB00727304","Faramea pachyantha Müll.Arg.",NA,"Rubiaceae","Faramea","pachyantha",NA,"Müll.Arg.","M. Gomes","2014-10-23T00:00:00.000+0000",NA,"2730",NA,"M. Nadruz; J.F. Baumgartz, M. Souza, B.C. Bandeira",2012,10,23,"brazil","rio de janeiro","santa maria madalena","Terras Frias, trilha para barragem Ribeirão Vermelho. P.E. do Desengano",-41.933611,-21.934444,"Lâmina cartácea discolor; pedúnculo e pedicelo esverdeados, cálice e corola esbranquiçados; aroma agradável.","urn:catalog:JBRJ:RB:727304",NA,"Faramea pachyantha Müll.Arg.",NA,1716,-21.934444,-41.933611,"original coordinates"
"7","2017-10-18T23:02:42.000+0000","JBRJ","RB","RB00722830","Faramea pachyantha Müll.Arg.",NA,"Rubiaceae","Faramea","pachyantha",NA,"Müll.Arg.","Mario Gomes","2014-01-28T00:00:00.000+0000",NA,"766",NA,"Perdiz, R de O.; L.C. Gomes., J. Paixão., P. Leitman., et al.",2011,5,6,"brazil","bahia","arataca","Brasil, Bahia, Aracataca: Parque Nacional da Serra das Lontras. Trilha do Talhão.",-39.351111,-15.165556,"Arbusto. Frutos verdes.","urn:catalog:JBRJ:RB:722830",NA,"Faramea pachyantha Müll.Arg.",NA,3183,-15.165556,-39.351111,"original coordinates"
"8",NA,"UNICAMP","UEC","167016","Faramea pachyantha Müll.Arg.",NA,"Rubiaceae","Faramea","pachyantha",NA,"Müll.Arg.","Stefani, E.J.F.","2011-10-01T00:00:00.000+0000",NA,"242",NA,"Stefani, E.J.F.; Belinello, R.; Galvão, J.",2011,6,29,"brazil","sao paulo","paraibuna","Parque estadual da Serra do Mar.",-45.558333,-23.598333,"Árvore com 16m.; Mata Atlântica.","BRA:UNICAMP:UEC:0000167016",NA,"Faramea pachyantha Müll.Arg.",NA,1180,-23.598333,-45.558333,"original coordinates"
"9",NA,"UNICAMP","UEC","167041","Faramea pachyantha Müll.Arg.",NA,"Rubiaceae","Faramea","pachyantha",NA,"Müll.Arg.","Stefani, E.J.F.","2011-10-01T00:00:00.000+0000",NA,"260",NA,"Stefani, E.J.F.; Belinello, R.; Galvão, J.",2011,6,30,"brazil","sao paulo","paraibuna","Parque estadual da Serra do Mar.",-45.533333,-23.583611,"Árvore com 11m.; Mata Atlântica.","BRA:UNICAMP:UEC:0000167041",NA,"Faramea pachyantha Müll.Arg.",NA,1180,-23.583611,-45.533333,"original coordinates"
"10",NA,"UNICAMP","UEC","161061","Faramea pachyantha Müll.Arg.",NA,"Rubiaceae","Faramea","pachyantha",NA,"Müll.Arg.","Stefani, E.J.F.","2010-12-01T00:00:00.000+0000",NA,"94",NA,"Stefani, E.J.F.; Belinello, R.; Galvão, J.",2010,5,30,"brazil","sao paulo","caraguatatuba","Parque estadual da Serra do Mar.",-45.518611,-23.625556,"Árvore com 7m.; Mata Atlântica.","BRA:UNICAMP:UEC:0000161061",NA,"Faramea pachyantha Müll.Arg.",NA,1134,-23.625556,-45.518611,"original coordinates"
"11","2014-07-07T18:55:39.000+0000","JBRJ","RB","RB00560933","Faramea pachyantha Müll.Arg.",NA,"Rubiaceae","Faramea","pachyantha",NA,"Müll.Arg.","Mario Gomes",NA,NA,"941",NA,"R. Borges; M. Iguatemy, R. Abreu, T. Zveibil",2009,2,15,"brazil","rio de janeiro","rio de janeiro","Guapimirim, Área de estudo da Embrapa Agrobiologia.  .",-42.860556,-22.565278,"Arvoreta, folhas levemente discolores, frutos acastanhados.","urn:catalog:JBRJ:RB:560933",NA,"Faramea pachyantha Müll.Arg.",NA,1360,-22.565278,-42.860556,"original coordinates"
"12",NA,"UNICAMP","UEC","160934","Faramea pachyantha Müll.Arg.",NA,"Rubiaceae","Faramea","pachyantha",NA,"Müll.Arg.","Cavalin, P.O.","2010-06-01T00:00:00.000+0000",NA,"46",NA,"Cavalin, P.O.",2009,11,12,"brazil","sao paulo","ubatuba","Fazenda Capricórnio",-45.092778,-23.396667,"Indivíduo juvenil, 1-2 m de altura.; Sub-bosque Floresta Ombrófila Densa.","BRA:UNICAMP:UEC:0000160934",NA,"Faramea pachyantha Müll.Arg.",NA,1216,-23.396667,-45.092778,"original coordinates"
"13",NA,"MBML","MBML-HERBARIO","38030","Faramea pachyantha Müll.Arg.",NA,"Rubiaceae","Faramea","pachyantha",NA,"Müll.Arg.","A. M. Assis/2008",NA,NA,"1468",NA,"A. M. Assis; Valdir G. Demuner; Karla Fabiola O. Faria",2008,3,15,"brazil","espirito santo","itapemirim","Fazenda do Ouvidor - Usina Paineiras. Porção oeste do Fragmento de 600 ha. Acesso pela Rodovia ES-490.",-41.047167,-20.938083,"Arbusto 5 m. Pedúnculo da unflorescência lilás.Frutos verdes. Interior da Mata. Floresta Estacional Semidecidual em Estágio Avançado de Regeneração.","BRA:MBML:MBML-HERBARIO:0000038030",NA,"Faramea pachyantha Müll.Arg.",NA,2087,-20.938083,-41.047167,"original coordinates"
"14",NA,"Reserva Natural Vale (CVRD)","CVRD","11186","Faramea pachyantha Müll.Arg.",NA,"Rubiaceae","Faramea","pachyantha",NA,"Müll.Arg.","Domingos A. Folli","2008-04-03T00:00:00.000+0000",NA,"6008",NA,"Folli, D.A.",2008,4,3,"brazil","espirito santo","linhares",NA,NA,NA,"<ll>dwc_commonname:</ll> Peyneau","BRA:CVRD:CVRD:0000011186",NA,"Faramea pachyantha Müll.Arg.",NA,2565,-19.38214,-19.38214,"centroide mpo"
"15",NA,"UNICAMP","UEC","148810","Faramea pachyantha Müll.Arg.",NA,"Rubiaceae","Faramea","pachyantha",NA,"Müll.Arg.","Jung-Mendaçolli, S.L.","2008-10-01T00:00:00.000+0000",NA,"405",NA,"Aranha, B.A.",2007,1,12,"brazil","sao paulo","ubatuba","Fazenda Capricórnio, Parcela J, 380-msm",-45.084167,-23.366389,NA,"BRA:UNICAMP:UEC:0000148810",NA,"Faramea pachyantha Müll.Arg.",NA,1216,-23.366389,-45.084167,"original coordinates"
"16",NA,"IAC","IAC","50519","Faramea pachyantha Müll.Arg.",NA,"Rubiaceae","Faramea","pachyantha",NA,"Müll.Arg.","E. Ramos et al.","2007-04-15T00:00:00.000+0000",NA,"622",NA,"E. Ramos; H.R. Gonçalves & S. Santos",2007,4,15,"brazil","sao paulo","ubatuba","Fazenda Capricórnio, Núcleo Picinguaba/PESM, Parcela H",-45.082034,-23.373577,"Sub-parcela 27, indivíduo H0404","BRA:IAC:IAC:0000050519",NA,"Faramea pachyantha Müll.Arg.",NA,1216,-23.373577,-45.082034,"original coordinates"
"17",NA,"IAC","IAC","49036","Faramea pachyantha Müll.Arg.",NA,"Rubiaceae","Faramea","pachyantha",NA,"Müll.Arg.","M. Gomes","2006-11-01T00:00:00.000+0000",NA,"391",NA,"J.A.M.A. Gomes; L.C. Bernacci; O.A. Santos; S. Santos & F.J. Benedetti",2007,5,5,"brazil","sao paulo","ubatuba","Fazenda Capricórnio, Parcela G (Parque Estadual da Serra do Mar, Núcleo Picinguaba)",-45.080223,-23.373498,"subparcela 6, indivíduo G 100","BRA:IAC:IAC:0000049036",NA,"Faramea pachyantha Müll.Arg.",NA,1216,-23.373498,-45.080223,"original coordinates"
"18",NA,"Comissão Executiva do Plano da Lavoura Cacaueira (CEPLAC)","CEPEC","113678","Faramea pachyantha Müll.Arg.",NA,"Rubiaceae","Faramea","pachyantha",NA,"Müll.Arg.",NA,NA,NA,"4949",NA,"Jardim, J. G.",2006,1,15,"brazil","sao paulo","ubatuba","Rodovia Ubatuba-Parati. Ca. 1km a partir da ponte sobre o Rio Escuro, Morro do Corsário, entrada à direita. Bairro Mato Dentro.",-45.1525,-23.481667,"Floresta de Encosta.","BRA:CEPLAC:CEPEC:0000113678",NA,"Faramea pachyantha Müll.Arg.",NA,1216,-23.481667,-45.1525,"original coordinates"
"19",NA,"Reserva Natural Vale (CVRD)","CVRD","11738","Faramea pachyantha Müll.Arg.",NA,"Rubiaceae","Faramea","pachyantha",NA,"Müll.Arg.","M.A.Pinho-Ferreira","2006-04-12T00:00:00.000+0000",NA,"638",NA,"Ferreira-Pinho, M.A.",2006,4,10,"brazil","espirito santo","linhares","Taxonomia de Campo USP, UNICAMP, ESAlq",NA,NA,"Corola esverdeada, cálice verde. <ll>dwc_commonname:</ll> Peyneau","BRA:CVRD:CVRD:0000011738",NA,"Faramea pachyantha Müll.Arg.",NA,2565,-19.38214,-19.38214,"centroide mpo"
"20",NA,"UNICAMP","UEC","147670","Faramea pachyantha Müll.Arg.",NA,"Rubiaceae","Faramea","pachyantha",NA,"Müll.Arg.","Jung-Mendaçolli, S.L.","2007-09-01T00:00:00.000+0000",NA,"359",NA,"Campos, M.C.R.; Belinello, R.; Assis, M.A.; Guaraldo, A.",2006,5,7,"brazil","sao paulo","picinguaba","Parque Estadual da Serra do Mar, Parcela E na Trilha do Corisco (Projeto Temático Biota Gradiente Funcional)",0,0,"indivíduo E0494, altura 26m","BRA:UNICAMP:UEC:0000147670",NA,"Faramea pachyantha Müll.Arg.",NA,NA,NA,NA,"centroide mpo (0)"
"21",NA,"UEFS","HUEFS","88274","Faramea pachyantha Müll.Arg.",NA,"Rubiaceae","Faramea","pachyantha",NA,"Müll.Arg.",NA,NA,NA,"2950",NA,"Forzza, R.C.",2004,3,6,"brazil","minas gerais","descoberto","Reserva Biológica da Represa do Grama, trilha principal partindo da casa de Seu Luiz.",-42.955,-21.431667,NA,"BRA:UEFS:HUEFS:0000088274",NA,"Faramea pachyantha Müll.Arg.",NA,1905,-21.431667,-42.955,"original coordinates"
"22","2015-01-22T14:55:42.000+0000","JBRJ","RB","RB00576791","Faramea pachyantha Müll.Arg.",NA,"Rubiaceae","Faramea","pachyantha",NA,"Müll.Arg.","M. Gomes","2015-01-21T00:00:00.000+0000",NA,"75428",NA,"G. Hatschbach; O.S.Ribas & J.Carneiro",2003,6,17,"brazil","bahia","nazare","Boca da Mata.",NA,NA,"Arbusto,3m,fruto alvo.","urn:catalog:JBRJ:RB:576791",NA,"Faramea pachyantha Müll.Arg.",NA,3465,-12.948058,-12.948058,"centroide mpo"
"23","2015-10-26T00:00:00.000+0000","K","Herbarium","K001137852","Faramea pachyantha Müll.Arg.","aff.","Rubiaceae","Faramea","pachyantha",NA,"Müll.Arg.",NA,NA,NA,"4161",NA,"Jardim, J.G.",2003,11,13,"brazil",NA,"cairu","Nilo Peçanha/Cairu ca. 15,5km da BA 001.",NA,NA,NA,"http://specimens.kew.org/herbarium/K001137852",NA,"Faramea pachyantha Müll.Arg.",NA,NA,NA,NA,"centroide mpo (no state)"
"24",NA,"NY","NY","02714647","Faramea pachyantha Müll.Arg.",NA,"Rubiaceae","Faramea","pachyantha",NA,"Müll.Arg.","J. G. Jardim",NA,NA,"4161",NA,"J. G. Jardim",2003,11,13,"brazil","bahia",NA,"Rod. Nilo PeÃ§anha/CairÃº, ca. 15,5Km da BA-001.",-39.04956,-13.55794,NA,"b02fabbf-ba3a-4705-86fe-f511ad711dfe",NA,"Faramea pachyantha Müll.Arg.",NA,NA,-13.55794,-39.04956,"original coordinates"
"25","2014-10-30T11:29:00.000+0000","MO","MO","3120618","Faramea pachyantha Müll.Arg.",NA,"Rubiaceae","Faramea","pachyantha",NA,"Müll.Arg.",NA,NA,NA,"Jardim 4161",NA,"Jomar G. Jardim|Sérgio C. de Sant'Ana|J. Lima Paixão",2003,11,13,"brazil","bahia",NA,"Mun. Cairu, Rod. Nilo peçanha/Cairu ca 15, 5km da BA 001. Restinga Restinga Arbórea. 13:33, 477'S, 39:02, 973'W",NA,NA,NA,"urn:catalog:MO:Tropicos:3120618","http://www.tropicos.org/Specimen/3120618","Faramea pachyantha Müll.Arg.",NA,NA,-12.47295682,-12.47295682,"centroide estado"
"26",NA,"MBML","MBML-HERBARIO","14629","Faramea pachyantha Müll.Arg.",NA,"Rubiaceae","Faramea","pachyantha",NA,"Müll.Arg.","J. Jardim/22-04-2004",NA,NA,"3802",NA,"L. Kollmann; et al",2001,5,31,"brazil","espirito santo","santa teresa","Santo Antônio",-40.589167,-19.922222,"Árvore 10m. DAP 10cm. Fuste 8m. Frutos verdes.","BRA:MBML:MBML-HERBARIO:0000014629",NA,"Faramea pachyantha Müll.Arg.",NA,2456,-19.922222,-40.589167,"original coordinates"
