"","modified","institutionCode","collectionCode","catalogNumber","scientificName","identificationQualifier","family","genus","specificEpithet","infraspecificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLongitude","decimalLatitude","occurrenceRemarks","acceptedNameUsage","occurrenceID","comments","bibliographicCitation"
"1",NA,NA,"RB","RB01174554","Faramea pachyantha Müll.Arg.",NA,"Rubiaceae","Faramea","pachyantha",NA,"Müll.Arg.","Mario Gomes","",NA,"19319",NA,"G.Martinelli; P.Rosa, D.Maurenza",2016,8,9,"brazil","Rio de Janeiro","Silva Jardim","Serra dos Pirineus, próximo da divisa com Município de Nova Friburgo, picada para o vale do Paiá. mata atlantica de altitude com afloramentos rochosos. APA de Macaé de Cima",-42.509444,-22.441111,"arvoreta, 5m, ciófil; folhas verdes, marcadamente discolores; flores com pedicelo lilás, calice lilás com sepalas alvacentas, corola roxo-escuro.","Faramea pachyantha Müll.Arg.",NA,"original coordinates OK","GBIF"
"2",NA,NA,"RB","RB01200145","Faramea pachyantha Müll.Arg.",NA,"Rubiaceae","Faramea","pachyantha",NA,"Müll.Arg.","Mario Gomes","",NA,"8370",NA,"Haroldo C. de Lima; J.M.A. Braga, L.J.T. Cardoso, C. de Carvalho & W. da Silva",2016,11,2,"brazil","Rio de Janeiro","Nova Iguaçu","Tinguá, Estrada do Comércio, a 3,4 km após o entroncamento para a Sede da Rebio, Três Voltas. Mata de encosta. Reserva Biológica do Tinguá",-43.462222,-22.576389,"Árvore com 5-6 m alt. Tronco com casca lisa e pardacenta. Inflorescência com raque alvo-esverdeada, flores com cálice alvo-esverdeado e corola alva, levemente arroxeada. Frequente. Foto HCL.","Faramea pachyantha Müll.Arg.",NA,"original coordinates OK","GBIF"
"3",NA,NA,"RB","RB01068831","Faramea pachyantha Müll.Arg.",NA,"Rubiaceae","Faramea","pachyantha",NA,"Müll.Arg.","Mario Gomes","2016-01-28",NA,"483",NA,"Luan, Silva",2015,9,10,"brazil","Rio de Janeiro","Saquarema","Conglomerado 162-2-3-32. UTM do Ponto Central: E (740098m) N (74700070m). Fuso do GPS (23K).",-42.518393,-22.878506,"Árvore, com 9 m de altura. Base reta. Casca interna branca com estria marrom e externa cinza, fina, áspera","Faramea pachyantha Müll.Arg.",NA,"centroide mpo OK","GBIF"
"4",NA,NA,"RB","RB00713116","Faramea pachyantha Müll.Arg.",NA,"Rubiaceae","Faramea","pachyantha",NA,"Müll.Arg.","Mario Gomes","2013-12-18",NA,"141",NA,"J.A.Oliveira; V.B. Sarnaglia Júnior, E.J.Lírio",2012,6,20,"brazil","Espírito Santo","Santa Teresa","Próximo do fim da trilha dos palmitos. Estação Biológica Santa Lúcia",-40.635175,-19.877577,"Árvore, ca. 10 m alt., no inteiror de mata. Frutos verdes. Material coletado em sílica.","Faramea pachyantha Müll.Arg.",NA,"centroide mpo OK","GBIF"
"5",NA,NA,"VIES","25897","Faramea pachyantha Müll.Arg.",NA,"Rubiaceae","Faramea","pachyantha",NA,"Müll.Arg.","","",NA,"3421",NA,"Assis, A.M.; Freitas, J.",2012,9,30,"brazil","Espírito Santo","Conceição da Barra","APA de Conceição da Barra - Quadrado.",-39.801944,-18.668611,"Arbusto. Inflorescência branca e frutos roxo. Floresta não inundável (muçununga).","Faramea pachyantha Müll.Arg.",NA,"original coordinates OK","GBIF"
"6",NA,NA,"RB","RB00727304","Faramea pachyantha Müll.Arg.",NA,"Rubiaceae","Faramea","pachyantha",NA,"Müll.Arg.","M. Gomes","2014-10-23",NA,"2730",NA,"M. Nadruz; J.F. Baumgartz, M. Souza, B.C. Bandeira",2012,10,23,"brazil","Rio de Janeiro","Santa Maria Madalena","Terras Frias, trilha para barragem Ribeirão Vermelho. P.E. do Desengano",-41.933611,-21.934444,"Lâmina cartácea discolor; pedúnculo e pedicelo esverdeados, cálice e corola esbranquiçados; aroma agradável.","Faramea pachyantha Müll.Arg.",NA,"original coordinates OK","GBIF"
"7",NA,NA,"RB","RB00722830","Faramea pachyantha Müll.Arg.",NA,"Rubiaceae","Faramea","pachyantha",NA,"Müll.Arg.","Mario Gomes","2014-01-28",NA,"766",NA,"Perdiz, R de O.; L.C. Gomes., J. Paixão., P. Leitman., et al.",2011,5,6,"brazil","Bahia","Arataca","Brasil, Bahia, Aracataca: Parque Nacional da Serra das Lontras. Trilha do Talhão.",-39.351111,-15.165556,"Arbusto. Frutos verdes.","Faramea pachyantha Müll.Arg.",NA,"original coordinates OK","GBIF"
"8",NA,NA,"UEC","167016","Faramea pachyantha Müll.Arg.",NA,"Rubiaceae","Faramea","pachyantha",NA,"Müll.Arg.","Stefani, E.J.F.","2011-10-01",NA,"242",NA,"Stefani, E.J.F.; Belinello, R.; Galvão, J.",2011,6,29,"brazil","São Paulo","Paraíbuna","Parque estadual da Serra do Mar.",-45.558333,-23.598333,"Árvore com 16m.; Mata Atlântica.","Faramea pachyantha Müll.Arg.",NA,"original coordinates OK","GBIF"
"9",NA,NA,"UEC","167041","Faramea pachyantha Müll.Arg.",NA,"Rubiaceae","Faramea","pachyantha",NA,"Müll.Arg.","Stefani, E.J.F.","2011-10-01",NA,"260",NA,"Stefani, E.J.F.; Belinello, R.; Galvão, J.",2011,6,30,"brazil","São Paulo","Paraíbuna","Parque estadual da Serra do Mar.",-45.533333,-23.583611,"Árvore com 11m.; Mata Atlântica.","Faramea pachyantha Müll.Arg.",NA,"original coordinates OK","GBIF"
"10",NA,NA,"UEC","161061","Faramea pachyantha Müll.Arg.",NA,"Rubiaceae","Faramea","pachyantha",NA,"Müll.Arg.","Stefani, E.J.F.","2010-12-01",NA,"94",NA,"Stefani, E.J.F.; Belinello, R.; Galvão, J.",2010,5,30,"brazil","São Paulo","Caraguatatuba","Parque estadual da Serra do Mar.",-45.518611,-23.625556,"Árvore com 7m.; Mata Atlântica.","Faramea pachyantha Müll.Arg.",NA,"original coordinates OK","GBIF"
