"","modified","institutionCode","collectionCode","catalogNumber","scientificName","family","genus","specificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLongitude","decimalLatitude","occurrenceRemarks","occurrenceID","bibliographicCitation","acceptedNameUsage","identificationQualifier","infraspecificEpithet","comments"
"1","2014-11-03T13:29:09.000+0000","JBRJ","RB","RB00559999","Gleasonia macrocalyx Ducke","Rubiaceae","Gleasonia","macrocalyx","Ducke","Rogers, G.",NA,"HOLOTYPE",NA,NA,"Ducke, A.",1936,11,26,"Brazil","Amazonas","Amazonas","Alto Rio Curicuriary afl. Rio Negro, margem inundável.",NA,NA,"árvore pequena; lobos do cálice brancas com base rubra.","urn:catalog:JBRJ:RB:559999",NA,"Gleasonia macrocalyx Ducke",NA,NA,NA
"2","2015-04-11T10:18:50.000+0000","S","VascularPlants","S05-1750","Gleasonia macrocalyx Ducke","Rubiaceae","Gleasonia","macrocalyx","Ducke",NA,NA,NA,"29045","29045","A. Ducke",1936,11,26,"Brazil",NA,NA,"Rio Curicuriary superior (affl. R. Negro, civ. Amazonas).",NA,NA,NA,"S:VascularPlants:S05-1750",NA,"Gleasonia macrocalyx Ducke",NA,NA,NA
"3","2015-05-20T14:27:00.000+0000","MO","MO","100450045","Gleasonia macrocalyx Ducke","Rubiaceae","Gleasonia","macrocalyx","Ducke","N. Dávila, UEC","2015-01-01T00:00:00.000+0000",NA,"Ducke 359",NA,"A. Ducke",1936,11,26,"Brazil","Amazonas",NA,"Rio Curicuriary superior.",NA,NA,NA,"urn:catalog:MO:Tropicos:100450045","http://www.tropicos.org/Specimen/100450045","Gleasonia macrocalyx Ducke",NA,NA,NA
"4","2014-11-03T13:03:00.000+0000","JBRJ","RB","RB00543598","Gleasonia macrocalyx Ducke","Rubiaceae","Gleasonia","macrocalyx","Ducke","Rogers, G.",NA,"HOLOTYPE",NA,NA,"Ducke, A.",1936,11,26,"Brazil","Amazonas","Amazonas","Alto Rio Curicuriary afl. Rio Negro, margem inundável.",NA,NA,"árvore pequena; lobos do cálice brancas com base rubra.","urn:catalog:JBRJ:RB:543598",NA,"Gleasonia macrocalyx Ducke",NA,NA,NA
"5",NA,"US","Botany","1693362","Gleasonia macrocalyx Ducke","Rubiaceae","Gleasonia","macrocalyx","Ducke",NA,NA,NA,"359",NA,"-. Ducke",1936,11,26,"Brazil","Amazonas",NA,"Rio Curicuriary",NA,NA,NA,"http://n2t.net/ark:/65665/34f3df723-0e3f-4419-a814-420efc79cd16",NA,"Gleasonia macrocalyx Ducke",NA,NA,NA
"6",NA,NA,"Botany","U  0006025","Gleasonia macrocalyx Ducke","Rubiaceae","Gleasonia","macrocalyx","Ducke","Rogers R","1981-07-01T00:00:00.000+0000","ISOTYPE",NA,NA,"Ducke A",1936,11,26,"Brazil","Amazonas",NA,"Rio Curicuriary superior (affl. R. Negro, civ. Amazonas)",NA,NA,NA,"http://data.biodiversitydata.nl/naturalis/specimen/U%20%200006025",NA,"Gleasonia macrocalyx Ducke",NA,NA,NA
"7","2015-04-11T10:18:50.000+0000","S","VascularPlants","S05-1751","Gleasonia macrocalyx Ducke","Rubiaceae","Gleasonia","macrocalyx","Ducke",NA,NA,NA,"359","359","Ducke",1936,11,26,"Brazil",NA,NA,"Brasil, Amazonas: Rio Curicuriary superior",NA,NA,NA,"S:VascularPlants:S05-1751",NA,"Gleasonia macrocalyx Ducke",NA,NA,NA
"8","2008-02-06T17:12:06.000+0000","K","Herbarium","K000173856","Gleasonia macrocalyx Ducke","Rubiaceae","Gleasonia","macrocalyx","Ducke","Ducke, A.",NA,NA,"29045",NA,"Ducke, A.",1936,11,26,"Brazil",NA,NA,"Rio [Curicuriary] superior (affl. R. Negro, civ. Amazonas).",NA,NA,"Sheet 1. In same type folder as K000173857; K000173858.","http://specimens.kew.org/herbarium/K000173856",NA,"Gleasonia macrocalyx Ducke",NA,NA,NA
"9","2014-11-03T13:29:09.000+0000","JBRJ","RB","RB00559998","Gleasonia macrocalyx Ducke","Rubiaceae","Gleasonia","macrocalyx","Ducke","Rogers, G.",NA,"HOLOTYPE",NA,NA,"Ducke, A.",1936,11,26,"Brazil","Amazonas","Amazonas","Alto Rio Curicuriary afl. Rio Negro, margem inundável.",NA,NA,"árvore pequena; lobos do cálice brancas com base rubra.","urn:catalog:JBRJ:RB:559998",NA,"Gleasonia macrocalyx Ducke",NA,NA,NA
"10",NA,"NY","NY","131599","Gleasonia macrocalyx Ducke","Rubiaceae","Gleasonia","macrocalyx","Ducke",NA,NA,"ISOTYPE","304",NA,"W. A. Ducke",1936,11,26,"Brazil",NA,NA,"Alto Rio Curicuriary margem inundavel.",0,0,"Museum Yale School of Forestry. ""Rec. March 1937""","bf5b4091-f416-4079-a929-77017d7a802d",NA,"Gleasonia macrocalyx Ducke",NA,NA,NA
"11","2008-02-06T17:18:05.000+0000","K","Herbarium","K000173858","Gleasonia macrocalyx Ducke","Rubiaceae","Gleasonia","macrocalyx","Ducke",NA,NA,NA,"359",NA,"Ducke, A.",1936,11,26,"Brazil",NA,NA,"Rio Curicuriary superior.",NA,NA,"In same type folder as K000173856; K000173857.","http://specimens.kew.org/herbarium/K000173858",NA,"Gleasonia macrocalyx Ducke",NA,NA,NA
"12","2008-02-06T17:14:05.000+0000","K","Herbarium","K000173857","Gleasonia macrocalyx Ducke","Rubiaceae","Gleasonia","macrocalyx","Ducke","Ducke, A.",NA,NA,"29045",NA,"Ducke, A.",1936,11,26,"Brazil",NA,NA,"Rio [Curicuriary] superior (affl. R. Negro, civ. Amazonas).",NA,NA,"Sheet 2. In same type folder as K000173856; K000173858.","http://specimens.kew.org/herbarium/K000173857",NA,"Gleasonia macrocalyx Ducke",NA,NA,NA
"13",NA,"MN","R-TIPOS","75715","Gleasonia macrocalyx Ducke","Rubiaceae","Gleasonia","macrocalyx","Ducke",NA,NA,"ISOTYPE","359",NA,"Ducke, W.A.",1936,11,26,"Brazil","Amazonas",NA,"Alto Rio Curicuriary",NA,NA,NA,"BRA:MN:R-TIPOS:0000075715",NA,"Gleasonia macrocalyx Ducke",NA,NA,NA
