"","modified","institutionCode","collectionCode","catalogNumber","scientificName","family","genus","specificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLongitude","decimalLatitude","occurrenceRemarks","occurrenceID","bibliographicCitation","acceptedNameUsage","identificationQualifier","infraspecificEpithet","fieldNumber","comments"
"1",NA,"USP","SPF","168868","Neoraputia micrantha Kallunki","Rutaceae","Neoraputia","micrantha","Kallunki","Kallunki, JA","2008-01-01T00:00:00.000+0000","PARATYPE","2732","Fiaschi, P",2005,3,3,"Brazil","Bahia","Almadina","Serra dos Sete Paus, Rodovia de Almadina para Ibitupã, entrada à esquerda ca. 5 km. Fazenda Cruzeiro do Sul, ca. 8 km da entrada do ramal.",-39.696111,-14.735,"Árvore ca. 12 m alt. Flores com cálice verde-claro pálido, corola branco-esverdeada.; Floresta ombrófila antropizada.","BRA:USP:SPF:0000168868",NA,"Neoraputia micrantha Kallunki",NA,NA,NA,NA
"2",NA,"NY","NY","00924563","Neoraputia micrantha Kallunki","Rutaceae","Neoraputia","micrantha","Kallunki","J. A. Kallunki","2009-01-01T00:00:00.000+0000",NA,"2732","P. Fiaschi",2005,3,3,"Brazil","Bahia",NA,"Serra do Sete-Paus. Rodovia de Almadina para Ibitupa, entrada Ã  esquerda ca. 5 km. Fazenda Cruceiro do Sul, ca. 8 km da entrada do ramal",-39.696111,-14.735,NA,"4067479a-7eb5-48f5-a8f5-cbaaad960598",NA,"Neoraputia micrantha Kallunki",NA,NA,NA,NA
"3","2014-07-01T00:00:00.000+0000","BR",NA,"BR0000013535469","Neoraputia micrantha Kallunki","Rutaceae","Neoraputia","micrantha","Kallunki",NA,NA,"ISOTYPE","1027","Jomar G. Jardim, P.B.Monteiro, E.R. de Castro & Joao F. Dos Santos",1997,2,28,"Brazil",NA,NA,NA,NA,NA,NA,"http://www.botanicalcollections.be/specimen/BR0000013535469",NA,"Neoraputia micrantha Kallunki",NA,NA,NA,NA
"4",NA,"SNSB-M","BSMvplantscoll","M-0274809 / 779564 / 421006","Neoraputia micrantha Kallunki","Rutaceae","Neoraputia","micrantha","Kallunki",NA,NA,"ISOTYPE",NA,"Jardim, J.G.",1997,2,28,"Brazil",NA,NA,"Bahia, Município de Almadina-Ba. Bacia do Rio Almada. Rod. Almadina/Ibitupã, entrada a 7 km Serra de Sete Paus. Ca. 12 km da entrada. Faz. Cruzeiro do Sul; 14°44`06""S, 39°41`46""W",-90.2667,34.0167,NA,"http://id.snsb.info/snsb/collection/715186/779564/421006",NA,"Neoraputia micrantha Kallunki",NA,NA,NA,NA
"5",NA,"NY","NY","1085919","Neoraputia micrantha Kallunki","Rutaceae","Neoraputia","micrantha","Kallunki","J. A. Kallunki","2009-01-01T00:00:00.000+0000","ISOTYPE","1027","J. G. Jardim",1997,2,28,"Brazil","Bahia",NA,"Bahia Rod. Almadina/Ibitupa, entrada a 7 km. Serra do Sete Paus. Ca. 12 km. da entrada, Fazenda Cruzeiro do Sul",-39.6961,-14.735,NA,"8e94a28a-4c78-4e83-bba5-93f4dab3119a",NA,"Neoraputia micrantha Kallunki",NA,NA,NA,NA
"6","2009-12-09T09:40:00.000+0000","MO","MO","100233872","Neoraputia micrantha Kallunki","Rutaceae","Neoraputia","micrantha","Kallunki","J. Kallunki","2009-01-01T00:00:00.000+0000","HOLOTYPE","Jardim 1027","Jomar G. Jardim",1997,2,28,"Brazil","Bahia",NA,"Rod. Almadina/Ibitupã, entrada a 7 km Serra do Sete Paus. Ca. 12 km da entrada. Faz. Cruzeiro do Sul. Mata Higrófila Sul Baiana.",-39.696111,-14.735,NA,"urn:catalog:MO:Tropicos:100233872","http://www.tropicos.org/Specimen/100233872","Neoraputia micrantha Kallunki",NA,NA,NA,NA
"7",NA,"G","Geneva Herbarium – General Collection (G)","G-G-305388/1","Neoraputia micrantha Kallunki","Rutaceae","Neoraputia","micrantha","Kallunki","Kallunki, J. A. (2009)",NA,"ISOTYPE",NA,"Jardim, J. G., P. B. Monteiro, A. de Castro & J. F. dos Santos",1997,2,28,"Brazil",NA,NA,"Almadina - Municipio de Almadina-Ba. Rod. Almadina/Ibitupã, entrada a 7 Km Serra do Sete Paus. Ca. 12 km da entrada. Faz. Cruzeiro do Sul. Mata Higrofila Sul Baiana/Estado da Bahia",-39.64139,-14.70861,NA,NA,NA,"Neoraputia micrantha Kallunki",NA,NA,NA,NA
"8",NA,"Comissão Executiva do Plano da Lavoura Cacaueira (CEPLAC)","CEPEC","104208","Neoraputia micrantha Kallunki","Rutaceae","Neoraputia","micrantha","Kallunki","J. A. Kallunki",NA,"PARATYPE","2732","P. Fiaschi",NA,NA,NA,"Brazil","Bahia","ALMADINA","Serra dos Sete-Paus. Rod. de Alamdina/Ibitupã, estrada a esq. Ca. 5Km. Fazenda Cruzeiro do Sul, ca. 8Km da entrada do ramal.",-39.696111,-14.735,"Ambiente: Mata Ombrófila antropizada. Habito: Árvore, ca. 12m.","BRA:CEPLAC:CEPEC:0000104208",NA,"Neoraputia micrantha Kallunki",NA,NA,NA,NA
"9",NA,"Comissão Executiva do Plano da Lavoura Cacaueira (CEPLAC)","CEPEC","93567","Neoraputia micrantha Kallunki","Rutaceae","Neoraputia","micrantha","Kallunki","J. A. Kallunki",NA,"PARATYPE","1320","J. G. Jardim",NA,NA,NA,"Brazil","Bahia","almadina","Rod. Almadina/Ibitupã, entrada a ca. 5Km ao W da sede do município. Faz. Cruzeiro do Sul. Serra dos Sete Paus, ca. 8Km da entrada. Inventário Florestal e Fitossociologico. # 74.",-39.696111,-14.735,"Ambiente: Mata Higrofila. Habito: Árvore","BRA:CEPLAC:CEPEC:0000093567",NA,"Neoraputia micrantha Kallunki",NA,NA,NA,NA
"10",NA,"Comissão Executiva do Plano da Lavoura Cacaueira (CEPLAC)","CEPEC","72519","Neoraputia micrantha Kallunki","Rutaceae","Neoraputia","micrantha","Kallunki","J. A. Kallunki",NA,NA,"1027","J. G. Jardim",NA,NA,NA,"Brazil","Bahia","almadina","Rod. Almadina/Ibitupã, entrada a 7Km Serra dos Sete Paus. Ca. 12Km da entrada. Faz. Cruzeido do Sul . Inventário Fitossociologico da Bacia do Rio Almada.",-39.696111,-14.735,"Ambiente: Mata higrofila. Habito: Árvore, ca. 10m.","BRA:CEPLAC:CEPEC:0000072519",NA,"Neoraputia micrantha Kallunki",NA,NA,NA,NA
"11",NA,"Comissão Executiva do Plano da Lavoura Cacaueira (CEPLAC)","CEPEC","95168","Neoraputia micrantha Kallunki","Rutaceae","Neoraputia","micrantha","Kallunki","J. A. Kallunki",NA,"PARATYPE","1425","J. G. Jardim",NA,NA,NA,"Brazil","Bahia","almadina","Rod. Almadina/Ibitupã, entrada a ca. 5Km ao W da sede do muncipio. Faz. Cruzeiro do Sul. Serra dos Sete Paus, ca. 8Km da entrada. Inventário Florestal e Fitossociologico. # 429.",-39.696111,-14.735,"Ambiente: Mata Higrofila. Habito: Árvore","BRA:CEPLAC:CEPEC:0000095168",NA,"Neoraputia micrantha Kallunki",NA,NA,NA,NA
