"","modified","institutionCode","collectionCode","catalogNumber","scientificName","identificationQualifier","family","genus","specificEpithet","infraspecificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLongitude","decimalLatitude","occurrenceRemarks","occurrenceID","comments","bibliographicCitation","acceptedNameUsage"
"1","","","HURB","17316","Casearia bahiensis Sleumer","","Salicaceae","Casearia","bahiensis","","Sleumer","","","","","","Almeida, T.","2016","3","21","brazil","Bahia","Salvador","Ipitanga; APA Joanes","-38.51033","-12.871185","P107 A2","","centroide mpo","GBIF","Casearia bahiensis Sleumer"
"2","","","HURB","14537","Casearia bahiensis Sleumer","","Salicaceae","Casearia","bahiensis","","Sleumer","","","","697","","Victor Jr., V.","2013","1","18","brazil","Bahia","Ibirapitanga","Serra do Papuã; APA do Pratigi","-39.430695","-14.061146","","","centroide mpo","GBIF","Casearia bahiensis Sleumer"
"3","","","HURB","14539","Casearia bahiensis Sleumer","","Salicaceae","Casearia","bahiensis","","Sleumer","","","","2191","","Victor Jr., V.","2013","1","16","brazil","Bahia","Ibirapitanga","Serra do Papuã; APA do Pratigi","-39.430695","-14.061146","","","centroide mpo","GBIF","Casearia bahiensis Sleumer"
"4","","","HURB","14540","Casearia bahiensis Sleumer","","Salicaceae","Casearia","bahiensis","","Sleumer","","","","2110","","Victor Jr., V.","2013","1","16","brazil","Bahia","Ibirapitanga","Serra do Papuã; APA do Pratigi","-39.430695","-14.061146","","","centroide mpo","GBIF","Casearia bahiensis Sleumer"
"5","","","HURB","14541","Casearia bahiensis Sleumer","","Salicaceae","Casearia","bahiensis","","Sleumer","","","","368","","Victor Jr., V.","2013","1","9","brazil","Bahia","Ibirapitanga","Serra do Papuã; APA do Pratigi","-39.430695","-14.061146","","","centroide mpo","GBIF","Casearia bahiensis Sleumer"
"6","","","HURB","14536","Casearia bahiensis Sleumer","","Salicaceae","Casearia","bahiensis","","Sleumer","","","","2266","","Victor Jr., V.","2013","1","19","brazil","Bahia","Ibirapitanga","Serra do Papuã; APA do Pratigi","-39.430695","-14.061146","","","centroide mpo","GBIF","Casearia bahiensis Sleumer"
"7","","","HURB","14538","Casearia bahiensis Sleumer","","Salicaceae","Casearia","bahiensis","","Sleumer","","","","1919","","Victor Jr., V.","2013","1","16","brazil","Bahia","Ibirapitanga","Serra do Papuã; APA do Pratigi","-39.430695","-14.061146","","","centroide mpo","GBIF","Casearia bahiensis Sleumer"
"8","","","MAC","51877","Casearia bahiensis Sleumer","","Salicaceae","Casearia","bahiensis","","Sleumer","F.A.A.Nepomuceno","2017-01-30","","146","","R.C.Pinto; A.S.Costa; J.M.Ferreira","2011","3","12","brazil","Alagoas","Flexeiras","Fazenda São João.","-35.763551","-9.2455","Árvore ca. 15m de altura.; Mata Atlântica","","centroide mpo (0)","GBIF","Casearia bahiensis Sleumer"
"9","","","HUEFS","188887","Casearia bahiensis Sleumer","","Salicaceae","Casearia","bahiensis","","Sleumer","","","","3020","","Matos, E.N.de","2011","6","3","brazil","Bahia","Canavieiras","Jararaca (próximo da Fazenda Catita)","-39.119706","-15.653471","Restinga. Floresta.","","centroide mpo","GBIF","Casearia bahiensis Sleumer"
"10","","","RB","RB00703084","Casearia bahiensis Sleumer","","Salicaceae","Casearia","bahiensis","","Sleumer","R. Marquete","","","901","","R. de O. Perdiz,; P. Leitman, J. Paixão, L.C. Gomes & L. Daneu","2011","9","10","brazil","Bahia","Arataca","PARNA . Fazenda de Seu Artur, vertente da serra ao lado do riacho que corta a propriedade. Parque Nacional de Serra das Lontras","-39.390833","-15.196667","Arbusto. Folhas fortemente discolores. Flores esverdeadas","","original coordinates","GBIF","Casearia bahiensis Sleumer"
