"","modified","institutionCode","collectionCode","catalogNumber","scientificName","family","genus","specificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLongitude","decimalLatitude","occurrenceRemarks","occurrenceID","bibliographicCitation","acceptedNameUsage","identificationQualifier","infraspecificEpithet","fieldNumber","comments"
"1","2017-04-03T09:01:23.000+0000","JBRJ","RB","RB01239669","Allophylus membranifolius Radlk.","Sapindaceae","Allophylus","membranifolius","Radlk.","R. Moura","2017-03-16T00:00:00.000+0000",NA,"796","Luan Silva",2015,10,13,"Brazil","Rio de Janeiro","Itatiaia","Conglomerado 78-1-4-32. UTM: E (546315m) N (7521722m). Fuso do GPS (23K)",NA,NA,"Árvore, com 8 m de altura. Base dilatada. Casca interna rosa e externa marrom, fina, áspera. Flor branca","urn:catalog:JBRJ:RB:1239669",NA,"Allophylus membranifolius Radlk.",NA,NA,NA,NA
"2",NA,"IAC","IAC","56465","Allophylus membranifolius Radlk.","Sapindaceae","Allophylus","membranifolius","Radlk.","A.C.O. Souza; L.C. Bernacci; R. Belinelo",NA,NA,"127","A.C.O. Souza; L.C. Bernacci; R. Belinelo",2011,1,18,"Brazil","São Paulo","Ubatuba","Parque Estadual da Serra do Mar, Núcleos Santa Virgínia/Picinguaba, trilha da Pipoca",-45.109914,-23.360372,NA,"BRA:IAC:IAC:0000056465",NA,"Allophylus membranifolius Radlk.",NA,NA,NA,NA
"3",NA,"IAC","IAC","49018","Allophylus membranifolius Radlk.","Sapindaceae","Allophylus","membranifolius","Radlk.","J.A.M.A. Gomes et al.","2007-05-20T00:00:00.000+0000",NA,"373","J.A.M.A. Gomes; L.C. Bernacci; O.A. Santos; S. Santos & F.J. Benedetti",2007,5,20,"Brazil","São Paulo","Ubatuba","Fazenda Capricórnio, Parcela G (Parque Estadual da Serra do Mar, Núcleo Picinguaba)",-45.080223,-23.373498,"subparcela 3, indivíduo G 51","BRA:IAC:IAC:0000049018",NA,"Allophylus membranifolius Radlk.",NA,NA,NA,NA
"4",NA,"Comissão Executiva do Plano da Lavoura Cacaueira (CEPLAC)","CEPEC","122735","Allophylus membranifolius Radlk.","Sapindaceae","Allophylus","membranifolius","Radlk.",NA,NA,NA,"CEPEC","Martini, A.",2004,4,NA,"Brazil","Bahia","Uruçuca","Estrada de Serra Grande para Itacaré. Área do inventário do plano manejo do Parque Estadual da Serra do Conduru. Mata da Área Explorada.",-39.115,-14.499722,"Floresta Ombrófila Densa.","BRA:CEPLAC:CEPEC:0000122735",NA,"Allophylus membranifolius Radlk.",NA,NA,NA,NA
"5",NA,"Universidade Federal de Minas Gerais (UFMG)","BHCB","75990","Allophylus membranifolius Radlk.","Sapindaceae","Allophylus","membranifolius","Radlk.",NA,"2014-06-05T00:00:00.000+0000",NA,"160","Couto, FR",2002,11,21,"Brazil","Minas Gerais","Caratinga","Estação Biológica de Caratinga. Mata do Jaó.",0,0,NA,"BRA:UFMG:BHCB:0000075990",NA,"Allophylus membranifolius Radlk.",NA,NA,NA,NA
"6","2009-05-07T09:01:00.000+0000","MO","MO","100185466","Allophylus membranifolius Radlk.","Sapindaceae","Allophylus","membranifolius","Radlk.","M.S. Ferrucci & G.V. Somner","2006-01-01T00:00:00.000+0000",NA,"Pessoa 706","S.V.A. Pessoa",1994,5,25,"Brazil","Rio de Janeiro",NA,"Silva Jardim, Reserva Biológica de Poço das Antas., Regiao proxima a BR-101, área do aceiro.",NA,NA,NA,"urn:catalog:MO:Tropicos:100185466","http://www.tropicos.org/Specimen/100185466","Allophylus membranifolius Radlk.",NA,NA,NA,NA
"7",NA,"NY","NY","1019428","Allophylus membranifolius Radlk.","Sapindaceae","Allophylus","membranifolius","Radlk.","M. S. Ferrucci","2006-01-01T00:00:00.000+0000",NA,"706","S. de V. A. PessÃ´a",1994,5,25,"Brazil","Rio de Janeiro",NA,"Reserva BiolÃ³gica de PoÃ§o das Antas, Regiao proxima a BR-101, Ã¡rea do aceiro.",-42.3918119950037,-22.6546564621181,NA,"348205b3-a6e9-44de-9085-b8ad8b0225c7",NA,"Allophylus membranifolius Radlk.",NA,NA,NA,NA
"8",NA,"IPA","IPA","64160","Allophylus membranifolius Radlk.","Sapindaceae","Allophylus","membranifolius","Radlk.","Coelho, R.L.G.","2014-04-24T00:00:00.000+0000",NA,"56076","Hatschbach, G.; Hatschbach, M.; Silva, J.M.; Hatschbach, M.; Silva, J.M.",1991,11,11,"Brazil","Tocantins","Paranã","Rio Paranã, balsa para Palmeirópolis.",0,0,"Arbusto ca. 3m de altura. Mata de galeria.","BRA:IPA:IPA:0000064160",NA,"Allophylus membranifolius Radlk.",NA,NA,NA,NA
"9",NA,"Escola Superior de Agricultura Luiz de Queiroz, ESALQ","ESA","ESA111871","Allophylus membranifolius Radlk.","Sapindaceae","Allophylus","membranifolius","Radlk.","Coelho, R.L.G.","2014-01-01T00:00:00.000+0000",NA,"603","Andreata, R.H.P.",1983,11,16,"Brazil","Rio de Janeiro","Niterói",NA,NA,NA,NA,"BRA:ESALQ:ESA:0ESA111871",NA,"Allophylus membranifolius Radlk.",NA,NA,NA,NA
"10",NA,"IF","SPSF","32582","Allophylus membranifolius Radlk.","Sapindaceae","Allophylus","membranifolius","Radlk.",NA,NA,NA,NA,"F.C.Hoehne",1928,11,2,"Brazil","Pr","Ponta Grossa",NA,NA,NA,"COLETA: XLS: SPSFAntigo;","BRA:IF:SPSF:0000032582",NA,"Allophylus membranifolius Radlk.",NA,NA,NA,NA
