"","modified","institutionCode","collectionCode","catalogNumber","scientificName","identificationQualifier","family","genus","specificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLongitude","decimalLatitude","occurrenceRemarks","occurrenceID","bibliographicCitation","acceptedNameUsage","infraspecificEpithet","comments","FID","new_Lat","new_Lon","notes"
"1","2018-04-26T14:11:26.000+0000","JBRJ","RB","RB01385460","Cupania impressinervia Acev.-Rodr.",NA,"Sapindaceae","Cupania","impressinervia","Acev.-Rodr.","M.Figueira e B.Schindler","2017-09-22T00:00:00.000+0000",NA,"IFN659",NA,"M.Figueira; B.Schindler, R.A.Pontes e J.R.Lima",2017,9,22,"brazil","paraiba","areia","Nas proximidades do PB66E (conglomerado do Inventário Florestal Nacional). Beira de estrada",-35.686111,-7.017222,NA,"urn:catalog:JBRJ:RB:1385460",NA,"Cupania impressinervia Acev.-Rodr.",NA,NA,4586,-7.017222,-35.686111,"original coordinates"
"2",NA,"IPA","IPA","80304","Cupania impressinervia Acev.-Rodr.",NA,"Sapindaceae","Cupania","impressinervia","Acev.-Rodr.","Schindler, B.; Figueira, M.","2017-09-22T00:00:00.000+0000",NA,"659",NA,"Figueira, M.; et al.; et al.",2017,9,22,"brazil","paraiba","areia","Nas proximidades do PB66E.",-35.686111,-7.017222,"Conglomerado do Inventário Florestal Nacional.","BRA:IPA:IPA:0000080304",NA,"Cupania impressinervia Acev.-Rodr.",NA,NA,4586,-7.017222,-35.686111,"original coordinates"
"3","2017-01-11T08:34:03.000+0000","JBRJ","RB","RB01212708","Cupania impressinervia Acev.-Rodr.",NA,"Sapindaceae","Cupania","impressinervia","Acev.-Rodr.",NA,NA,NA,"190",NA,"K.S. Valdemarin; T.B. Flores; G.D. Colletta; F.S. Scaravelli",2016,10,3,"brazil","espirito santo","conceicao da barra","Estrada entre Guriri e Farol",NA,NA,NA,"urn:catalog:JBRJ:RB:1212708",NA,"Cupania impressinervia Acev.-Rodr.",NA,NA,2736,-18.445026,-18.445026,"centroide mpo"
"4",NA,"Universidade Federal de Sergipe, UFS","ASE","37189","Cupania impressinervia Acev.-Rodr.",NA,"Sapindaceae","Cupania","impressinervia","Acev.-Rodr.","Santana, JP","2015-05-01T00:00:00.000+0000",NA,"509",NA,"Santana, JP",2015,3,8,"brazil","sergipe","itaporanga d'ajuda","Mata Rio Fundo",-37.1944,-11.0429,"Árvore, 7m, inflorescência amarelada. Folhas compostas, alternas. Coletada na borda da floresta. Solo arenoso.; Mata Atlântica.","BRA:UFS:ASE:0000037189",NA,"Cupania impressinervia Acev.-Rodr.",NA,NA,3733,-11.0429,-37.1944,"original coordinates"
"5",NA,"Universidade Federal Rural de Pernambuco, UFRPE","HST","21509","Cupania impressinervia Acev.-Rodr.",NA,"Sapindaceae","Cupania","impressinervia","Acev.-Rodr.","A.M.Miranda","2015-09-01T00:00:00.000+0000",NA,"s.n.",NA,"J.P.G.Silva",2015,5,20,"brazil","pernambuco","sao lourenco da mata","mata do Camurim",NA,NA,"Arvoreta ca. 4,5 m alt.; CAP 36 cm; casca morta fina de coloração cinza clara; casca viva bege escuro, com oxidação rápida e sem exsudação; inflorescência em botões de coloração ferruginea.","BRA:UFRPE:HST:0000021509",NA,"Cupania impressinervia Acev.-Rodr.",NA,NA,4263,-8.023366,-8.023366,"centroide mpo"
"6",NA,"UEFS","HUEFS","210300","Cupania impressinervia Acev.-Rodr.",NA,"Sapindaceae","Cupania","impressinervia","Acev.-Rodr.",NA,NA,NA,"HST21509",NA,"Soares, J.P.G.",2015,5,20,"brazil","pernambuco","sao lourenco da mata","Mata do Camurim.",NA,NA,"Mata","BRA:UEFS:HUEFS:0000210300",NA,"Cupania impressinervia Acev.-Rodr.",NA,NA,4263,-8.023366,-8.023366,"centroide mpo"
"7","2017-04-03T09:24:01.000+0000","JBRJ","RB","RB01301976","Cupania impressinervia Acev.-Rodr.",NA,"Sapindaceae","Cupania","impressinervia","Acev.-Rodr.","A.M. Miranda",NA,NA,NA,NA,"J.P.G. Soares",2015,5,20,"brazil","pernambuco","sao lourenco da mata","Mata do Camurim",NA,NA,NA,"urn:catalog:JBRJ:RB:1301976",NA,"Cupania impressinervia Acev.-Rodr.",NA,NA,4263,-8.023366,-8.023366,"centroide mpo"
"8",NA,"Universidade Federal do Ceará, UFC","EAC","58844","Cupania impressinervia Acev.-Rodr.",NA,"Sapindaceae","Cupania","impressinervia","Acev.-Rodr.","Castro, A.S.F.","2015-10-14T00:00:00.000+0000",NA,"2887",NA,"Castro, A.S.F.",2015,9,14,"brazil","ceara","aratuba","Camará.",0,0,"Árvore.; Mata úmida.","BRA:UFC:EAC:0000058844",NA,"Cupania impressinervia Acev.-Rodr.",NA,NA,5155,-4.420049,-39.026921,"centroide mpo (0)"
"9",NA,"Universidade Federal de Sergipe, UFS","ASE","35124","Cupania impressinervia Acev.-Rodr.",NA,"Sapindaceae","Cupania","impressinervia","Acev.-Rodr.","Santana, JP","2015-12-01T00:00:00.000+0000",NA,"385",NA,"Santana, JP",2015,11,7,"brazil","sergipe","itaporanga d'ajuda","Mata Rio Fundo",-37.1944,-11.0429,"Árvore, 7m, frutos imaturos marrons.; Mata Atlântica.","BRA:UFS:ASE:0000035124",NA,"Cupania impressinervia Acev.-Rodr.",NA,NA,3733,-11.0429,-37.1944,"original coordinates"
"10",NA,"Universidade Federal de Sergipe, UFS","ASE","36608","Cupania impressinervia Acev.-Rodr.",NA,"Sapindaceae","Cupania","impressinervia","Acev.-Rodr.","Santos Neto, AM","2016-01-20T00:00:00.000+0000",NA,"45",NA,"Santos Neto, AM; Souza, JO; Nunes, SS; Felix, GJ",2015,12,21,"brazil","sergipe","santo amaro das brotas","PA Celso Furtado, Área de reserva legal do assentamento Celso Furtado.",-37.031,-10.5259,"Árvore, 5 metros de altura, frutos marrons.; Mata Atlântica","BRA:UFS:ASE:0000036608",NA,"Cupania impressinervia Acev.-Rodr.",NA,NA,3775,-10.5259,-37.031,"original coordinates"
