"","modified","institutionCode","collectionCode","catalogNumber","scientificName","family","genus","specificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLongitude","decimalLatitude","occurrenceRemarks","occurrenceID","bibliographicCitation","acceptedNameUsage"
"1","2017-10-15T11:00:20.000+0000","JBRJ","RB","RB01088598","Pouteria freitasii T.D.Penn.","Sapotaceae","Pouteria","freitasii","T.D.Penn.","D.M. Torres et M.P.P. do Nascimento","2014-01-01T00:00:00.000+0000","191",NA,"D.M. Torres; M.P.P. do Nascimento; R. Nascimento; A.E. Brina",2014,1,22,"Brazil","Rondônia","Porto Velho","Ilha de Pedras, Módulo Pedra T2 5000.",-64.081945,-8.821389,"Árvore de terra firme; fruto verde; látex cor creme","urn:catalog:JBRJ:RB:1088598",NA,"Pouteria freitasii T.D.Penn."
"2",NA,"NY","NY","02713582","Pouteria freitasii T.D.Penn.","Sapotaceae","Pouteria","freitasii","T.D.Penn.","D. M. Torres; D. Nascimento","2014-01-01T00:00:00.000+0000","191",NA,"D. M. Torres",2014,1,22,"Brazil","RondÃ´nia",NA,"Ilha de Pedras: MÃ³dulo Pedra-T2 5000",-64.0819,-8.8214,NA,"bc1d134f-472d-42ea-8cc5-abf2f555a771",NA,"Pouteria freitasii T.D.Penn."
"3","2014-09-26T00:00:00.000+0000","Instituto Nacional de Pesquisas da Amazônia (INPA)","Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)","253603","Pouteria freitasii T.D.Penn.","Sapotaceae","Pouteria","freitasii","T.D.Penn.",NA,NA,"16356",NA,"Mike Hopkins",2012,8,23,"Brazil","Rondônia",NA,"UHE Jirau, Módulo Caiçara, parcela 4 (margem direita do rio Madeira).",-64.8,-9.445,NA,"urn:catalog:inpa:herbarium:235245",NA,"Pouteria freitasii T.D.Penn."
"4","2017-10-14T13:30:11.000+0000","JBRJ","RB","RB00792458","Pouteria freitasii T.D.Penn.","Sapotaceae","Pouteria","freitasii","T.D.Penn.",NA,NA,"16356",NA,"G.P. Silva; et al",2012,8,23,"Brazil","Rondônia","Porto Velho","Módulo Caiçara, parcela 4 (margem direita do rio Madeira).",-64.8025,-9.445,"Árvore com cerca de 28m de altura. Botões florais ferrugíneo. Ocasional","urn:catalog:JBRJ:RB:792458",NA,"Pouteria freitasii T.D.Penn."
"5","2014-09-26T00:00:00.000+0000","Instituto Nacional de Pesquisas da Amazônia (INPA)","Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)","230309","Pouteria freitasii T.D.Penn.","Sapotaceae","Pouteria","freitasii","T.D.Penn.","Zartman, C.E.","2006-01-01T00:00:00.000+0000","5164",NA,"Mike Hopkins",2006,1,25,"Brazil","Amazonas",NA,"Projeto Dinâmica Biológica de Fragmentos Florestais, Km 37",NA,NA,"Arvore de terra firme com frutos","urn:catalog:inpa:herbarium:210494",NA,"Pouteria freitasii T.D.Penn."
"6","2014-09-26T00:00:00.000+0000","Instituto Nacional de Pesquisas da Amazônia (INPA)","Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)","233065","Pouteria freitasii T.D.Penn.","Sapotaceae","Pouteria","freitasii","T.D.Penn.",NA,NA,"951",NA,"Mike Hopkins",2003,1,15,"Brazil","Amazonas",NA,"Reserva Florestal Adolpho Ducke., Rodovia Manaus-Itacoatiara, km 26. Trilha L-O4, km 3.5. Solo muito argiloso.",-59.93,-2.949478,NA,"urn:catalog:inpa:herbarium:215676",NA,"Pouteria freitasii T.D.Penn."
"7",NA,"Instituto Federal de Educação, Ciência e Tecnologia (IFAM)","EAFM","12741","Pouteria freitasii T.D.Penn.","Sapotaceae","Pouteria","freitasii","T.D.Penn.",NA,NA,"759",NA,"Castilho, C.V.; Pereira, E da C; Souza, S.S. de & Mello, A.",2002,11,1,"Brazil","Amazonas","Manaus","Reserva Florestal Adolfo Ducke, Rodovia Manaus-Itacoatiara, km 26. Trilha L-O5, km 4.5. Solo muito argiloso.",-59.923787,-2.956994,"Árvore de dossel. Base reta. Ritidoma castanho, fissurado. Exsudato branco. DAP:40.2 cm. Botão verde-claro, com pilosidade ferrugínea. ; DE","BRA:IFAM - CMZL:EAFM:0000012741",NA,"Pouteria freitasii T.D.Penn."
"8","2014-09-26T00:00:00.000+0000","Instituto Nacional de Pesquisas da Amazônia (INPA)","Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)","233026","Pouteria freitasii T.D.Penn.","Sapotaceae","Pouteria","freitasii","T.D.Penn.",NA,NA,"759",NA,"Mike Hopkins",2002,11,1,"Brazil","Amazonas",NA,"Reserva Florestal Adolpho Ducke., Rodovia Manaus-Itacoatiara, km 26. Trilha L-O5, km 4.5. Solo muito argiloso.",-59.92,-2.956994,NA,"urn:catalog:inpa:herbarium:215558",NA,"Pouteria freitasii T.D.Penn."
"9","2014-09-26T00:00:00.000+0000","Instituto Nacional de Pesquisas da Amazônia (INPA)","Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)","233050","Pouteria freitasii T.D.Penn.","Sapotaceae","Pouteria","freitasii","T.D.Penn.",NA,NA,"282",NA,"Mike Hopkins",2002,12,7,"Brazil","Amazonas",NA,"Reserva Florestal Adolfo Ducke, Rodovia Manaus-Itacoatiara, km 26. Trilha L-O4, km 5.5.",-59.55,-2.5648,NA,"urn:catalog:inpa:herbarium:215613",NA,"Pouteria freitasii T.D.Penn."
"10","2014-09-26T00:00:00.000+0000","Instituto Nacional de Pesquisas da Amazônia (INPA)","Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)","232842","Pouteria freitasii T.D.Penn.","Sapotaceae","Pouteria","freitasii","T.D.Penn.",NA,NA,"142",NA,"Mike Hopkins",2001,10,5,"Brazil","Amazonas",NA,"Reserva Florestal Adolpho Ducke., Rodovia Manaus-Itacoatiara, km 26. Trilha L-O7, km 3.5. Solo muito argiloso.",-59.93,-2.976156,NA,"urn:catalog:inpa:herbarium:215241",NA,"Pouteria freitasii T.D.Penn."
