"","modified","institutionCode","collectionCode","catalogNumber","scientificName","identificationQualifier","family","genus","specificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLongitude","decimalLatitude","occurrenceRemarks","occurrenceID","bibliographicCitation","acceptedNameUsage"
"1",NA,"NY","NY","2200384","Siparuna glycycarpa (Ducke) S.S.Renner & Hausner",NA,"Siparunaceae","Siparuna","glycycarpa","(Ducke) S.S.Renner & Hausner",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,"1403c01a-ca41-4c5a-8f6b-362198697d74",NA,"Siparuna glycycarpa (Ducke) S.S.Renner & Hausner"
"2",NA,"NY","NY","2210197","Siparuna glycycarpa (Ducke) S.S.Renner & Hausner",NA,"Siparunaceae","Siparuna","glycycarpa","(Ducke) S.S.Renner & Hausner",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,"72e11d83-dc77-408b-9fe3-029170a1816d",NA,"Siparuna glycycarpa (Ducke) S.S.Renner & Hausner"
"3",NA,"NY","NY","2210196","Siparuna glycycarpa (Ducke) S.S.Renner & Hausner",NA,"Siparunaceae","Siparuna","glycycarpa","(Ducke) S.S.Renner & Hausner",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,"2f33052e-294a-44bb-a34f-dfafa298b47a",NA,"Siparuna glycycarpa (Ducke) S.S.Renner & Hausner"
"4",NA,"NY","NY","2200383","Siparuna glycycarpa (Ducke) S.S.Renner & Hausner",NA,"Siparunaceae","Siparuna","glycycarpa","(Ducke) S.S.Renner & Hausner",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,"f6a5ce66-2f60-4760-bcae-e66c376354a2",NA,"Siparuna glycycarpa (Ducke) S.S.Renner & Hausner"
"5",NA,"NY","NY","2200385","Siparuna glycycarpa (Ducke) S.S.Renner & Hausner",NA,"Siparunaceae","Siparuna","glycycarpa","(Ducke) S.S.Renner & Hausner",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,"5313e234-bd98-47bd-abb1-29e5d43a2617",NA,"Siparuna glycycarpa (Ducke) S.S.Renner & Hausner"
"6","2/06/17 16:16","INPA","INPA","117792","Siparuna glycycarpa",NA,"Siparunaceae","Siparuna",NA,"(Ducke) S.S.Renner","Lima, J",NA,NA,NA,NA,NA,NA,NA,NA,"?",NA,NA,NA,NA,NA,NA,NA,NA,"Siparuna glycycarpa (Ducke) S.S.Renner"
"7","2/06/17 16:16","INPA","INPA","168575","Siparuna glycycarpa",NA,"Siparunaceae","Siparuna",NA,"(Ducke) S.S.Renner",NA,NA,NA,NA,NA,NA,NA,NA,NA,"?",NA,NA,NA,NA,NA,NA,NA,NA,"Siparuna glycycarpa (Ducke) S.S.Renner"
"8","2014-09-26T00:00:00.000+0000","Instituto Nacional de Pesquisas da Amazônia (INPA)","Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)","168575","Siparuna glycycarpa (Ducke) S.S.Renner & Hausner",NA,"Siparunaceae","Siparuna","glycycarpa","(Ducke) S.S.Renner & Hausner",NA,NA,NA,"62610",NA,"Mike Hopkins",1986,8,24,NA,NA,NA,NA,NA,NA,NA,"urn:catalog:inpa:herbarium:35073",NA,"Siparuna glycycarpa (Ducke) S.S.Renner & Hausner"
"9","2014-09-26T00:00:00.000+0000","Instituto Nacional de Pesquisas da Amazônia (INPA)","Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)","117792","Siparuna glycycarpa (Ducke) S.S.Renner & Hausner",NA,"Siparunaceae","Siparuna","glycycarpa","(Ducke) S.S.Renner & Hausner","Lima, J.","2002-03-11T00:00:00.000+0000",NA,"46",NA,"Mike Hopkins",1977,11,17,NA,NA,NA,NA,NA,NA,NA,"urn:catalog:inpa:herbarium:193786",NA,"Siparuna glycycarpa (Ducke) S.S.Renner & Hausner"
"10",NA,"IAC","IAC","15853","Siparuna glycycarpa (Ducke) S.S.Renner & Hausner",NA,"Siparunaceae","Siparuna","glycycarpa","(Ducke) S.S.Renner & Hausner","Elton John De Lírio","2016-11-29T00:00:00.000+0000",NA,"24024",NA,"R.L. Fróes; R.L. Fróes",1949,1,29,"Argentina","Amazonas","São Paulo de Olivença","Camatian",-69.04659,-3.47705,NA,"BRA:IAC:IAC:0000015853",NA,"Siparuna glycycarpa (Ducke) S.S.Renner & Hausner"
"11",NA,NA,"Botany","U.1721622","Bracteanthus glycycarpus Ducke",NA,"Siparunaceae","Siparuna","glycycarpus","Ducke",NA,NA,NA,NA,NA,"Ducke A",NA,NA,NA,"unknown or invalid",NA,NA,NA,NA,NA,NA,"http://data.biodiversitydata.nl/naturalis/specimen/U.1721622",NA,"Bracteanthus glycycarpus Ducke"
"12",NA,NA,"Botany","U.1721621","Bracteanthus glycycarpus Ducke",NA,"Siparunaceae","Siparuna","glycycarpus","Ducke",NA,NA,NA,NA,NA,"Ducke A",NA,NA,NA,"unknown or invalid",NA,NA,NA,NA,NA,NA,"http://data.biodiversitydata.nl/naturalis/specimen/U.1721621",NA,"Bracteanthus glycycarpus Ducke"
"13","2/06/17 15:57","INPA","INPA",NA,"Acioa longipendula",NA,"Chrysobalanaceae","Acioa",NA,"(Pilg.) Sothers & Prance","Prance, GT",NA,NA,NA,NA,NA,NA,NA,NA,"Brasil","Amazonas",NA,"Distrito Agropecu��rio, ZF3., Distrito Agropecu��rio da Suframa, Rod. BR-174, Km 64 depois 24 Km Leste na ZF-3, Fazenda Esteio, Igarap̩ do Acampamento Colosso",NA,NA,NA,NA,NA,"Acioa longipendula (Pilg.) Sothers & Prance"
"14","2/06/17 15:44","INPA","INPA",NA,"Corythophora alta",NA,"Lecythidaceae","Corythophora",NA,"R.Knuth",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Brasil","Roraima",NA,"Parque Nacional do Viru��, Trilha Suma̼ma",NA,NA,NA,NA,NA,"Corythophora alta R.Knuth"
"15","2/06/17 16:16","INPA","INPA",NA,"Duguetia megalocarpa",NA,"Annonaceae","Duguetia",NA,"Maas","Maas, PJM",NA,NA,NA,NA,NA,NA,NA,NA,"Brasil","Amazonas",NA,"Reserva Florestal Adolfo Ducke",NA,NA,NA,NA,NA,"Duguetia megalocarpa Maas"
"16","2/06/17 15:45","INPA","INPA",NA,"Eschweilera pseudodecolorans",NA,"Lecythidaceae","Eschweilera",NA,"S.A.Mori","Mori, SA",NA,NA,NA,NA,NA,NA,NA,NA,"Brasil","Amazonas",NA,"Reserva Florestal Adolfo Ducke, Igarap̩ Ipiranga. Do plat̫, descendo para o igarap̩.",NA,NA,NA,NA,NA,"Eschweilera pseudodecolorans S.A.Mori"
"17","2/06/17 16:17","INPA","INPA",NA,"Guatteria friesiana",NA,"Annonaceae","Guatteria",NA,"(W.A.Rodrigues) Erkens & Maas","Maas, PJM; Miralha, JMS",NA,NA,NA,NA,NA,NA,NA,NA,"Brasil","Amazonas",NA,"Reserva Florestal Adolfo Ducke",NA,NA,NA,NA,NA,"Guatteria friesiana (W.A.Rodrigues) Erkens & Maas"
"18","2/06/17 16:17","INPA","INPA",NA,"Guatteria friesiana",NA,"Annonaceae","Guatteria",NA,"(W.A.Rodrigues) Erkens & Maas","Maas, PJM; Miralha, JMS",NA,NA,NA,NA,NA,NA,NA,NA,"Brasil","Amazonas",NA,"Reserva Florestal Adolfo Ducke, Na beira da estrada que vai para a torre.",NA,NA,NA,NA,NA,"Guatteria friesiana (W.A.Rodrigues) Erkens & Maas"
"19","2/06/17 15:45","INPA","INPA",NA,"Gustavia elliptica",NA,"Lecythidaceae","Gustavia",NA,"S.A.Mori",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Brasil","Amazonas",NA,"AM-1, Km 150, picada 18 a 1100 m da estrada.",NA,NA,NA,NA,NA,"Gustavia elliptica S.A.Mori"
"20","2/06/17 16:17","INPA","INPA",NA,"Malmea manausensis",NA,"Annonaceae","Malmea",NA,"Maas & J.M.S.Miralha",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Brasil","Amazonas",NA,"Reserva Florestal Adolfo Ducke, Reserva Florestal Ducke",NA,NA,NA,NA,NA,"Malmea manausensis Maas & J.M.S.Miralha"
"21","2/06/17 16:06","INPA","INPA",NA,"Meriania aracaensis",NA,"Melastomataceae","Meriania",NA,"Wurdack","Wurdack, JJ",NA,"isotype",NA,NA,NA,NA,NA,NA,"Brasil","Amazonas",NA,"Serra do Arac��, Plat̫ da Serra Arac��, parte SE da Serra Norte",NA,NA,NA,NA,NA,"Meriania aracaensis Wurdack"
"22","2/06/17 16:15","INPA","INPA",NA,"Ocotea obliqua",NA,"Lauraceae","Ocotea",NA,"Vicent.","Werff, HH van der",NA,NA,NA,NA,NA,NA,NA,NA,"Brasil",NA,NA,"Manaus-Caracara�_, BR-174, km 110",NA,NA,NA,NA,NA,"Ocotea obliqua Vicent."
"23","2/06/17 15:41","INPA","INPA",NA,"Pachira faroensis",NA,"Bombacaceae","Pachira",NA,"(Ducke) W.S.Alverson","Esteves, GL",NA,NA,NA,NA,NA,NA,NA,NA,"Brasil","Amazonas",NA,"Reserva Florestal Adolfo Ducke",NA,NA,NA,NA,NA,"Pachira faroensis (Ducke) W.S.Alverson"
