"","scientificName","new_Lon","new_Lat","municipality","county.shape","status"
"1","Aureliana tomentosa Sendtn.",-49.36,-26.233333,"sao bento do sul","sao bento do sul","Ok"
"2","Aureliana tomentosa Sendtn.",-44.0993,-22.5732,"barra mansa","barra mansa","Ok"
"3","Aureliana tomentosa Sendtn.",-43.9871,-22.5971,"pirai","pirai","Ok"
"4","Aureliana tomentosa Sendtn.",-44.3278,-22.4887,"barra mansa","barra mansa","Ok"
"5","Aureliana tomentosa Sendtn.",-43.526838,-21.45841,"santos dumont","santos dumont","Ok"
"6","Aureliana tomentosa Sendtn.",-43.46587,-21.745758,"juiz de fora","juiz de fora","Ok"
"7","Aureliana tomentosa Sendtn.",-43.46587,-21.745758,"juiz de fora","juiz de fora","Ok"
"8","Aureliana tomentosa Sendtn.",-40.514167,-19.351944,"marilandia","marilandia","Ok"
"9","Aureliana tomentosa Sendtn.",-45.616667,-25.45,"paraty","not found","outside Brazil"
"10","Aureliana tomentosa Sendtn.",-45.733333,-24.833333,"paraty","not found","outside Brazil"
"11","Aureliana tomentosa Sendtn.",-40.804004,-20.085432,"santa maria de jetiba","santa maria de jetiba","Ok"
"12","Aureliana tomentosa Sendtn.",-40.5375,-19.311667,"governador lindemberg","colatina","outside municipality"
"13","Aureliana tomentosa Sendtn.",-43.887694,-21.799694,"lima duarte","lima duarte","Ok"
"14","Aureliana tomentosa Sendtn.",-40.572222,-19.870278,"santa teresa","santa teresa","Ok"
"15","Aureliana tomentosa Sendtn.",-44.75,-22.366667,NA,"itamonte","original municipality not informed"
"16","Aureliana tomentosa Sendtn.",-40.635175,-19.877577,"santa teresa","santa teresa","Ok"
"17","Aureliana tomentosa Sendtn.",-40.635175,-19.877577,"santa teresa","santa teresa","Ok"
"18","Aureliana tomentosa Sendtn.",-19.877577,-19.877577,"santa teresa","not found","outside Brazil"
"19","Aureliana tomentosa Sendtn.",-40.635175,-19.877577,"santa teresa","santa teresa","Ok"
"20","Aureliana tomentosa Sendtn.",-40.635175,-19.877577,"santa teresa","santa teresa","Ok"
"21","Aureliana tomentosa Sendtn.",-19.877577,-19.877577,"santa teresa","not found","outside Brazil"
"22","Aureliana tomentosa Sendtn.",-40.071853011446,-19.3949002236543,NA,"linhares","original municipality not informed"
"23","Aureliana tomentosa Sendtn.",-40.635175,-19.877577,"santa teresa","santa teresa","Ok"
"24","Aureliana tomentosa Sendtn.",-45.125,-23.351667,"sao luis do paraitinga","sao luis do paraitinga","Ok"
"25","Aureliana tomentosa Sendtn.",-22.689201,-22.689201,"nova iguacu","not found","outside Brazil"
"26","Aureliana tomentosa Sendtn.",-43.887694,-21.799694,"lima duarte","lima duarte","Ok"
"27","Aureliana tomentosa Sendtn.",-43.46587,-21.745758,"juiz de fora","juiz de fora","Ok"
"28","Aureliana tomentosa Sendtn.",-19.877577,-19.877577,"santa teresa","not found","outside Brazil"
"29","Aureliana tomentosa Sendtn.",-40.635175,-19.877577,"santa teresa","santa teresa","Ok"
"30","Aureliana tomentosa Sendtn.",-40.635175,-19.877577,"santa teresa","santa teresa","Ok"
"31","Aureliana tomentosa Sendtn.",-40.028138,-19.38214,"linhares","linhares","Ok"
"32","Aureliana tomentosa Sendtn.",-27.585684,-27.585684,"florianopolis","not found","outside Brazil"
"33","Aureliana tomentosa Sendtn.",-28.280894,-28.280894,"orleans","not found","outside Brazil"
"34","Aureliana tomentosa Sendtn.",-40.635175,-19.877577,"santa teresa","santa teresa","Ok"
"35","Aureliana tomentosa Sendtn.",-40.635175,-19.877577,"santa teresa","santa teresa","Ok"
"36","Aureliana tomentosa Sendtn.",-19.877577,-19.877577,"santa teresa","not found","outside Brazil"
"37","Aureliana tomentosa Sendtn.",-50.442733,-25.908777,"sao mateus do sul","sao mateus do sul","Ok"
"38","Aureliana tomentosa Sendtn.",-40.635175,-19.877577,"santa teresa","santa teresa","Ok"
"39","Aureliana tomentosa Sendtn.",-40.635175,-19.877577,"santa teresa","santa teresa","Ok"
"40","Aureliana tomentosa Sendtn.",-19.877577,-19.877577,"santa teresa","not found","outside Brazil"
"41","Aureliana tomentosa Sendtn.",-19.877577,-19.877577,"santa teresa","not found","outside Brazil"
"42","Aureliana tomentosa Sendtn.",-22.393567,-22.393567,"petropolis","not found","outside Brazil"
"43","Aureliana tomentosa Sendtn.",-40.028138,-19.38214,"linhares","linhares","Ok"
"44","Aureliana tomentosa Sendtn.",-48.6622616743931,-26.9120047872851,NA,"itajai","original municipality not informed"
"45","Aureliana tomentosa Sendtn.",-43.292939,-21.605118,"coronel pacheco","coronel pacheco","Ok"
"46","Bassovia tomentosa (Sendtn.) Dun.",-23.64989,-23.64989,"sao paulo","not found","outside Brazil"
"47","Bassovia tomentosa (Sendtn.) Dun.",-23.64989,-23.64989,"sao paulo","not found","outside Brazil"
"48","Capsicum tomentosum (Sendtn.) Kuntze",-50.442733,-25.908777,"sao mateus do sul","sao mateus do sul","Ok"
"49","Bassovia tomentosa (Sendtn.) Dun.",-50.080932,-25.14133,"ponta grossa","ponta grossa","Ok"
"50","Aureliana tomentosa Sendtn.",-42.9125,-22.48222,NA,"cachoeiras de macacu","original municipality not informed"
"51","Aureliana tomentosa Sendtn.",-52.8731,-10.8339,NA,"sao jose do xingu","original municipality not informed"
"52","Aureliana tomentosa Sendtn.",-48.524241,-25.525413,"paranagua","paranagua","Ok"
"53","Aureliana tomentosa Sendtn.",-52.864979,-25.054201,"guaraniacu","guaraniacu","Ok"
