"","modified","institutionCode","collectionCode","catalogNumber","scientificName","family","genus","specificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLongitude","decimalLatitude","occurrenceRemarks","occurrenceID","bibliographicCitation","acceptedNameUsage","identificationQualifier","infraspecificEpithet","comments"
"1",NA,"F","Botany","V0125474F","Duckeodendron cestroides Kuhlm.","Solanaceae","Duckeodendron","cestroides","Kuhlm.",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Brazil",NA,NA,NA,-52.8731,-10.8339,NA,"2fdaac61-7b29-4146-bcd4-1baa20fb9a7c",NA,"Duckeodendron cestroides Kuhlm.",NA,NA,NA
"2","2015-09-04T15:57:43.000+0000","MNHN","P","P04526100","Duckeodendron cestroides Kuhlm.","Solanaceae","Duckeodendron","cestroides","Kuhlm.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"http://coldb.mnhn.fr/catalognumber/mnhn/p/p04526100",NA,"Duckeodendron cestroides Kuhlm.",NA,NA,NA
"3",NA,"F","Botany","V0125473F","Duckeodendron cestroides Kuhlm.","Solanaceae","Duckeodendron","cestroides","Kuhlm.",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Brazil",NA,NA,NA,-52.8731,-10.8339,NA,"c37778c3-8cf1-46fc-a038-5571294a8ea2",NA,"Duckeodendron cestroides Kuhlm.",NA,NA,NA
"4",NA,"F","Botany","V0125475F","Duckeodendron cestroides Kuhlm.","Solanaceae","Duckeodendron","cestroides","Kuhlm.",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Brazil",NA,NA,NA,-52.8731,-10.8339,NA,"78bcb768-e11d-485c-95c8-ebb1b43427f2",NA,"Duckeodendron cestroides Kuhlm.",NA,NA,NA
"5",NA,"F","Botany","V0125476F","Duckeodendron cestroides Kuhlm.","Solanaceae","Duckeodendron","cestroides","Kuhlm.",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Brazil",NA,NA,NA,-52.8731,-10.8339,NA,"706777af-5c5d-4880-8013-12c70a639a5b",NA,"Duckeodendron cestroides Kuhlm.",NA,NA,NA
"6","2014-07-22T15:23:20.000+0000","JBRJ","RB","RB00462282","Duckeodendron cestroides Kuhlm.","Solanaceae","Duckeodendron","cestroides","Kuhlm.","G.T. Prance","1975-01-01T00:00:00.000+0000",NA,NA,NA,"G.T. Prance; J.F. Ramos, A.E. Prance, Maria-Jose Ferraroni",1975,7,19,NA,NA,"Indeterminado","Vicinity of Rio Preto da Eva, Manaus-Itacoatiara Km 79. .",NA,NA,"Tree 18m x 20 cm diam; tree I/28. Small buttresses to 50 cm, flowers pale green, fruit with bright orange exocarp, eaten by rodents.","urn:catalog:JBRJ:RB:462282",NA,"Duckeodendron cestroides Kuhlm.",NA,NA,NA
"7",NA,"NY","NY","1291488","Duckeodendron cestroides Kuhlm.","Solanaceae","Duckeodendron","cestroides","Kuhlm.",NA,NA,NA,"1443",NA,"A. Nelson",1935,4,7,"United States of America","Arizona",NA,"Tanque Verde Mountains, Tucson",-110.7372,32.2514,NA,"3f34726b-097d-452b-8883-376b3a668c09",NA,"Duckeodendron cestroides Kuhlm.",NA,NA,NA
"8","2015-04-11T13:57:00.000+0000","S","VascularPlants","S-PLE-E8112","Duckeodendron cestroides Kuhlm.","Solanaceae","Duckeodendron","cestroides","Kuhlm.",NA,NA,NA,"17908",17908,"Ducke",1923,8,18,"Peru",NA,NA,"Peru",NA,NA,"Solanaceae","S:VascularPlants:S-PLE-E8112",NA,"Duckeodendron cestroides Kuhlm.",NA,NA,NA
"9","2015-04-11T13:57:00.000+0000","S","VascularPlants","S-PLE-E8110","Duckeodendron cestroides Kuhlm.","Solanaceae","Duckeodendron","cestroides","Kuhlm.",NA,NA,NA,"19233",19233,"Ducke",1923,NA,NA,"Peru",NA,NA,"Peru",NA,NA,"Solanaceae","S:VascularPlants:S-PLE-E8110",NA,"Duckeodendron cestroides Kuhlm.",NA,NA,NA
"10","2015-04-11T13:57:00.000+0000","S","VascularPlants","S-PLE-E8111","Duckeodendron cestroides Kuhlm.","Solanaceae","Duckeodendron","cestroides","Kuhlm.",NA,NA,NA,"19233",19233,"Ducke",1923,NA,NA,"Peru",NA,NA,"Peru",NA,NA,"Solanaceae","S:VascularPlants:S-PLE-E8111",NA,"Duckeodendron cestroides Kuhlm.",NA,NA,NA
"11","2014-09-26T00:00:00.000+0000","Instituto Nacional de Pesquisas da Amazônia (INPA)","Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)","50384","Duckeodendron cestroides Kuhlm.","Solanaceae","Duckeodendron","cestroides","Kuhlm.",NA,NA,NA,"23554",NA,"Prance, GT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"urn:catalog:inpa:herbarium:240524",NA,"Duckeodendron cestroides Kuhlm.",NA,NA,NA
