"","modified","institutionCode","collectionCode","catalogNumber","scientificName","family","genus","specificEpithet","infraspecificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLongitude","decimalLatitude","occurrenceRemarks","occurrenceID","bibliographicCitation","acceptedNameUsage","identificationQualifier","comments","FID","new_Lat","new_Lon","notes"
"1",NA,"UCS","HUCS","47152","Citharexylum solanaceum Cham.","Verbenaceae","Citharexylum","solanaceum",NA,"Cham.","Gonzatti, F.","2018-03-01T00:00:00.000+0000",NA,"4227",NA,"Gonzatti, F.; Pessi, F.; Panisson, F.; Krieger, V.",2018,3,7,"brazil","rio grande do sul","caxias do sul","Cânion dos Palanquinhos e imediações",-50.833914,-28.899936,"Frutos alaranjados, solo pedregoso, arbusto com ca. 1,5 m.; em beira da mata e do Cânion","BRA:UCS:HUCS:0000047152",NA,"Citharexylum solanaceum Cham.",NA,NA,235,-28.899936,-50.833914,"original coordinates"
"2",NA,"Universidade Regional de Blumenau, FURB","FURB","58521","Citharexylum solanaceum Cham.","Verbenaceae","Citharexylum","solanaceum",NA,"Cham.","Kassner-Filho, A.","2018-04-06T00:00:00.000+0000",NA,"2547",NA,"Kassner-Filho, A.",2018,4,6,"brazil","santa catarina","alfredo wagner",NA,-49.322222,-27.811667,"fruto vermelho","BRA:FURB:FURB:0000058521",NA,"Citharexylum solanaceum Cham.",NA,NA,488,-27.811667,-49.322222,"original coordinates"
"3",NA,"Universidade Federal do Paraná, UFPR","EFC","15518","Citharexylum solanaceum Cham.","Verbenaceae","Citharexylum","solanaceum",NA,"Cham.","Souza, I.","2017-02-17T00:00:00.000+0000",NA,NA,NA,"Souza, I.",2017,2,17,"brazil","parana","curitiba","Capão do Cifloma",NA,NA,"Ávore 10 m, frutos verdes. No chão frutos maduros laranja com pintas, Floresta Ombrófila Mista.","BRA:UFPR:EFC:0000015518",NA,"Citharexylum solanaceum Cham.",NA,NA,875,-25.478163,-25.478163,"centroide mpo"
"4",NA,"UNESC","CRI","11006","Citharexylum solanaceum Cham.","Verbenaceae","Citharexylum","solanaceum",NA,"Cham.","Renato Colares","2017-10-04T00:00:00.000+0000",NA,NA,NA,"Renato Colares",2017,10,4,"brazil","santa catarina","criciuma","UNESC",-49.412222,-28.703889,"Flor branca.","BRA:UNESC:CRI:0000011006",NA,"Citharexylum solanaceum Cham.",NA,NA,295,-28.703889,-49.412222,"original coordinates"
"5",NA,"UEM","HUEM","30026","Citharexylum solanaceum Cham.","Verbenaceae","Citharexylum","solanaceum",NA,"Cham.",NA,NA,NA,"01",NA,"Barizão, O. .B.",2016,3,7,"brazil","sao paulo","campina do monte alegre",NA,-48.477222,-23.591944,"Arbórea; aproximadamente 4-5m de alt.; flor de coloração branca; fruto de coloração vermelha. Coletada em solo do tipo latossolo.","BRA:UEM:HUEM:0000030026",NA,"Citharexylum solanaceum Cham.",NA,NA,1146,-23.591944,-48.477222,"original coordinates"
"6","2018-04-27T11:32:39.000+0000","JBRJ","RB","RB01385713","Citharexylum solanaceum Cham.","Verbenaceae","Citharexylum","solanaceum",NA,"Cham.","Farias, D.M.",NA,NA,"897",NA,"Uller, H.F.; Klitzke, A.R; Bollmann, G.O.",2016,11,23,"brazil","santa catarina","abelardo luz","Papuâ. Papuâ.",-52.200556,-26.64,"frutos verdes","urn:catalog:JBRJ:RB:1385713",NA,"Citharexylum solanaceum Cham.",NA,NA,754,-26.64,-52.200556,"original coordinates"
"7",NA,"Universidade Regional de Blumenau, FURB","FURB","48658","Citharexylum solanaceum Cham.","Verbenaceae","Citharexylum","solanaceum",NA,"Cham.","Oliveira, AA de","2015-10-27T00:00:00.000+0000",NA,"2675",NA,"Oliveira, A.A. de",2015,10,27,"brazil","santa catarina","campo alegre","Bateias de Baixo.",-49.228611,-26.098889,NA,"BRA:FURB:FURB:0000048658",NA,"Citharexylum solanaceum Cham.",NA,NA,806,-26.098889,-49.228611,"original coordinates"
"8",NA,"Universidade Regional de Blumenau, FURB","FURB","50819","Citharexylum solanaceum Cham.","Verbenaceae","Citharexylum","solanaceum",NA,"Cham.","Funez, L.A.","2016-01-01T00:00:00.000+0000",NA,"5065",NA,"Funez, L.A.",2015,11,16,"brazil","santa catarina","sao bento do sul","Linha férrea em Serra Alta.",-49.366111,-26.278889,NA,"BRA:FURB:FURB:0000050819",NA,"Citharexylum solanaceum Cham.",NA,NA,787,-26.278889,-49.366111,"original coordinates"
"9",NA,"Universidade Federal do Paraná, UFPR","EFC","12216","Citharexylum solanaceum Cham.","Verbenaceae","Citharexylum","solanaceum",NA,"Cham.","Vieira, R.S.","2014-01-24T00:00:00.000+0000",NA,"337",NA,"Vieira, R.S.",2014,1,24,"brazil","parana","paranagua","Vila Paraná",NA,NA,"Árvore com aprox. 9 m. na borda da floresta. Com frutos verdes.","BRA:UFPR:EFC:0000012216",NA,"Citharexylum solanaceum Cham.",NA,NA,869,-25.525413,-25.525413,"centroide mpo"
"10",NA,"MBM","MBM","389330","Citharexylum solanaceum Cham.","Verbenaceae","Citharexylum","solanaceum",NA,"Cham.","Cordeiro, J; Felitto, G","2014-05-22T00:00:00.000+0000",NA,"823",NA,"Felitto, G; Ariati, V; Dutra, M; Bianchin, JE; Santos, LM",2014,3,14,"brazil","santa catarina","sao joaquim","Entre Vila Boava e Vila Luizinho",0,0,"Árvore, 6m; frutos maduros vermelhos-alaranjados.; Floresta Ombrófila Mista Montana.","BRA:MBM:MBM:0000389330",NA,"Citharexylum solanaceum Cham.",NA,NA,371,-28.298176,-50.01382,"centroide mpo (0)"
"11",NA,"UFRGS","ICN","193488","Citharexylum solanaceum Cham.","Verbenaceae","Citharexylum","solanaceum",NA,"Cham.","Cordeiro, J; Felitto, G","2014-05-22T00:00:00.000+0000",NA,"823",NA,"Felitto, G; Ariati, V; Dutra, M; Bianchin, JE",2014,3,14,"brazil","santa catarina","sao joaquim","Entre Vila Boava e Vila Luizinho.",0,0,"Árvore,6m; frutos maduros vermelhos-alaranjados.; Floresta Ombrófila Mista Montana.","BRA:UFRGS:ICN:0000193488",NA,"Citharexylum solanaceum Cham.",NA,NA,371,-28.298176,-50.01382,"centroide mpo (0)"
"12",NA,"UDESC","LUSC","1325","Citharexylum solanaceum Cham.","Verbenaceae","Citharexylum","solanaceum",NA,"Cham.","Felitto, G.","2014-05-23T00:00:00.000+0000",NA,"848",NA,"Felitto; G.; Dutra; M.; Czelusniak; B.H.",2014,4,27,"brazil","rio grande do sul","bom jesus","Vila Santo Inácio.",NA,NA,NA,"BRA:UDESC:LUSC:0000001325",NA,"Citharexylum solanaceum Cham.",NA,NA,318,-28.597987,-28.597987,"centroide mpo"
"13",NA,"IF","SPSF","49281","Citharexylum solanaceum Cham.","Verbenaceae","Citharexylum","solanaceum",NA,"Cham.","G.A.D.C.Franco","2015-01-19T00:00:00.000+0000",NA,"86",NA,"F. Periotto & R.Cielo-Filho",2014,11,20,"brazil","parana","matelandia","Sítio do Sr. Raimundo Rissardi",-53.957222,-25.299167,"COLETA: Árvore, 6m, flor branca, odor forte agradável.; GEOGRAFIA: Floresta Estacional Semidecidual, Floresta secundária, ribeirinha.;","BRA:IF:SPSF:0000049281",NA,"Citharexylum solanaceum Cham.",NA,NA,892,-25.299167,-53.957222,"original coordinates"
"14",NA,"Universidade Federal do Paraná, UFPR","EFC","11869","Citharexylum solanaceum Cham.","Verbenaceae","Citharexylum","solanaceum",NA,"Cham.","Blum, C.T.","2013-11-18T00:00:00.000+0000",NA,NA,NA,"Bizarro, O.M.R.",2013,11,18,"brazil","parana","curitiba","Capão do Cifloma",-49.2404,-25.4481,"Árvore com 7m. de altura; flores brancas.","BRA:UFPR:EFC:0000011869",NA,"Citharexylum solanaceum Cham.",NA,NA,875,-25.4481,-49.2404,"original coordinates"
"15",NA,"MBM","MBM","391774","Citharexylum solanaceum Cham.","Verbenaceae","Citharexylum","solanaceum",NA,"Cham.","Larocca, P","2014-08-20T00:00:00.000+0000",NA,"16B",NA,"Schwirkowski, P; Bianconcini",2013,11,24,"brazil","santa catarina","sao bento do sul","Parque Vinte e Três de Setembro, Trilha do Parque Vinte e Três de Setembro",0,0,NA,"BRA:MBM:MBM:0000391774",NA,"Citharexylum solanaceum Cham.",NA,NA,787,-26.295148,-49.34941,"centroide mpo (0)"
"16",NA,"UFRGS","ICN","176438","Citharexylum solanaceum Cham.","Verbenaceae","Citharexylum","solanaceum",NA,"Cham.","Grings, M","2013-11-02T00:00:00.000+0000",NA,"289",NA,"Grings, M",2013,11,2,"brazil","rio grande do sul","nova petropolis","Linha Imperial, RS 235",0,0,"árvore de 14 metros de alturacom flores brancas; Campo de altitude em planalto úmido, com costão rochoso adjacente, constantemente sob forte influência de neblina.","BRA:UFRGS:ICN:0000176438",NA,"Citharexylum solanaceum Cham.",NA,NA,185,-29.372168,-51.084638,"centroide mpo (0)"
