"","scientificName","new_Lon","new_Lat","municipality","county.shape","status"
"1","Vochysia acuminata Bong.",-41.925833,-21.930278,"santa maria madalena","santa maria madalena","Ok"
"2","Vochysia acuminata Bong.",-43.742778,-17.810833,"diamantina","diamantina","Ok"
"3","Vochysia acuminata Bong.",-43.742778,-17.810833,"diamantina","diamantina","Ok"
"4","Vochysia acuminata Bong.",-41.326667,-12.995278,"mucuge","mucuge","Ok"
"5","Vochysia acuminata Bong.",-43.370556,-18.145556,"sao goncalo do rio preto","sao goncalo do rio preto","Ok"
"6","Vochysia acuminata Bong.",-18.942492,-18.942492,"conceicao do mato dentro","not found","outside Brazil"
"7","Vochysia acuminata Bong.",-41.389444,-13.0025,"mucuge","mucuge","Ok"
"8","Vochysia acuminata Bong.",-41.014722,-13.014722,"mucuge","itaete","outside municipality"
"9","Vochysia acuminata Bong.",-14.061146,-14.061146,"ibirapitanga","not found","outside Brazil"
"10","Vochysia acuminata Bong.",-14.061146,-14.061146,"ibirapitanga","not found","outside Brazil"
"11","Vochysia acuminata Bong.",-14.061146,-14.061146,"ibirapitanga","not found","outside Brazil"
"12","Vochysia acuminata Bong.",-14.061146,-14.061146,"ibirapitanga","not found","outside Brazil"
"13","Vochysia acuminata Bong.",-14.061146,-14.061146,"ibirapitanga","not found","outside Brazil"
"14","Vochysia acuminata Bong.",-14.061146,-14.061146,"ibirapitanga","not found","outside Brazil"
"15","Vochysia acuminata Bong.",-14.061146,-14.061146,"ibirapitanga","not found","outside Brazil"
"16","Vochysia acuminata Bong.",-14.061146,-14.061146,"ibirapitanga","not found","outside Brazil"
"17","Vochysia acuminata Bong.",-14.061146,-14.061146,"ibirapitanga","not found","outside Brazil"
"18","Vochysia acuminata Bong.",-14.061146,-14.061146,"ibirapitanga","not found","outside Brazil"
"19","Vochysia acuminata Bong.",-14.061146,-14.061146,"ibirapitanga","not found","outside Brazil"
"20","Vochysia acuminata Bong.",-14.061146,-14.061146,"ibirapitanga","not found","outside Brazil"
"21","Vochysia acuminata Bong.",-14.061146,-14.061146,"ibirapitanga","not found","outside Brazil"
"22","Vochysia acuminata Bong.",-14.061146,-14.061146,"ibirapitanga","not found","outside Brazil"
"23","Vochysia acuminata Bong.",-14.061146,-14.061146,"ibirapitanga","not found","outside Brazil"
"24","Vochysia acuminata Bong.",-43.708056,-19.046389,"santana do riacho","santana do riacho","Ok"
"25","Vochysia acuminata Bong.",-43.553333,-19.290556,"santana do riacho","santana do riacho","Ok"
"26","Vochysia acuminata Bong.",-42.765556,-15.661111,"rio pardo de minas","rio pardo de minas","Ok"
"27","Vochysia acuminata Bong.",-19.189098,-19.189098,"santana do riacho","not found","outside Brazil"
"28","Vochysia acuminata Bong.",-43.719722,-19.018889,"santana do riacho","congonhas do norte","outside municipality"
"29","Vochysia acuminata Bong.",-43.581431,-18.194253,"sao goncalo do rio preto","diamantina","outside municipality"
"30","Vochysia acuminata Bong.",-44.144444,-17.510278,"buenopolis","francisco dumont","outside municipality"
"31","Vochysia acuminata Bong.",-44.040923,-17.882313,"buenopolis","buenopolis","Ok"
"32","Vochysia acuminata Bong.",-43.706944,-19.035278,"santana do riacho","santana do riacho","Ok"
"33","Vochysia acuminata Bong.",-43.708056,-19.046389,"santana do riacho","santana do riacho","Ok"
"34","Vochysia acuminata Bong.",-43.708056,-19.046389,"santana do riacho","santana do riacho","Ok"
"35","Vochysia acuminata Bong.",-45.785833,-18.127222,"buenopolis","joao pinheiro","outside municipality"
"36","Vochysia acuminata Bong.",-42.522778,-14.534722,"mucuge","licinio de almeida","outside municipality"
"37","Vochysia acuminata Bong.",-43.359005,-18.0765,"sao goncalo do rio preto","sao goncalo do rio preto","Ok"
"38","Vochysia acuminata Bong.",-43.610232,-17.993337,"diamantina","diamantina","Ok"
"39","Vochysia acuminata Bong.",-43.359005,-18.0765,"sao goncalo do rio preto","sao goncalo do rio preto","Ok"
"40","Vochysia acuminata Bong.",-43.359005,-18.0765,"sao goncalo do rio preto","sao goncalo do rio preto","Ok"
