"","modified","institutionCode","collectionCode","catalogNumber","scientificName","family","genus","specificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLongitude","decimalLatitude","occurrenceRemarks","occurrenceID","bibliographicCitation","acceptedNameUsage","identificationQualifier","infraspecificEpithet","comments"
"1",NA,"USP","SPF","215085","Vochysia bifalcata Warm.","Vochysiaceae","Vochysia","bifalcata","Warm.","Martins, EGA","2013-10-01T00:00:00.000+0000",NA,"304",NA,"Martins, EGA",2012,3,12,"Brazil","São Paulo","Cubatão","Parque Ecológico Perequê, Entrada da trilha da Cachoeira, lado direito, atrás da bica.",-46.414056,-23.8475,"Árvore ca. 14 m alt. Folhas discolores, verde-claras na face abaxial e verde-escuras na face adaxial. Nervuras translúcidas. Inflorescências amareladas, explosiva em toda a copa. Flores, pedicelos e esporas amareladas.; Borda de Flor","BRA:USP:SPF:0000215085",NA,"Vochysia bifalcata Warm.",NA,NA,NA
"2",NA,"UNICAMP","UEC","145544","Vochysia bifalcata Warm.","Vochysiaceae","Vochysia","bifalcata","Warm.","Yamamoto, K.","2008-06-01T00:00:00.000+0000",NA,"636",NA,"Polisel, R.T.; Ivanauskas, N.M.; Lattore, R.P.S.; Rocha, E.",2008,3,30,"Brazil","São Paulo","Bananal","Estação Ecologica de Bananal, Próximo a cachoeirra Sete Quedas (SAD 69,Zona 23K)",-44.366667,-22.806667,"Árvore de 7m,flores e botões florais amarelos","BRA:UNICAMP:UEC:0000145544",NA,"Vochysia bifalcata Warm.",NA,NA,NA
"3","2017-10-18T13:42:49.000+0000","JBRJ","RB","RB00526166","Vochysia bifalcata Warm.","Vochysiaceae","Vochysia","bifalcata","Warm.","A. G. Christo","2008-01-25T00:00:00.000+0000",NA,"461",NA,"A. G. Christo; A. T. Oliveira, F. A. Baroni",2007,4,2,"Brazil","Rio de Janeiro","Silva Jardim","Rebio Poço das Antas.",-42.309722,-22.530833,"árvore, ca. 20 m de altura, folhas verticiladas, concolores, coletada no interior da mata.","urn:catalog:JBRJ:RB:526166",NA,"Vochysia bifalcata Warm.",NA,NA,NA
"4",NA,"UNICAMP","UEC","177559","Vochysia bifalcata Warm.","Vochysiaceae","Vochysia","bifalcata","Warm.","Yamamoto, K.","2007-01-01T00:00:00.000+0000",NA,"417",NA,"Bertoni, J.E.A.; Geremias, A.",2001,1,5,"Brazil","São Paulo","Campinas","Fazenda Santa Elisa, quadra do Café L9 -P2.",0,0,"Árvore de 7 à 8m, flores amarelas.","BRA:UNICAMP:UEC:0000177559",NA,"Vochysia bifalcata Warm.",NA,NA,NA
"5",NA,"UNICAMP","UEC","177558","Vochysia bifalcata Warm.","Vochysiaceae","Vochysia","bifalcata","Warm.","Yamamoto, K.","2007-01-01T00:00:00.000+0000",NA,"298",NA,"Bertoni, J.E.A.; Geremias, A.",2000,11,17,"Brazil","São Paulo","Campinas","Fazenda Santa Elisa, quadra do Café L9 -P2.",0,0,"Árvore; com frutos secos.","BRA:UNICAMP:UEC:0000177558",NA,"Vochysia bifalcata Warm.",NA,NA,NA
"6","2014-09-26T00:00:00.000+0000","Instituto Nacional de Pesquisas da Amazônia (INPA)","Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)","230455","Vochysia bifalcata Warm.","Vochysiaceae","Vochysia","bifalcata","Warm.",NA,NA,NA,"1778",NA,"Braga, JMA",1995,1,24,"Brazil","Rio de Janeiro",NA,"Reserva Biológica de Poço das Antas, Trilha do Pau Preto, margem do rio Pau Preto.",NA,NA,NA,"urn:catalog:inpa:herbarium:210372",NA,"Vochysia bifalcata Warm.",NA,NA,NA
"7",NA,"NY","NY","1019486","Vochysia bifalcata Warm.","Vochysiaceae","Vochysia","bifalcata","Warm.",NA,NA,NA,"1778",NA,"J. M. A. Braga",1995,1,24,"Brazil","Rio de Janeiro",NA,"Reserva BiolÃ³gica de PoÃ§o das Antas. Trilha do Pau Preto, margem do rio Pau Preto.",-42.3918119950037,-22.6546564621181,NA,"7e1d3dd4-721f-4fd2-9821-51262b408837",NA,"Vochysia bifalcata Warm.",NA,NA,NA
"8","2017-10-17T19:04:19.000+0000","JBRJ","RB","RB00441161","Vochysia bifalcata Warm.","Vochysiaceae","Vochysia","bifalcata","Warm.",NA,NA,NA,"1778",NA,"J.M.A. Braga; et al.",1995,1,24,"Brazil","Rio de Janeiro","Silva Jardim","Trilha do Pau Preto, margem do rio Pau Preto. Reserva Biológica de Poço das Antas",-42.25,-22.5,"Arvore, ca 20 metros de altura. Folhas breve discolores e cartaceas. Inflorescencias com raque verde-clara. Flores amarelas. Base de encosta. Mata alterada densa.","urn:catalog:JBRJ:RB:441161",NA,"Vochysia bifalcata Warm.",NA,NA,NA
"9",NA,"USP","SPF","96620","Vochysia bifalcata Warm.","Vochysiaceae","Vochysia","bifalcata","Warm.","Vianna, MC","2002-01-01T00:00:00.000+0000",NA,"1054",NA,"Bernacci, LC",1995,1,10,"Brazil","São Paulo","Pariquera-Açu","Estação Experimental do IAC",0,0,NA,"BRA:USP:SPF:0000096620",NA,"Vochysia bifalcata Warm.",NA,NA,NA
"10",NA,"Escola Superior de Agricultura Luiz de Queiroz, ESALQ","ESA","ESA099682","Vochysia bifalcata Warm.","Vochysiaceae","Vochysia","bifalcata","Warm.",NA,NA,NA,"1778",NA,"Braga, J.M.A.",1995,1,24,"Brazil","Rio de Janeiro","Silva Jardim",NA,NA,NA,NA,"BRA:ESALQ:ESA:0ESA099682",NA,"Vochysia bifalcata Warm.",NA,NA,NA
