"","modified","institutionCode","collectionCode","catalogNumber","scientificName","family","genus","specificEpithet","infraspecificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLongitude","decimalLatitude","occurrenceRemarks","occurrenceID","bibliographicCitation","acceptedNameUsage"
"1",NA,"Pontifícia Universidade Católica do Rio de Janeiro (PUC-RIO)","FCAB","7599","Vochysia laurifolia Warm.","Vochysiaceae","Vochysia","laurifolia",NA,"Warm.",NA,NA,NA,"8380",NA,"Haroldo C. de Lima; J.M.A. Braga; L.J.T. Cardoso; C. de Carvalho; W. da Silva",2016,11,2,"Brazil","Rio de Janeiro","Nova Iguaçu","Reserva Biológica do Tinguá. Tinguá, Estrada do Comércio, a 4 km após o encontramento para a Sede da Rebio, entre Três Voltas e Bananal.",-43.462222,-22.576389,"Árvore com 19m alt. Tronco com casca fissurada-escamosa, placas pequenas, cinza-escuro, DAP ca. 90 cm. Inflorescência erécta com flores amarelas. Frequente. Fotos HCL.; Mata de encosta.","BRA:PUC-RIO:FCAB:0000007599",NA,"Vochysia laurifolia Warm."
"2",NA,"UNICAMP","UEC","194988","Vochysia laurifolia Warm.","Vochysiaceae","Vochysia","laurifolia",NA,"Warm.",NA,NA,NA,"8380",NA,"Lima, H.C.; et al.",2016,11,2,"Brazil","Rio de Janeiro","Nova Iguaçu","Reserva biológica do Tinguá. Tinguá estrada do comércio, a 4km após o entroncamento para a Sede da Rebio, entre Três Voltas e Bananal.",-43.462222,-22.576389,"Árvore com 19m alt. Tronco com casca fissurada escamosa, placas pequenas, cinza escuro, DAP ca. 90cm. Inflorescência ereta com flores amarelas. Frequente.; Mata de encosta","BRA:UNICAMP:UEC:0000194988",NA,"Vochysia laurifolia Warm."
"3",NA,"Pontifícia Universidade Católica do Rio de Janeiro (PUC-RIO)","FCAB","7580","Vochysia laurifolia Warm.","Vochysiaceae","Vochysia","laurifolia",NA,"Warm.","Haroldo C. de Lima","2016-11-01T00:00:00.000+0000",NA,"8437",NA,"Haroldo C. de Lima; J.M.A. Braga; L.J.T. Cardoso; C. de Carvalho; W. da Silva",2016,11,3,"Brazil","Rio de Janeiro","Nova Iguaçu","Reserva Biológica do Tinguá. Tinguá, Estrada do Imperador, após o Vale das Princesas, próximo ao Cruzeiro.",-43.297222,-22.490833,"Árvore com 8 m alt. Tronco com casca lisa e pardacentas, DAP ca. 25 cm. Inflorescência erécta com flores amarelas. Muito frequente. Fotos CC.","BRA:PUC-RIO:FCAB:0000007580",NA,"Vochysia laurifolia Warm."
"4","2017-10-15T14:15:53.000+0000","JBRJ","RB","RB01200155","Vochysia laurifolia Warm.","Vochysiaceae","Vochysia","laurifolia",NA,"Warm.",NA,NA,NA,"8380",NA,"Haroldo C. de Lima; J.M.A. Braga, L.J.T. Cardoso, C. de Carvalho & W. da Silva",2016,11,2,"Brazil","Rio de Janeiro","Nova Iguaçu","Tinguá, Estrada do Comércio, a 4 km após o entroncamento para a Sede da Rebio, entre Três Voltas e Bananal. Mata de encosta. Reserva Biológica do Tinguá",-43.462222,-22.576389,"Árvore com 19 m alt. Tronco com casca fissurada-escamosa, placas pequenas, cinza-escuro, DAP ca. 90 cm. Inflorescência eréta com flores amarelas. Frequente. Fotos HCL.","urn:catalog:JBRJ:RB:1200155",NA,"Vochysia laurifolia Warm."
"5",NA,"UNICAMP","UEC","194989","Vochysia laurifolia Warm.","Vochysiaceae","Vochysia","laurifolia",NA,"Warm.","Lima, H.C.","2016-11-01T00:00:00.000+0000",NA,"8437",NA,"Lima, H.C.; et al.",2016,11,3,"Brazil","Rio de Janeiro","Duque de Caxias","Reserva Biológica do Tinguá. Estrada do Imperador, após o Vale das Princesas, próximo ao Cruzeiro.",-43.297222,-22.490833,"Árvore com 8m de alt. Tronco com casca lisa e pedracenta, DAP ca. 25cm. Inflorescência ereta com flores amarelas. Muito frequente.; Mata de altitude.","BRA:UNICAMP:UEC:0000194989",NA,"Vochysia laurifolia Warm."
"6","2017-10-15T14:16:16.000+0000","JBRJ","RB","RB01200216","Vochysia laurifolia Warm.","Vochysiaceae","Vochysia","laurifolia",NA,"Warm.","H.C. de Lima",NA,NA,"8437",NA,"Haroldo C. de Lima; J.M.A. Braga, L.J.T. Cardoso, C. de Carvalho & W. da Silva",2016,11,3,"Brazil","Rio de Janeiro","Duque de Caxias","Estrada do Imperador, após o Vale das Princesas, próximo ao Cruzeiro. Mata de altitude. Reserva Biológica do Tinguá",-43.297222,-22.490833,"Árvore com 8 m alt. Tronco com casca lisa e pardacenta, DAP ca. 25 cm. Inflorescência eréta com flores amarelas. Muito frequente. Fotos CC.","urn:catalog:JBRJ:RB:1200216",NA,"Vochysia laurifolia Warm."
"7","2017-10-08T16:31:56.000+0000","JBRJ","RB","RB00984160","Vochysia laurifolia Warm.","Vochysiaceae","Vochysia","laurifolia",NA,"Warm.","Haroldo C. de Lima",NA,NA,"14",NA,"Fernanda F. Negreiros; Pablo J.P. Rodrigues, Mariana A. Iguatemy e Adilson M. Pintor",2014,10,7,"Brazil","Rio de Janeiro","Miguel Pereira","Orbel II, Módulo PPBio Mata Atlântica, Área da parcela 5D. Reserva Biológica do Tinguá",-43.421667,-22.539167,"Árvore, flor amarela.  Parcela 5D/Piquete 190-200m, coleta aleatória.","urn:catalog:JBRJ:RB:984160",NA,"Vochysia laurifolia Warm."
"8","2017-04-27T10:12:36.000+0000","JBRJ","RB","RB00887102","Vochysia laurifolia Warm.","Vochysiaceae","Vochysia","laurifolia",NA,"Warm.","Davi N.S. Machado & Haroldo C. de Lima",NA,NA,"7841",NA,"Haroldo C. de Lima; Walter da Silva",2014,10,1,"Brazil","Rio de Janeiro","Nova Iguaçu","Rebio do Tingua, Estrada do Comércio, Km 10,5. 758 msm.",NA,NA,"Árvore com 16 metros de altura. Tronco com casaca lisa e pardo-acizentada, DAP cerca de 30 cm. Inflorescencias eréctas, botões amarelo-esverdeados. Muito frequente. Material para DNA.","urn:catalog:JBRJ:RB:887102",NA,"Vochysia laurifolia Warm."
"9",NA,"UEFS","HUEFS","221542","Vochysia laurifolia Warm.","Vochysiaceae","Vochysia","laurifolia",NA,"Warm.",NA,NA,NA,"7841",NA,"Lima, H.C.de",2014,10,1,"Brazil","Rio de Janeiro","Nova Iguaçu","Rebio do Tingua, estrada do Comércio, Km 10,5.",NA,NA,NA,"BRA:UEFS:HUEFS:0000221542",NA,"Vochysia laurifolia Warm."
"10",NA,"NY","NY","03066068","Vochysia acuminata subsp. laurifolia (Warm.) Stafleu","Vochysiaceae","Vochysia","acuminata","laurifolia","subsp. laurifolia (Warm.) Stafleu",NA,NA,NA,"7841",NA,"H. C. de Lima",2014,10,1,"Brazil","Rio de Janeiro",NA,"Rebio do Tingua, Estrada do ComÃ©rcio, Km 10,5. 758 msm.",0,0,NA,"b0cd0142-9170-45cb-b91a-c3a9bdb65abf",NA,"Vochysia acuminata subsp. laurifolia (Warm.) Stafleu"
